FeatName	RelFeatImp
N-acetylthreonine	100.0
threonine	91.04
N-acetylcitrulline	82.06
serotonin	78.86
deoxycarnitine	74.23
N-oleoylserine	73.59
behenoyl dihydrosphingomyelin (d18:0/22:0)*	72.86
lignoceroyl sphingomyelin (d18:1/24:0)	72.08
adipoylcarnitine (C6-DC)	71.55
xanthosine	71.11
cis-3,4-methyleneheptanoylglycine	70.97
N-acetylasparagine	69.12
1-methyladenosine	68.63
citrate	68.28
arachidonoylcholine	68.26
indolelactate	68.24
taurochenodeoxycholic acid 3-sulfate	68.13
2-hydroxyphenylacetate	67.72
N-palmitoylglycine	67.04
indoleacetylglutamine	66.66
N-acetylarginine	66.34
N-acetyltyrosine	66.1
heptanoate (7:0)	65.84
5-methyluridine (ribothymidine)	65.42
threonate	64.68
pseudouridine	64.67
methionine	63.82
glycine	62.1
androstenediol (3beta,17beta) monosulfate (1)	61.88
serine	61.81
homocitrulline	60.47
betaine	59.88
caproate (6:0)	59.48
octadecanedioylcarnitine (C18-DC)*	58.52
gamma-CEHC	57.33
N,N,N-trimethyl-5-aminovalerate	56.49
docosahexaenoylcholine	55.46
vanillactate	55.36
behenoyl sphingomyelin (d18:1/22:0)*	54.86
3-hydroxysebacate	54.3
heptenedioate (C7:1-DC)*	54.05
pyroglutamine*	53.63
4-acetamidobutanoate	53.21
retinol (Vitamin A)	53.19
3-hydroxyoleate*	53.13
3-(4-hydroxyphenyl)lactate (HPLA)	52.55
N-methylproline	52.4
N-stearoyl-sphingadienine (d18:2/18:0)*	51.98
isovalerate (C5)	51.37
guanidinoacetate	51.24
indoleacetate	51.04
N6-carboxymethyllysine	50.89
decanoylcarnitine (C10)	50.87
sphingomyelin (d18:1/24:1, d18:2/24:0)*	50.31
indoleacetoylcarnitine*	49.69
N-acetylglutamate	48.72
branched chain 14:0 dicarboxylic acid	48.67
citrulline	47.57
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	47.0
N-formylmethionine	45.7
phenylpyruvate	45.43
urea	44.94
2-hydroxydecanoate	44.74
alpha-hydroxyisocaproate	44.48
tryptophan betaine	44.13
tryptophan	44.04
phosphocholine	44.01
1-stearoyl-GPG (18:0)	43.84
picolinoylglycine	43.69
tyrosine	43.51
histidine	43.44
2-oxoarginine*	43.03
gamma-glutamyltyrosine	42.93
tridecenedioate (C13:1-DC)*	42.74
hydroxy-N6,N6,N6-trimethyllysine*	41.65
xylose	41.61
indolepropionate	41.53
homovanillate (HVA)	41.39
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	40.92
N-delta-acetylornithine	40.6
N6-acetyllysine	40.58
bilirubin degradation product, C16H18N2O5 (2)	40.48
phenylacetylcarnitine	40.42
3b-hydroxy-5-cholenoic acid	40.17
linoleoylcholine*	40.13
arabinose	40.08
2-hydroxypalmitate	39.71
homoarginine	39.65
FAD	39.6
spermidine	39.3
ascorbic acid 2-sulfate	38.87
N-acetyl-beta-alanine	38.67
cholate	38.65
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	38.61
dehydroepiandrosterone sulfate (DHEA-S)	38.2
sphingomyelin (d18:2/24:2)*	37.9
2S,3R-dihydroxybutyrate	37.77
9-hydroxystearate	37.76
hydantoin-5-propionate	37.66
mannose	37.65
glycosyl ceramide (d18:2/24:1, d18:1/24:2)*	37.5
margaroylcarnitine (C17)*	37.34
androstenediol (3beta,17beta) disulfate (2)	37.26
N-stearoyl-sphingosine (d18:1/18:0)*	37.21
quinolinate	36.77
beta-alanine	36.75
allantoin	36.75
pyridoxate	36.55
3-hydroxyhexanoylcarnitine (1)	36.26
N-palmitoyl-sphingosine (d18:1/16:0)	36.18
2-methylbutyrylcarnitine (C5)	36.13
taurochenodeoxycholate	36.11
glycochenodeoxycholate glucuronide (1)	36.06
N-acetyl-2-aminooctanoate*	35.95
butyrate/isobutyrate (4:0)	35.66
glycine conjugate of C10H12O2*	35.58
alpha-hydroxyisovalerate	35.52
taurodeoxycholic acid 3-sulfate	35.51
tyramine O-sulfate	35.47
isovalerylcarnitine (C5)	35.43
dihomo-linolenoyl-choline	35.24
octadecenedioylcarnitine (C18:1-DC)*	35.22
cis-3,4-methyleneheptanoate	35.13
malate	35.01
beta-hydroxyisovalerate	34.9
aspartate	34.84
sphingomyelin (d18:1/14:0, d16:1/16:0)*	34.84
nicotinamide	34.81
ribulonate/xylulonate/lyxonate*	34.76
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	34.55
3-hydroxymyristate	34.52
2-ketocaprylate	34.11
4-guanidinobutanoate	34.09
glutarylcarnitine (C5-DC)	34.02
N-acetyl-isoputreanine	34.01
3-methylglutarylcarnitine (2)	33.95
6-oxopiperidine-2-carboxylate	33.9
gamma-glutamylphenylalanine	33.84
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	33.62
AMP	33.61
gamma-glutamyltryptophan	33.37
21-hydroxypregnenolone disulfate	33.25
L-urobilin	33.24
cytosine	33.22
4-hydroxyphenylpyruvate	33.07
taurine	33.02
carotene diol (2)	32.91
nonanoylcarnitine (C9)	32.84
pregnenetriol sulfate*	32.62
cis-3,4-methyleneheptanoylcarnitine	32.54
sphingosine 1-phosphate	32.48
5-dodecenoylcarnitine (C12:1)	32.32
phenylacetate	32.24
isobutyrylglycine (C4)	32.24
2'-O-methylcytidine	32.1
bilirubin (E,E)*	32.03
2R,3R-dihydroxybutyrate	31.96
ascorbic acid 3-sulfate*	31.91
oleoylcholine	31.9
1-palmitoyl-GPG (16:0)*	31.7
fumarate	31.62
ribonate	31.44
3-methyladipate	31.39
3-methylhistidine	31.34
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	31.26
laurylcarnitine (C12)	31.15
creatine	30.84
N-stearoyl-sphinganine (d18:0/18:0)*	30.84
sphingomyelin (d18:1/20:0, d16:1/22:0)*	30.82
5alpha-pregnan-3beta,20alpha-diol disulfate	30.75
eicosenedioate (C20:1-DC)*	30.67
gamma-glutamylglutamate	30.55
etiocholanolone glucuronide	30.39
4-hydroxy-2-oxoglutaric acid	30.35
3-methoxytyrosine	30.35
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	30.04
trimethylamine N-oxide	30.04
octadecadienedioate (C18:2-DC)*	29.8
N-acetylserine	29.68
11beta-hydroxyandrosterone glucuronide	29.59
3-indoxyl sulfate	29.54
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	29.52
isovalerylglycine	29.48
palmitoleate (16:1n7)	29.44
taurolithocholate 3-sulfate	29.39
N-acetylaspartate (NAA)	29.36
phenylalanine	29.34
isobutyrylcarnitine (C4)	29.31
4-cholesten-3-one	29.28
gamma-glutamylvaline	29.2
carotene diol (1)	29.13
nervonoylcarnitine (C24:1)*	29.04
5-dodecenoate (12:1n7)	29.02
gamma-glutamylmethionine	29.01
sedoheptulose	29.01
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*	28.72
gentisate	28.69
beta-citrylglutamate	28.61
pentadecanoate (15:0)	28.59
N-acetylneuraminate	28.57
S-adenosylhomocysteine (SAH)	28.52
orotate	28.51
5alpha-androstan-3beta,17alpha-diol disulfate	28.5
S-1-pyrroline-5-carboxylate	28.28
asparagine	28.18
3beta-hydroxy-5-cholestenoate	28.17
sarcosine	28.13
sphingomyelin (d18:0/20:0, d16:0/22:0)*	28.06
2-hydroxyphytanate*	27.98
glycochenodeoxycholate 3-sulfate	27.98
myristoleoylcarnitine (C14:1)*	27.93
sphinganine	27.9
random_variable1	27.81
galactonate	27.79
bilirubin degradation product, C17H20N2O5 (1)	27.75
5alpha-androstan-3alpha,17alpha-diol monosulfate	27.74
argininate*	27.67
bilirubin degradation product, C16H18N2O5 (1)	27.63
3-hydroxyadipate*	27.59
alpha-ketoglutaramate*	27.53
1-palmitoleoyl-GPC* (16:1)*	27.31
9,10-DiHOME	27.13
dodecadienoate (12:2)*	27.04
undecanoate (11:0)	26.81
oleoyl ethanolamide	26.79
caprylate (8:0)	26.72
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	26.7
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	26.55
2-hydroxyglutarate	26.42
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	26.39
stearoylcholine*	26.38
cysteine	26.38
tetradecanedioate (C14)	26.38
erythronate*	26.27
glutamine conjugate of C6H10O2 (2)*	26.25
vanillylmandelate (VMA)	26.12
12,13-DiHOME	26.08
glutarate (C5-DC)	26.0
3-hydroxybutyrate (BHBA)	25.97
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	25.77
proline	25.72
dihomo-linoleoylcarnitine (C20:2)*	25.7
undecanedioate (C11-DC)	25.62
1-oleoyl-GPI (18:1)	25.49
taurocholenate sulfate*	25.38
