FeatName	RelFeatImp
malate	100.0
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	95.15
vanillactate	94.14
serotonin	94.13
N-acetylserine	86.23
betaine	85.32
adrenate (22:4n6)	84.2
cortisone	82.46
1-methyladenosine	82.1
sphingomyelin (d18:1/14:0, d16:1/16:0)*	80.82
N-oleoylserine	80.32
gamma-glutamylisoleucine*	79.33
dihomo-linoleoylcarnitine (C20:2)*	78.55
5-methyluridine (ribothymidine)	75.51
taurochenodeoxycholic acid 3-sulfate	73.09
N-palmitoylglycine	72.79
5-hydroxylysine	72.02
glutamine conjugate of C6H10O2 (2)*	70.42
ribitol	69.45
pseudouridine	66.56
4-acetamidobutanoate	65.61
N-acetylaspartate (NAA)	63.37
dihomolinoleate (20:2n6)	62.8
androstenediol (3beta,17beta) monosulfate (1)	62.08
linoleate (18:2n6)	61.03
proline	60.58
citrate	60.42
taurodeoxycholic acid 3-sulfate	60.28
arabinose	60.13
sphingomyelin (d17:2/16:0, d18:2/15:0)*	59.38
glutamine	58.76
homocitrulline	57.45
heneicosapentaenoate (21:5n3)	56.8
sphingomyelin (d18:1/19:0, d19:1/18:0)*	56.48
arabonate/xylonate	55.92
ascorbic acid 2-sulfate	55.67
docosahexaenoylcarnitine (C22:6)*	55.53
sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	54.43
behenoyl dihydrosphingomyelin (d18:0/22:0)*	54.34
I-urobilinogen	54.34
ribonate	54.11
heptanoate (7:0)	53.86
indoleacetate	53.75
histidine	52.93
sphingomyelin (d17:1/14:0, d16:1/15:0)*	52.1
fumarate	51.72
N,N,N-trimethyl-alanylproline betaine (TMAP)	51.34
N-acetylglucosamine/N-acetylgalactosamine	50.95
hexadecadienoate (16:2n6)	50.47
butyrate/isobutyrate (4:0)	50.04
4-hydroxyphenylacetylglutamine	49.58
4-cholesten-3-one	49.35
N-stearoyl-sphingadienine (d18:2/18:0)*	48.94
prolylglycine	48.83
glutamine conjugate of C7H12O2*	48.45
phenol sulfate	48.43
1-methylhistidine	48.43
2-methylbutyrylcarnitine (C5)	48.06
sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	47.88
gamma-glutamylphenylalanine	47.88
glycine conjugate of C10H12O2*	47.87
N-formylmethionine	47.85
gamma-glutamylvaline	47.59
linoleoylcarnitine (C18:2)*	47.55
acisoga	47.2
linolenoylcarnitine (C18:3)*	47.16
2,3-dihydroxy-2-methylbutyrate	47.05
glycodeoxycholate 3-sulfate	46.72
behenoyl sphingomyelin (d18:1/22:0)*	46.16
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	46.12
arachidonoylcholine	45.36
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	45.09
docosahexaenoylcholine	44.42
3-hydroxy-3-methylglutarate	44.4
4-guanidinobutanoate	44.27
5,6-dihydrothymine	43.86
taurolithocholate 3-sulfate	43.46
bilirubin (E,Z or Z,E)*	43.32
glycochenodeoxycholate 3-sulfate	42.71
sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	42.45
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*	42.2
gamma-glutamylglutamate	41.88
cortisol	41.66
isobutyrylglycine (C4)	41.5
quinolinate	41.45
indolelactate	41.21
gamma-glutamylleucine	41.15
carotene diol (2)	40.8
threonate	40.76
2-hydroxyoctanoate	40.73
mannitol/sorbitol	40.68
indolepropionate	40.63
3-amino-2-piperidone	40.51
N-acetylthreonine	40.46
5,6-dihydrouridine	40.42
sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	40.4
1-oleoyl-GPC (18:1)	40.34
glucose	40.21
4-hydroxy-2-oxoglutaric acid	40.19
glucuronate	39.92
phenylpyruvate	39.79
citrulline	39.77
glycolithocholate sulfate*	39.73
N-acetylalanine	39.66
gamma-glutamylglycine	39.49
sphingomyelin (d18:2/21:0, d16:2/23:0)*	39.37
3-hydroxysebacate	39.36
orotate	39.27
1-palmitoyl-GPE (16:0)	38.99
sphingosine 1-phosphate	38.81
4-hydroxyphenylpyruvate	38.71
N-acetylglutamate	38.64
7-methylguanine	38.42
2-ketocaprylate	38.41
2S,3R-dihydroxybutyrate	38.17
phosphocholine	37.98
beta-hydroxyisovalerate	37.49
3-hydroxyoctanoylcarnitine (1)	37.46
linoleoylcholine*	37.38
dehydroepiandrosterone sulfate (DHEA-S)	37.35
lysine	37.19
oleoyl ethanolamide	37.13
hydantoin-5-propionate	36.8
homovanillate (HVA)	36.65
gentisate	36.63
N-acetyl-beta-alanine	36.44
3-indoxyl sulfate	36.31
glutamate	36.21
taurocholenate sulfate*	35.84
isoleucine	35.78
choline	35.12
allantoin	34.97
dopamine 4-sulfate	34.86
glutamine conjugate of C6H10O2 (1)*	34.83
indoleacetylglutamine	34.77
bilirubin degradation product, C16H18N2O5 (4)	34.63
3b-hydroxy-5-cholenoic acid	34.55
2-hydroxydecanoate	34.23
pregnenolone sulfate	34.12
N6-methyllysine	33.98
N-formylphenylalanine	33.84
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	33.8
aconitate [cis or trans]	33.8
sphingomyelin (d18:1/24:1, d18:2/24:0)*	33.8
2-oleoylglycerol (18:1)	33.7
arachidonoylcarnitine (C20:4)	33.7
xylose	33.57
glycochenodeoxycholate glucuronide (1)	33.51
arabitol/xylitol	33.49
glycohyocholate	33.39
cis-3,4-methyleneheptanoylglycine	33.14
N-acetylputrescine	33.13
lignoceroyl sphingomyelin (d18:1/24:0)	32.85
N-palmitoyl-sphinganine (d18:0/16:0)	32.71
bilirubin degradation product, C16H18N2O5 (2)	32.65
N-stearoyltaurine	32.65
deoxycholic acid glucuronide	32.6
bilirubin degradation product, C16H18N2O5 (1)	32.46
butyrylcarnitine (C4)	32.39
4-hydroxyphenylacetate	32.33
gamma-glutamyltryptophan	32.27
erythronate*	32.15
homoarginine	31.99
beta-alanine	31.95
androsterone glucuronide	31.93
docosadienoate (22:2n6)	31.9
N-acetylvaline	31.85
sphingomyelin (d18:0/20:0, d16:0/22:0)*	31.84
tryptophan betaine	31.77
ornithine	31.72
galactonate	31.64
N-acetylcitrulline	31.6
N2-acetyl,N6-methyllysine	31.58
N6-succinyladenosine	31.25
nonanoylcarnitine (C9)	31.17
dihomo-linolenoyl-choline	31.1
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	31.02
3-hydroxymyristate	30.83
deoxycarnitine	30.79
dimethylarginine (ADMA + SDMA)	30.71
2-hydroxybutyrate/2-hydroxyisobutyrate	30.42
sphinganine	30.32
cysteine s-sulfate	30.31
tyrosine	30.29
myristoyl dihydrosphingomyelin (d18:0/14:0)*	30.23
methylmalonate (MMA)	30.21
random_variable1	30.1
glycosyl ceramide (d18:2/24:1, d18:1/24:2)*	30.02
2'-O-methylcytidine	30.01
N-acetyl-isoputreanine	30.01
androstenediol (3beta,17beta) disulfate (2)	30.0
sphingomyelin (d18:2/14:0, d18:1/14:1)*	29.89
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	29.72
N4-acetylcytidine	29.71
2-hydroxypalmitate	29.58
S-adenosylhomocysteine (SAH)	29.43
beta-cryptoxanthin	29.43
androstenediol (3beta,17beta) monosulfate (2)	29.42
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	29.4
3-(4-hydroxyphenyl)lactate (HPLA)	29.18
retinol (Vitamin A)	29.03
cis-3,4-methyleneheptanoylcarnitine	28.97
2-aminooctanoate	28.93
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	28.8
etiocholanolone glucuronide	28.64
sphingomyelin (d18:1/20:0, d16:1/22:0)*	28.64
3-hydroxyhexanoate	28.37
6-bromotryptophan	28.32
sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	28.24
ascorbic acid 3-sulfate*	28.14
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	28.08
2-hydroxyphenylacetate	27.96
decanoylcarnitine (C10)	27.95
N-acetylasparagine	27.89
N-acetylhistidine	27.86
pregnenetriol sulfate*	27.8
gamma-carboxyglutamate	27.66
pregnanediol-3-glucuronide	27.59
5alpha-pregnan-3beta,20alpha-diol disulfate	27.21
pyridoxate	27.14
glycocholenate sulfate*	27.12
androstenediol (3alpha, 17alpha) monosulfate (2)	27.09
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	27.07
uracil	27.02
serine	26.97
guanidinoacetate	26.95
gamma-glutamyltyrosine	26.79
caproate (6:0)	26.77
sphingomyelin (d18:2/18:1)*	26.68
bilirubin degradation product, C17H20N2O5 (1)	26.59
xanthine	26.59
oxalate (ethanedioate)	26.49
N-acetylneuraminate	26.35
3-hydroxyadipate*	26.34
12,13-DiHOME	26.32
cis-3,4-methyleneheptanoate	26.31
3-hydroxybutyrate (BHBA)	26.31
3-hydroxy-2-ethylpropionate	26.3
N6,N6-dimethyllysine	26.27
sphingomyelin (d18:2/23:1)*	26.19
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	26.17
2R,3R-dihydroxybutyrate	26.02
gamma-glutamylthreonine	25.85
inosine	25.83
sphingomyelin (d18:0/18:0, d19:0/17:0)*	25.83
isovalerylglycine	25.69
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	25.62
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	25.51
trimethylamine N-oxide	25.45
propionylglycine (C3)	25.37
threonine	25.33
argininate*	25.31
dodecadienoate (12:2)*	25.3
16a-hydroxy DHEA 3-sulfate	25.3
carnitine	25.2
eicosanedioate (C20-DC)	25.08
phenylacetylcarnitine	24.97
gamma-CEHC	24.91
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	24.78
2-stearoyl-GPE (18:0)*	24.63
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	24.5
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	24.49
3-hydroxyhexanoylcarnitine (1)	24.38
random_variable2	24.22
6-oxopiperidine-2-carboxylate	24.22
gamma-glutamylhistidine	24.14
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	24.14
8-hydroxyoctanoate	24.11
nervonoylcarnitine (C24:1)*	24.07
1-stearoyl-GPG (18:0)	24.07
maleate	24.04
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	23.96
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	23.93
caprate (10:0)	23.92
gulonate*	23.9
3,4-dihydroxybutyrate	23.83
oleoylcholine	23.83
mannose	23.82
7-HOCA	23.81
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	23.78
2-aminoheptanoate	23.74
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	23.71
glycine	23.66
4-methylhexanoylglutamine	23.64
acetylcarnitine (C2)	23.51
1-stearoyl-GPC (18:0)	23.49
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	23.47
cysteinylglycine	23.47
undecanoate (11:0)	23.45
N-stearoyl-sphingosine (d18:1/18:0)*	23.45
xanthosine	23.39
FAD	23.34
bilirubin	23.12
3-(3-amino-3-carboxypropyl)uridine*	23.06
9,10-DiHOME	22.97
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	22.94
2'-O-methyluridine	22.94
andro steroid monosulfate C19H28O6S (1)*	22.94
fructose	22.9
stearoylcholine*	22.9
maltose	22.87
bilirubin degradation product, C16H18N2O5 (3)	22.86
carotene diol (3)	22.85
GlcNAc sulfate conjugate of C21H34O2 steroid	22.77
N1-Methyl-2-pyridone-5-carboxamide	22.65
3-ureidopropionate	22.57
N-stearoyl-sphinganine (d18:0/18:0)*	22.57
cys-gly, oxidized	22.4
sucrose	22.35
C-glycosyltryptophan	22.32
1-(1-enyl-stearoyl)-GPE (P-18:0)*	22.27
pristanate	22.22
carotene diol (1)	22.19
alpha-ketoglutaramate*	22.1
corticosterone	22.02
