FeatName	RelFeatImp
behenoylcarnitine (C22)*	100.0
2-oxoarginine*	78.71
alpha-hydroxyisocaproate	76.52
2'-O-methylcytidine	75.28
N-acetyl-isoputreanine	74.18
corticosterone	72.55
1-lignoceroyl-GPC (24:0)	71.92
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	67.93
serotonin	64.72
1-oleoylglycerol (18:1)	63.65
glycosyl ceramide (d18:1/20:0, d16:1/22:0)*	62.85
acetylcarnitine (C2)	60.54
(R)-3-hydroxybutyrylcarnitine	55.7
inosine	53.3
ribulonate/xylulonate/lyxonate*	52.38
homoarginine	51.03
androsterone glucuronide	50.16
6-bromotryptophan	49.9
N-delta-acetylornithine	47.25
guanidinoacetate	46.78
3-methylhistidine	43.45
taurocholate	41.51
octadecanedioate (C18)	41.31
vanillylmandelate (VMA)	40.97
glycohyocholate	40.26
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	39.56
quinolinate	39.15
gamma-glutamylleucine	39.1
2-hydroxybutyrate/2-hydroxyisobutyrate	38.58
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	37.18
N-palmitoyl-sphingadienine (d18:2/16:0)*	36.22
2-aminobutyrate	35.88
1,5-anhydroglucitol (1,5-AG)	35.85
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	35.36
1-oleoyl-GPG (18:1)*	34.54
docosadioate (C22-DC)	34.21
bilirubin	34.08
1-methylhistidine	32.81
beta-hydroxyisovalerate	31.36
1-stearoyl-GPG (18:0)	31.28
taurochenodeoxycholate	30.29
butyrate/isobutyrate (4:0)	30.2
9,10-DiHOME	30.16
pyruvate	29.8
choline	29.78
ribonate	29.54
spermidine	29.44
3-hydroxy-2-ethylpropionate	29.42
azelate (C9-DC)	29.29
3-hydroxyhexanoylcarnitine (1)	29.17
N1-methylinosine	28.84
docosadienoate (22:2n6)	28.58
heptenedioate (C7:1-DC)*	27.76
11beta-hydroxyandrosterone glucuronide	26.7
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	26.47
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	26.15
AMP	25.52
phosphocholine	24.94
3-hydroxybutyrate (BHBA)	24.52
gamma-glutamyltyrosine	24.47
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	24.38
sphingomyelin (d18:1/20:0, d16:1/22:0)*	24.24
bilirubin (E,E)*	23.82
anthranilate	22.88
alpha-hydroxyisovalerate	21.85
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	21.63
behenoyl sphingomyelin (d18:1/22:0)*	21.43
gamma-glutamyl-alpha-lysine	21.27
2S,3R-dihydroxybutyrate	21.11
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	20.97
hydroxy-N6,N6,N6-trimethyllysine*	20.91
alpha-hydroxycaproate	20.51
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	20.2
caproate (6:0)	20.06
formiminoglutamate	19.8
3-methylglutarylcarnitine (2)	19.69
sphingomyelin (d17:2/16:0, d18:2/15:0)*	19.41
cholate	19.17
gamma-glutamylglycine	18.95
mannose	18.94
S-methylcysteine	18.85
acisoga	18.79
lignoceroylcarnitine (C24)*	18.74
pyroglutamine*	18.36
betaine	17.76
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	17.67
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	17.65
dihydroorotate	17.59
4-hydroxyphenylpyruvate	17.52
taurocholenate sulfate*	17.5
5alpha-androstan-3beta,17beta-diol disulfate	17.13
N-methyltaurine	17.03
gamma-CEHC	17.03
sphinganine	16.88
cis-3,4-methyleneheptanoylcarnitine	16.69
eicosanedioate (C20-DC)	16.67
creatine	16.63
isovalerylglycine	16.55
3-methyl-2-oxovalerate	16.49
2'-O-methyluridine	16.41
pregnenetriol sulfate*	16.13
pregnanolone/allopregnanolone sulfate	15.95
bilirubin degradation product, C16H18N2O5 (1)	15.94
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	15.83
glycochenodeoxycholate glucuronide (1)	15.7
gulonate*	15.45
5alpha-androstan-3alpha,17beta-diol disulfate	15.34
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	15.19
etiocholanolone glucuronide	14.9
