FeatName	RelFeatImp
pregnanediol-3-glucuronide	100.0
etiocholanolone glucuronide	98.62
pristanate	79.41
androstenediol (3alpha, 17alpha) monosulfate (2)	75.72
alpha-tocopherol	74.24
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	73.16
2-aminobutyrate	71.97
cysteinylglycine	70.66
cytidine	69.24
N-acetylcitrulline	67.72
valerate (5:0)	66.82
metabolonic lactone sulfate	66.38
sphingomyelin (d17:2/16:0, d18:2/15:0)*	65.64
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	64.09
3-(4-hydroxyphenyl)lactate (HPLA)	63.61
2-stearoyl-GPE (18:0)*	63.46
5alpha-androstan-3alpha,17alpha-diol monosulfate	62.77
tiglyl carnitine (C5)	62.57
cortisol	61.36
carotene diol (1)	61.08
sphingomyelin (d18:2/21:0, d16:2/23:0)*	60.65
dihomo-linolenoyl-choline	59.48
androsterone glucuronide	59.41
betaine	56.68
carotene diol (2)	56.51
arachidonoylcholine	55.31
myo-inositol	55.04
cortolone glucuronide (1)	54.85
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	54.48
androsterone sulfate	53.62
epiandrosterone sulfate	52.66
docosahexaenoylcarnitine (C22:6)*	51.82
androstenediol (3beta,17beta) disulfate (2)	51.44
dehydroepiandrosterone sulfate (DHEA-S)	51.19
tyrosine	50.73
N-acetylalanine	50.25
nisinate (24:6n3)	50.04
androstenediol (3beta,17beta) monosulfate (2)	49.56
valine	48.89
1-stearoyl-GPI (18:0)	48.88
N-acetylglucosamine/N-acetylgalactosamine	48.29
21-hydroxypregnenolone disulfate	47.96
2-aminoheptanoate	47.42
undecanedioate (C11-DC)	46.97
3-(3-amino-3-carboxypropyl)uridine*	46.64
17alpha-hydroxypregnenolone 3-sulfate	46.55
N-formylmethionine	46.18
N-formylanthranilic acid	46.12
glucuronate	46.05
5alpha-pregnan-diol disulfate	45.82
3-methylglutaconate	45.03
5alpha-androstan-3beta,17beta-diol monosulfate (2)	44.65
pregnenediol sulfate (C21H34O5S)*	44.65
sarcosine	44.57
S-1-pyrroline-5-carboxylate	44.57
3beta-hydroxy-5-cholestenoate	44.51
hydroxy-CMPF*	43.98
thyroxine	43.49
androstenediol (3alpha, 17alpha) monosulfate (3)	43.48
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	43.2
orotidine	43.13
cystine	42.67
cysteine-glutathione disulfide	42.48
homocitrulline	42.46
heneicosapentaenoate (21:5n3)	41.99
1-oleoyl-GPC (18:1)	41.88
hydroxyproline	41.73
pregnanolone/allopregnanolone sulfate	41.66
6-oxopiperidine-2-carboxylate	41.36
8-hydroxyoctanoate	41.28
suberate (C8-DC)	41.1
9,10-DiHOME	40.45
gamma-glutamylglycine	40.26
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	39.7
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	39.59
threonine	39.57
alpha-hydroxycaproate	39.41
vanillactate	39.23
inosine	38.99
2R,3R-dihydroxybutyrate	38.68
dopamine 4-sulfate	38.67
glycerate	38.56
2S,3R-dihydroxybutyrate	38.48
3-hydroxy-3-methylglutarate	37.88
fructose	37.72
3-hydroxybutyrate (BHBA)	37.61
kynurenine	37.43
pregnenolone sulfate	37.36
sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	37.31
7-HOCA	36.93
16-hydroxypalmitate	36.87
pelargonate (9:0)	36.83
ursodeoxycholate	36.82
1-methylhistidine	36.8
5,6-dihydrothymine	36.49
5alpha-androstan-3alpha,17beta-diol monosulfate (1)	36.46
N6-acetyllysine	36.26
N-acetylhistidine	36.07
5-(galactosylhydroxy)-L-lysine	36.0
indoleacetoylcarnitine*	35.5
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	35.48
urea	35.26
orotate	35.23
lactate	35.12
N,N,N-trimethyl-5-aminovalerate	35.11
cholic acid glucuronide	34.85
glycerol	34.73
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	34.65
N-delta-acetylornithine	34.65
1-carboxyethylvaline	34.42
creatine	34.24
cysteine s-sulfate	34.21
N-stearoyl-sphinganine (d18:0/18:0)*	33.95
arachidonoylcarnitine (C20:4)	33.79
behenoyl dihydrosphingomyelin (d18:0/22:0)*	33.65
5alpha-pregnan-3beta,20alpha-diol disulfate	33.52
2'-O-methyluridine	33.28
picolinoylglycine	33.26
mannose	33.01
pregnen-diol disulfate*	32.86
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	32.66
cysteinylglycine disulfide*	32.64
trimethylamine N-oxide	32.55
carotene diol (3)	31.98
quinolinate	31.88
indole-3-carboxylate	31.65
vanillylmandelate (VMA)	31.48
taurine	30.91
cys-gly, oxidized	30.73
hexadecenedioate (C16:1-DC)*	30.69
5-methylthioadenosine (MTA)	30.6
ascorbic acid 2-sulfate	30.4
N-acetylmethionine	30.27
N-stearoyl-sphingosine (d18:1/18:0)*	30.13
ribulonate/xylulonate/lyxonate*	30.07
glycohyocholate	30.0
1-dihomo-linolenylglycerol (20:3)	29.99
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	29.84
octadecadienedioate (C18:2-DC)*	29.81
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	29.56
phenylacetylglutamine	29.53
4-oxo-retinoic acid	29.5
N6-carbamoylthreonyladenosine	29.27
Fibrinopeptide B (1-13)	29.26
1-linoleoyl-GPE (18:2)*	28.8
sphingomyelin (d18:2/14:0, d18:1/14:1)*	28.79
N-acetyltryptophan	28.75
3-hydroxyadipate*	28.68
laurate (12:0)	28.62
2-hydroxybutyrate/2-hydroxyisobutyrate	28.56
xanthine	28.48
N-acetylasparagine	28.46
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	28.46
pseudouridine	28.39
2-ketocaprylate	28.34
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*	28.32
1-palmitoyl-GPI* (16:0)	28.31
acisoga	28.16
indoleacetylglutamine	27.78
andro steroid monosulfate C19H28O6S (1)*	27.74
choline	27.7
2-aminooctanoate	27.66
maleate	27.57
pentose acid*	27.48
3-hydroxybutyroylglycine	27.46
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	27.26
arabitol/xylitol	27.11
N-acetylkynurenine (2)	27.05
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	26.94
4-hydroxyphenylacetylglutamine	26.88
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	26.81
sphinganine-1-phosphate	26.66
1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	26.48
alpha-hydroxyisovalerate	26.37
N6-succinyladenosine	26.32
retinol (Vitamin A)	26.21
5,6-dihydrouridine	26.16
ascorbic acid 3-sulfate*	26.13
5alpha-androstan-3beta,17beta-diol disulfate	26.0
glycochenodeoxycholate	25.93
phenol sulfate	25.69
N-palmitoylglycine	25.65
glycocholenate sulfate*	25.63
formiminoglutamate	25.58
glucuronide of C10H18O2 (8)*	25.54
N-palmitoyl-sphinganine (d18:0/16:0)	25.53
N-methylproline	25.49
gamma-glutamylalanine	25.42
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	25.39
phenylpyruvate	25.39
4-acetamidobutanoate	25.3
cortisone	25.29
linoleoylcholine*	25.19
2-hydroxyphenylacetate	25.16
2-hydroxyglutarate	25.13
docosahexaenoylcholine	25.11
cytosine	24.94
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	24.87
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	24.68
uracil	24.62
pyroglutamine*	24.57
hydantoin-5-propionate	24.57
4-cholesten-3-one	24.45
3-aminoisobutyrate	24.45
N-palmitoyl-sphingosine (d18:1/16:0)	24.43
phenylalanine	24.35
androstenediol (3beta,17beta) monosulfate (1)	24.28
xylose	24.26
3-amino-2-piperidone	24.24
gamma-glutamylglutamine	24.05
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	24.01
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	23.98
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	23.89
1-linoleoyl-GPC (18:2)	23.61
glutarate (C5-DC)	23.55
phenylacetate	23.54
N-acetylcarnosine	23.51
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	23.5
tricosanoyl sphingomyelin (d18:1/23:0)*	23.43
bilirubin (E,E)*	23.31
3-methylhistidine	23.12
N-methyltaurine	23.07
trigonelline (N'-methylnicotinate)	23.04
creatinine	22.99
gulonate*	22.81
arginine	22.79
sphingosine 1-phosphate	22.68
eicosenoate (20:1n9 or 1n11)	22.57
docosadienoate (22:2n6)	22.51
bilirubin degradation product, C17H18N2O4 (1)	22.5
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	22.48
10-undecenoate (11:1n1)	22.46
hypotaurine	22.44
stearoylcholine*	22.3
random_variable1	22.27
glycolithocholate	22.14
oleoyl ethanolamide	22.02
dihomo-linoleoylcarnitine (C20:2)*	22.01
N-acetyl-2-aminooctanoate*	22.01
xanthurenate	22.01
4-hydroxy-2-oxoglutaric acid	21.96
ADpSGEGDFXAEGGGVR*	21.96
heptenedioate (C7:1-DC)*	21.9
N-palmitoyl-sphingadienine (d18:2/16:0)*	21.8
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	21.75
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	21.69
imidazole lactate	21.67
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	21.59
margarate (17:0)	21.53
lithocholate sulfate (1)	21.5
caproate (6:0)	21.4
N-acetylserine	21.37
glycodeoxycholate	21.27
1-methyladenosine	21.25
1-linoleoyl-GPI* (18:2)*	21.23
eicosenedioate (C20:1-DC)*	21.04
N6,N6,N6-trimethyllysine	20.97
heptanoate (7:0)	20.97
I-urobilinogen	20.87
octadecenedioate (C18:1-DC)	20.85
behenoylcarnitine (C22)*	20.8
13-HODE + 9-HODE	20.72
N-stearoyltaurine	20.57
arabinose	20.56
tryptophan betaine	20.55
glutarylcarnitine (C5-DC)	20.55
branched chain 14:0 dicarboxylic acid	20.54
eicosanedioate (C20-DC)	20.5
gamma-glutamylglutamate	20.35
taurolithocholate	20.35
sphingomyelin (d18:0/18:0, d19:0/17:0)*	20.34
palmitoylcholine	20.29
dihomolinoleate (20:2n6)	20.26
pimelate (C7-DC)	20.25
valylglycine	20.24
4-hydroxyphenylpyruvate	20.22
1-carboxyethylisoleucine	20.2
urate	20.09
3-hydroxylaurate	19.95
fumarate	19.83
deoxycarnitine	19.76
N-acetylneuraminate	19.75
carnitine	19.73
sphingomyelin (d18:2/16:0, d18:1/16:1)*	19.7
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	19.57
adrenate (22:4n6)	19.53
sphingomyelin (d18:1/20:0, d16:1/22:0)*	19.47
1-carboxyethylphenylalanine	19.47
taurodeoxycholate	19.43
4-guanidinobutanoate	19.42
aconitate [cis or trans]	19.37
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	19.35
bilirubin degradation product, C16H18N2O5 (2)	19.34
homovanillate (HVA)	19.34
10-heptadecenoate (17:1n7)	19.34
12,13-DiHOME	19.32
N6-carboxymethyllysine	19.19
4-hydroxyphenylacetate	19.17
isobutyrylcarnitine (C4)	19.09
decanoylcarnitine (C10)	19.01
proline	18.96
3-hydroxyisobutyrate	18.95
indolepropionate	18.91
hypoxanthine	18.82
N6,N6-dimethyllysine	18.78
alpha-ketoglutaramate*	18.73
pyridoxate	18.61
1-palmitoyl-GPG (16:0)*	18.6
tryptophan	18.45
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	18.45
3-phosphoglycerate	18.44
mannitol/sorbitol	18.31
1-oleoyl-GPI (18:1)	18.25
2,3-dihydroxy-2-methylbutyrate	18.23
1-palmitoyl-GPA (16:0)	18.19
hexanoylglycine (C6)	18.18
palmitoylcarnitine (C16)	18.13
propionylglycine (C3)	18.13
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	18.08
1-stearoyl-GPC (18:0)	18.08
alpha-hydroxyisocaproate	18.01
5-methyluridine (ribothymidine)	17.98
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	17.86
2-palmitoyl-GPC* (16:0)*	17.82
deoxycholic acid 12-sulfate*	17.81
