FeatName	RelFeatImp
etiocholanolone glucuronide	100.0
pregnanediol-3-glucuronide	92.85
cytidine	86.35
serine	69.52
N-acetylcitrulline	68.45
arachidonoylcholine	66.11
sphingomyelin (d18:2/21:0, d16:2/23:0)*	65.88
acetoacetate	63.06
trimethylamine N-oxide	62.56
dehydroepiandrosterone sulfate (DHEA-S)	59.33
cysteine s-sulfate	54.78
androstenediol (3alpha, 17alpha) monosulfate (3)	54.34
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	53.9
sphingomyelin (d17:2/16:0, d18:2/15:0)*	52.58
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	52.19
cystine	52.12
lignoceroyl sphingomyelin (d18:1/24:0)	51.64
androstenediol (3alpha, 17alpha) monosulfate (2)	51.2
tyrosine	50.15
glycerate	48.51
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	48.1
myo-inositol	47.97
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	47.43
cysteinylglycine disulfide*	47.36
androstenediol (3beta,17beta) disulfate (2)	47.24
valine	46.53
cysteinylglycine	45.94
pregnen-diol disulfate*	45.86
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	45.81
cortolone glucuronide (1)	45.4
epiandrosterone sulfate	44.76
3-amino-2-piperidone	44.69
pristanate	44.27
vanillactate	43.94
pelargonate (9:0)	43.32
3-methylglutaconate	43.0
N-formylanthranilic acid	42.74
5alpha-pregnan-3beta,20alpha-diol disulfate	42.35
5-(galactosylhydroxy)-L-lysine	41.68
phenylacetylglutamine	41.41
dihomo-linolenoyl-choline	41.29
17alpha-hydroxypregnenolone 3-sulfate	41.15
2-stearoyl-GPE (18:0)*	40.88
5alpha-androstan-3alpha,17alpha-diol monosulfate	40.71
glucuronate	40.52
eicosenoate (20:1n9 or 1n11)	40.38
indole-3-carboxylate	40.14
alpha-hydroxycaproate	39.18
homocitrulline	38.44
N-acetylglucosamine/N-acetylgalactosamine	38.18
phenylpyruvate	37.94
N-acetylmethionine	37.48
hydroxy-N6,N6,N6-trimethyllysine*	37.31
N-acetylglutamine	36.47
alpha-tocopherol	36.46
3-(3-amino-3-carboxypropyl)uridine*	36.46
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	36.31
behenoyl sphingomyelin (d18:1/22:0)*	36.05
4-hydroxy-2-oxoglutaric acid	35.98
2-hydroxyglutarate	35.83
2-palmitoyl-GPC* (16:0)*	35.74
2'-O-methyluridine	35.31
metabolonic lactone sulfate	34.86
ADSGEGDFXAEGGGVR*	34.64
N-acetylasparagine	34.6
nisinate (24:6n3)	34.5
sarcosine	34.33
3-hydroxy-3-methylglutarate	34.04
2-hydroxyphenylacetate	33.9
glutarylcarnitine (C5-DC)	33.82
adipoylcarnitine (C6-DC)	33.54
kynurenine	33.29
N-acetylkynurenine (2)	33.06
4-hydroxyphenylacetylglutamine	33.02
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	32.85
androsterone sulfate	32.82
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	32.45
5-methyluridine (ribothymidine)	32.38
carotene diol (2)	32.31
bilirubin (E,E)*	32.25
2-aminoheptanoate	32.05
androstenediol (3beta,17beta) monosulfate (2)	31.8
cys-gly, oxidized	31.68
hydroxy-CMPF*	31.49
betaine	31.07
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	30.92
pyroglutamine*	30.82
dihomo-linoleoylcarnitine (C20:2)*	30.51
orotidine	30.49
5alpha-pregnan-diol disulfate	30.25
5-methylthioadenosine (MTA)	30.16
lactate	30.15
glucose	30.14
phenylalanine	30.04
phenylacetate	29.86
4-acetamidobutanoate	29.77
N-formylmethionine	29.64
2-aminobutyrate	29.52
5,6-dihydrouridine	29.48
I-urobilinogen	29.42
carotene diol (1)	29.29
picolinoylglycine	29.15
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	29.03
palmitoylcarnitine (C16)	28.98
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	28.95
1-oleoyl-GPC (18:1)	28.78
1-carboxyethylvaline	28.71
bilirubin degradation product, C16H18N2O5 (2)	28.67
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	28.58
3b-hydroxy-5-cholenoic acid	28.45
androsterone glucuronide	28.45
3beta-hydroxy-5-cholestenoate	28.24
gamma-glutamylglycine	27.85
1-stearoyl-GPI (18:0)	27.75
dopamine 4-sulfate	27.65
N-acetylglutamate	27.56
bilirubin degradation product, C17H20N2O5 (1)	27.53
andro steroid monosulfate C19H28O6S (1)*	27.15
5alpha-androstan-3beta,17beta-diol disulfate	27.04
carnitine	26.91
4-hydroxyphenylpyruvate	26.87
tricosanoyl sphingomyelin (d18:1/23:0)*	26.83
21-hydroxypregnenolone disulfate	26.78
choline	26.75
pregnenediol sulfate (C21H34O5S)*	26.74
S-1-pyrroline-5-carboxylate	26.29
xanthine	26.26
deoxycarnitine	26.23
gamma-glutamyltyrosine	26.21
hyocholate	26.21
heptanoate (7:0)	26.15
behenoyl dihydrosphingomyelin (d18:0/22:0)*	25.95
heneicosapentaenoate (21:5n3)	25.84
vanillylmandelate (VMA)	25.74
N6-acetyllysine	25.72
indoleacetoylcarnitine*	25.67
arabitol/xylitol	25.3
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	25.16
tiglyl carnitine (C5)	25.05
1-methyl-4-imidazoleacetate	25.0
oleate/vaccenate (18:1)	24.57
pyridoxate	24.49
docosahexaenoylcarnitine (C22:6)*	24.35
1-palmitoyl-GPG (16:0)*	24.3
hydroxyproline	24.28
3-aminoisobutyrate	24.26
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	24.18
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	24.07
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	24.06
N-acetylalanine	23.97
cis-4-decenoylcarnitine (C10:1)	23.68
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	23.49
eicosenedioate (C20:1-DC)*	23.35
trigonelline (N'-methylnicotinate)	23.29
carotene diol (3)	23.23
cis-3,4-methyleneheptanoylcarnitine	23.2
citrate	22.96
9,10-DiHOME	22.94
fructose	22.94
suberate (C8-DC)	22.92
tryptophan	22.86
N,N,N-trimethyl-5-aminovalerate	22.81
N-acetylneuraminate	22.78
glycerol	22.7
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	22.66
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	22.57
pregnenolone sulfate	22.52
sphingomyelin (d18:1/18:1, d18:2/18:0)	22.51
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	22.42
5alpha-androstan-3beta,17beta-diol monosulfate (2)	22.4
bilirubin degradation product, C16H18N2O5 (3)	22.37
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	22.3
12,13-DiHOME	22.27
undecanedioate (C11-DC)	22.26
1-dihomo-linolenylglycerol (20:3)	22.25
hexanoylglutamine	22.25
threonine	22.19
sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	22.18
N-acetylhistidine	22.16
guanidinoacetate	22.12
cortisol	22.11
cerotoylcarnitine (C26)*	22.1
thyroxine	21.87
eicosanedioate (C20-DC)	21.84
random_variable1	21.78
sphingomyelin (d18:2/14:0, d18:1/14:1)*	21.78
arachidonoylcarnitine (C20:4)	21.77
N-oleoylserine	21.7
bilirubin degradation product, C17H20N2O5 (2)	21.69
2'-O-methylcytidine	21.28
N-oleoyltaurine	21.27
N-acetyl-2-aminooctanoate*	21.22
isoursodeoxycholate	21.13
N-palmitoylserine	21.12
sphingomyelin (d18:2/24:2)*	21.0
margarate (17:0)	20.99
DSGEGDFXAEGGGVR*	20.99
phenol sulfate	20.87
linoleoylcarnitine (C18:2)*	20.79
N-palmitoylglycine	20.77
hexanoylcarnitine (C6)	20.76
sphingomyelin (d18:1/20:0, d16:1/22:0)*	20.68
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	20.49
sphingomyelin (d18:2/16:0, d18:1/16:1)*	20.46
glycochenodeoxycholate glucuronide (1)	20.42
bilirubin degradation product, C17H18N2O4 (1)	20.35
octadecenedioate (C18:1-DC)	20.24
undecanoate (11:0)	20.22
3-hydroxylaurate	20.17
xanthurenate	20.1
succinate	20.02
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	19.95
16-hydroxypalmitate	19.83
N4-acetylcytidine	19.83
7-HOCA	19.8
