FeatName	RelFeatImp
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	100.0
pentadecanoate (15:0)	83.89
succinylcarnitine (C4-DC)	77.93
sphingomyelin (d18:2/24:1, d18:1/24:2)*	77.45
cysteinylglycine disulfide*	71.36
serine	68.64
trans-urocanate	65.87
N-acetylputrescine	64.44
palmitoyl sphingomyelin (d18:1/16:0)	64.14
glycine	60.93
thyroxine	60.88
phenylacetylcarnitine	60.31
cortolone glucuronide (1)	60.06
prolylhydroxyproline	58.64
tetradecanedioate (C14)	58.47
androsterone glucuronide	58.15
5-methyluridine (ribothymidine)	56.94
hydroxyproline	56.35
5,6-dihydrothymine	55.37
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	51.34
alpha-hydroxycaproate	50.78
2,3-dihydroxy-2-methylbutyrate	49.57
ximenoylcarnitine (C26:1)*	49.04
bilirubin	48.5
isovalerylcarnitine (C5)	48.06
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	46.95
undecanoate (11:0)	46.46
androsterone sulfate	45.73
gamma-glutamylvaline	45.59
tyrosine	45.44
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	45.28
2S,3R-dihydroxybutyrate	45.17
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	44.83
isovalerate (C5)	44.2
pyridoxate	44.14
3-methylhistidine	43.67
stearoyl sphingomyelin (d18:1/18:0)	43.07
glycine conjugate of C10H14O2 (1)*	42.14
3-hydroxyadipate*	42.13
ribitol	42.04
N1-methylinosine	41.96
isoleucylglycine	40.85
pelargonate (9:0)	40.29
N6-acetyllysine	40.22
5-dodecenoylcarnitine (C12:1)	40.19
7-methylguanine	39.3
sphingomyelin (d18:2/24:2)*	39.17
isoursodeoxycholate	39.09
2-hydroxypalmitate	38.98
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	38.8
maleate	38.74
N-formylmethionine	38.74
linoleoylcarnitine (C18:2)*	38.38
androstenediol (3alpha, 17alpha) monosulfate (2)	38.29
glutarylcarnitine (C5-DC)	38.03
glucuronate	37.93
N-acetylhistidine	37.91
propionylglycine (C3)	37.64
N-acetylglucosamine/N-acetylgalactosamine	37.58
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	37.42
arabitol/xylitol	37.37
1-palmitoyl-GPA (16:0)	37.36
5-dodecenoate (12:1n7)	36.88
glutamine conjugate of C7H12O2*	36.66
gamma-glutamylalanine	36.66
N2,N5-diacetylornithine	36.58
hexadecanedioate (C16)	36.17
nonadecanoate (19:0)	36.14
glutamine conjugate of C6H10O2 (1)*	36.06
carnitine	36.01
undecanedioate (C11-DC)	35.97
malate	35.97
N-acetyl-beta-alanine	35.93
deoxycarnitine	35.75
