FeatName	RelFeatImp
glycochenodeoxycholate 3-sulfate	100.0
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	86.01
glycine	73.42
taurochenodeoxycholic acid 3-sulfate	71.67
sphingomyelin (d18:2/24:2)*	58.95
cortolone glucuronide (1)	58.72
vanillylmandelate (VMA)	53.29
picolinoylglycine	48.73
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	46.73
octadecanedioate (C18)	43.8
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	43.6
glucose	42.03
N-acetylglutamate	41.59
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	41.58
S-methylcysteine sulfoxide	41.15
ribonate	41.03
N-acetylglucosamine/N-acetylgalactosamine	40.07
3-hydroxyadipate*	39.36
1-palmitoyl-GPI* (16:0)	38.76
3-amino-2-piperidone	38.74
glutamine conjugate of C6H10O2 (1)*	38.34
butyrylcarnitine (C4)	37.08
creatine	37.03
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	36.84
tetradecanedioate (C14)	36.65
sphingomyelin (d18:2/16:0, d18:1/16:1)*	36.49
propionylglycine (C3)	36.29
phenylacetylcarnitine	36.15
sphingomyelin (d18:2/24:1, d18:1/24:2)*	36.1
fructose	35.67
alpha-hydroxycaproate	34.89
5-oxoproline	34.81
acetylcarnitine (C2)	34.79
3-methoxytyramine sulfate	34.38
homovanillate (HVA)	34.34
arabinose	33.87
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	33.3
beta-hydroxyisovalerate	33.19
inosine	32.94
N-acetylglutamine	32.79
laurate (12:0)	32.75
nonanoylcarnitine (C9)	32.14
indolelactate	32.13
decadienedioic acid (C10:2-DC)	31.7
3-hydroxy-3-methylglutarate	31.23
sphingomyelin (d18:1/24:1, d18:2/24:0)*	31.19
linoleoylcarnitine (C18:2)*	30.97
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	30.54
taurochenodeoxycholate	30.46
trans-urocanate	30.44
carotene diol (2)	30.17
caprate (10:0)	29.85
valine	29.63
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	29.59
