FeatName	RelFeatImp
oxalate (ethanedioate)	100.0
bilirubin degradation product, C16H18N2O5 (4)	69.67
homocitrulline	68.7
bilirubin degradation product, C17H18N2O4 (1)	67.26
3-methyl-2-oxovalerate	64.76
sphingomyelin (d18:0/18:0, d19:0/17:0)*	63.92
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	63.81
threonate	62.76
glycerate	58.55
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	57.93
biliverdin	55.33
bilirubin degradation product, C16H18N2O5 (1)	54.8
arabonate/xylonate	54.53
cortisol	54.35
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	53.33
N-formylanthranilic acid	53.14
uridine	52.98
N-acetylalanine	52.91
nisinate (24:6n3)	51.3
beta-citrylglutamate	51.3
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	49.52
xanthosine	49.21
N-acetylasparagine	48.97
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	48.73
N-acetylphenylalanine	47.6
palmitoylcarnitine (C16)	47.12
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	46.81
N-acetylglucosamine/N-acetylgalactosamine	46.1
ascorbic acid 2-sulfate	45.65
N-acetylneuraminate	45.2
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	44.71
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	44.6
2'-O-methylcytidine	44.56
3-indoxyl sulfate	43.81
1-methyl-4-imidazoleacetate	43.56
N1-Methyl-2-pyridone-5-carboxamide	42.29
proline	42.14
N-acetylcitrulline	41.98
indolepropionate	39.7
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	39.32
sphingomyelin (d18:2/18:1)*	38.92
5alpha-pregnan-3beta,20alpha-diol disulfate	38.59
N-acetylvaline	38.33
cis-3,4-methyleneheptanoate	36.73
allo-threonine	36.36
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	36.08
succinylcarnitine (C4-DC)	35.6
sphingomyelin (d18:1/18:1, d18:2/18:0)	35.57
2'-O-methyluridine	35.35
3b-hydroxy-5-cholenoic acid	34.84
N-acetylglutamine	34.74
carotene diol (2)	34.49
carotene diol (1)	34.31
alpha-hydroxyisocaproate	34.19
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	34.16
3-methylhistidine	34.06
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	33.82
ribitol	33.71
gamma-glutamylthreonine	33.6
3-ureidopropionate	33.02
glutamine conjugate of C6H10O2 (1)*	32.83
glutarate (C5-DC)	32.73
fructosyllysine	32.36
beta-hydroxyisovalerate	32.06
arabitol/xylitol	32.05
gamma-tocopherol/beta-tocopherol	32.0
1-palmitoyl-GPE (16:0)	31.83
1-methylnicotinamide	31.82
3-(4-hydroxyphenyl)lactate (HPLA)	31.73
N2,N2-dimethylguanosine	31.43
sphingomyelin (d18:0/20:0, d16:0/22:0)*	30.98
dihomo-linoleoylcarnitine (C20:2)*	30.92
N-formylmethionine	30.91
vanillactate	30.34
1-oleoylglycerol (18:1)	30.23
behenoyl dihydrosphingomyelin (d18:0/22:0)*	30.06
sphingomyelin (d18:2/16:0, d18:1/16:1)*	29.78
cystathionine	29.55
acisoga	29.08
gamma-glutamyltyrosine	28.69
glycerophosphoethanolamine	28.59
