FeatName	RelFeatImp
3-methyl-2-oxovalerate	100.0
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	95.22
gamma-glutamylisoleucine*	90.89
oxalate (ethanedioate)	82.12
N-acetylasparagine	80.7
gamma-glutamylvaline	76.83
arachidonate (20:4n6)	74.91
nisinate (24:6n3)	74.69
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	72.33
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	68.84
octanoylcarnitine (C8)	64.37
N-acetylglucosamine/N-acetylgalactosamine	63.06
N-acetylphenylalanine	62.04
N-acetylcitrulline	57.81
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	56.89
N-acetylvaline	56.4
N-acetylalanine	55.99
4-methyl-2-oxopentanoate	55.43
alpha-hydroxyisocaproate	54.19
N-acetylneuraminate	53.04
palmitoylcarnitine (C16)	52.91
cortisol	52.74
methionine	51.86
cystathionine	51.59
N-acetylglutamine	49.91
1-palmitoyl-GPG (16:0)*	48.79
hexanoylcarnitine (C6)	48.04
hexanoylglutamine	47.81
gamma-glutamylalanine	47.69
sphingomyelin (d18:0/18:0, d19:0/17:0)*	47.4
1-palmitoyl-GPE (16:0)	47.34
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	47.14
3-hydroxylaurate	46.85
gamma-glutamyltyrosine	46.59
decanoylcarnitine (C10)	46.21
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	45.36
deoxycarnitine	44.66
carotene diol (1)	42.5
L-urobilin	42.42
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	42.33
1-linoleoyl-GPG (18:2)*	41.45
1-arachidonylglycerol (20:4)	41.32
N-formylmethionine	41.03
glycerate	40.72
fumarate	40.51
N1-methylinosine	39.45
3-methylhistidine	38.2
hydroxyproline	37.88
N-acetylglutamate	37.72
docosahexaenoylcarnitine (C22:6)*	37.63
1-palmitoleoylglycerol (16:1)*	36.82
indoleacetate	36.72
11beta-hydroxyandrosterone glucuronide	36.69
docosadioate (C22-DC)	36.12
1-methyl-4-imidazoleacetate	35.8
1-linoleoyl-GPI* (18:2)*	35.69
glutamine conjugate of C6H10O2 (1)*	35.42
biliverdin	35.33
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	35.22
threonate	34.93
beta-citrylglutamate	34.7
ribitol	34.51
cis-4-decenoylcarnitine (C10:1)	34.43
1-oleoylglycerol (18:1)	34.35
tyrosine	34.06
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	33.77
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	33.31
3-hydroxyhexanoylcarnitine (1)	33.17
gamma-CEHC	33.07
