FeatName	RelFeatImp
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	100.0
cysteine s-sulfate	63.99
pregnenolone sulfate	48.09
pregnen-diol disulfate*	45.44
carotene diol (3)	45.08
N-oleoylserine	39.01
hexadecadienoate (16:2n6)	37.97
androsterone glucuronide	37.0
eicosanedioate (C20-DC)	33.99
5alpha-pregnan-3beta,20alpha-diol disulfate	32.26
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	31.13
2-aminobutyrate	26.86
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	26.78
N4-acetylcytidine	26.68
pregnenediol sulfate (C21H34O5S)*	26.44
androsterone sulfate	26.04
N-acetyl-isoputreanine	25.91
beta-citrylglutamate	25.67
21-hydroxypregnenolone disulfate	24.75
phosphocholine	24.64
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	24.06
hexadecanedioate (C16)	24.02
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	21.63
gamma-glutamylglutamate	21.08
N-palmitoylserine	20.46
docosadioate (C22-DC)	19.59
6-bromotryptophan	19.34
phenol sulfate	19.3
lysine	19.23
3-methylhistidine	19.14
taurodeoxycholate	19.04
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	18.85
cystathionine	18.23
2'-O-methylcytidine	17.89
phenylalanine	17.45
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	16.99
pregnanediol-3-glucuronide	16.79
androstenediol (3alpha, 17alpha) monosulfate (2)	16.75
2-aminoheptanoate	16.73
gamma-carboxyglutamate	15.4
N6,N6-dimethyllysine	14.9
vanillactate	14.69
alpha-ketoglutarate	14.14
N-acetylneuraminate	13.96
cysteine-glutathione disulfide	13.92
indolelactate	13.81
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	13.7
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	13.68
AMP	13.44
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	13.39
2-hydroxydecanoate	13.3
ursodeoxycholate	12.48
xanthine	12.43
etiocholanolone glucuronide	12.17
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	12.16
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	12.09
pyridoxate	12.02
hexanoylglutamine	12.0
1-arachidonoyl-GPC* (20:4)*	11.94
(N(1) + N(8))-acetylspermidine	11.64
2-hydroxyphenylacetate	11.58
3-hydroxyoctanoylcarnitine (2)	11.58
3-hydroxyoctanoylcarnitine (1)	11.49
androstenediol (3beta,17beta) disulfate (2)	11.44
palmitoyl ethanolamide	11.39
docosadienoate (22:2n6)	11.35
3-ureidopropionate	11.28
gamma-glutamylisoleucine*	11.22
eicosenedioate (C20:1-DC)*	11.21
carnitine	11.17
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	11.13
indoleacetoylcarnitine*	11.09
serotonin	11.07
formiminoglutamate	11.02
sphingomyelin (d18:2/14:0, d18:1/14:1)*	10.94
N-stearoyl-sphingosine (d18:1/18:0)*	10.82
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	10.8
butyrylcarnitine (C4)	10.51
4-hydroxyphenylpyruvate	10.33
heptanoate (7:0)	10.27
N-acetyltryptophan	10.17
1-(1-enyl-oleoyl)-GPE (P-18:1)*	10.14
methionine	10.03
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	10.01
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	9.91
(S)-3-hydroxybutyrylcarnitine	9.85
behenoyl dihydrosphingomyelin (d18:0/22:0)*	9.84
cholate	9.82
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	9.53
(R)-3-hydroxybutyrylcarnitine	9.45
(16 or 17)-methylstearate (a19:0 or i19:0)	9.41
glycerol	9.31
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	9.3
cysteinylglycine	9.14
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	9.1
taurodeoxycholic acid 3-sulfate	8.94
GlcNAc sulfate conjugate of C21H34O2 steroid	8.87
cis-4-decenoylcarnitine (C10:1)	8.82
glycochenodeoxycholate glucuronide (1)	8.78
glutarate (C5-DC)	8.77
sphingosine	8.76
phenyllactate (PLA)	8.53
nonanoylcarnitine (C9)	8.48
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	8.43
epiandrosterone sulfate	8.41
glycodeoxycholate	8.37
acetylcarnitine (C2)	8.33
nicotinamide	8.3
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	8.29
creatine	8.28
1,2-dilinoleoyl-GPC (18:2/18:2)	8.0
1-arachidonoyl-GPE (20:4n6)*	7.9
pelargonate (9:0)	7.9
hydroxy-CMPF*	7.77
palmitoylcarnitine (C16)	7.74
1-arachidonylglycerol (20:4)	7.71
4-hydroxyphenylacetate	7.62
1-methylnicotinamide	7.57
N-formylphenylalanine	7.49
11beta-hydroxyandrosterone glucuronide	7.46
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	7.39
methylmalonate (MMA)	7.25
1-lignoceroyl-GPC (24:0)	7.14
10-undecenoate (11:1n1)	7.06
homocitrulline	7.0
17alpha-hydroxypregnenolone 3-sulfate	6.97
isovalerylcarnitine (C5)	6.96
3-amino-2-piperidone	6.92
hydroxyproline	6.91
dopamine 3-O-sulfate	6.87
myristoleate (14:1n5)	6.77
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	6.7
guanidinoacetate	6.66
S-adenosylhomocysteine (SAH)	6.63
1-arachidonoyl-GPI* (20:4)*	6.56
hexanoylcarnitine (C6)	6.55
lactate	6.54
butyrate/isobutyrate (4:0)	6.25
docosahexaenoylcholine	6.17
1-carboxyethylisoleucine	6.15
1,5-anhydroglucitol (1,5-AG)	6.1
glutamate	6.08
ascorbic acid 2-sulfate	6.04
N-acetylvaline	5.96
13-HODE + 9-HODE	5.93
N-acetylaspartate (NAA)	5.9
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	5.85
bilirubin	5.73
1-oleoyl-GPI (18:1)	5.71
orotate	5.68
random_variable1	5.67
sphingomyelin (d17:2/16:0, d18:2/15:0)*	5.64
ribulonate/xylulonate/lyxonate*	5.63
pristanate	5.55
betaine	5.54
indolepropionate	5.51
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	5.47
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	5.4
1-carboxyethylvaline	5.36
pantothenate (Vitamin B5)	5.35
glyco-beta-muricholate	5.35
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	5.33
deoxycholic acid 12-sulfate*	5.32
tyramine O-sulfate	5.25
3-methoxytyrosine	5.23
alpha-tocopherol	5.23
1-linoleoylglycerol (18:2)	5.19
uridine	5.19
