FeatName	RelFeatImp
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	100.0
4-hydroxyphenylpyruvate	99.8
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	95.09
pantothenate (Vitamin B5)	94.95
hypoxanthine	92.73
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	91.8
arabonate/xylonate	90.61
phenylpyruvate	90.0
2-hydroxyphenylacetate	89.85
3-hydroxybutyrate (BHBA)	89.77
bilirubin (E,E)*	89.28
11beta-hydroxyandrosterone glucuronide	89.02
2-hydroxyglutarate	87.48
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	87.17
behenoyl dihydrosphingomyelin (d18:0/22:0)*	87.06
eicosenedioate (C20:1-DC)*	86.78
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	86.47
xanthine	86.29
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	85.94
2-ketocaprylate	85.87
10-undecenoate (11:1n1)	85.79
3-hydroxyisobutyrate	85.71
N,N,N-trimethyl-alanylproline betaine (TMAP)	85.37
2S,3R-dihydroxybutyrate	85.36
leucine	84.65
orotate	84.6
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	84.22
2-aminoheptanoate	84.2
androstenediol (3beta,17beta) monosulfate (1)	83.96
gentisate	83.9
cis-3,4-methyleneheptanoate	83.71
5,6-dihydrothymine	83.57
1-methylnicotinamide	83.43
3-(4-hydroxyphenyl)lactate (HPLA)	83.13
dopamine 4-sulfate	82.84
N-delta-acetylornithine	82.65
creatine	82.6
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	82.46
5-oxoproline	82.07
1-linoleoyl-GPI* (18:2)*	81.78
gamma-glutamylphenylalanine	81.65
beta-cryptoxanthin	81.6
N-acetyltryptophan	81.42
andro steroid monosulfate C19H28O6S (1)*	81.35
3-hydroxy-3-methylglutarate	81.33
lithocholate sulfate (1)	81.15
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	80.62
2-hydroxystearate	80.53
N1-Methyl-2-pyridone-5-carboxamide	80.51
glycerophosphorylcholine (GPC)	80.5
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	80.38
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	80.35
16a-hydroxy DHEA 3-sulfate	80.23
2-hydroxyphytanate*	80.13
N-acetylglycine	80.03
ascorbic acid 2-sulfate	80.0
caproate (6:0)	79.95
citrate	79.84
5alpha-pregnan-3beta,20alpha-diol disulfate	79.64
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	79.56
butyrate/isobutyrate (4:0)	79.53
N-acetylasparagine	79.48
alpha-ketobutyrate	79.4
5-methyluridine (ribothymidine)	79.35
N-acetylcarnosine	79.33
carotene diol (2)	79.32
fructose	79.32
spermidine	79.2
metabolonic lactone sulfate	79.13
hydroxyproline	78.96
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	78.89
N-acetylglucosamine/N-acetylgalactosamine	78.84
myristoyl dihydrosphingomyelin (d18:0/14:0)*	78.68
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	78.59
glycochenodeoxycholate	78.39
glutamate	77.54
3-ureidopropionate	77.54
N-palmitoylglycine	77.5
12,13-DiHOME	77.33
glycochenodeoxycholate glucuronide (1)	77.32
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	77.11
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	77.07
2-hydroxypalmitate	77.03
methionine sulfoxide	76.94
cys-gly, oxidized	76.92
prolylhydroxyproline	76.81
4-oxo-retinoic acid	76.62
taurocholenate sulfate*	76.51
glycine conjugate of C10H14O2 (1)*	76.45
propionylglycine (C3)	76.44
glycochenodeoxycholate 3-sulfate	76.32
6-bromotryptophan	76.28
pyridoxate	76.23
glutarate (C5-DC)	76.2
threonate	75.77
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	75.74
cis-3,4-methyleneheptanoylglycine	75.73
1-carboxyethylvaline	75.33
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	75.19
3b-hydroxy-5-cholenoic acid	75.02
3-methylhistidine	74.99
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	74.98
gamma-glutamylleucine	74.83
arginine	74.82
S-1-pyrroline-5-carboxylate	74.74
1-lignoceroyl-GPC (24:0)	74.55
2'-O-methyluridine	74.54
5alpha-androstan-3beta,17beta-diol disulfate	74.3
maleate	74.27
taurochenodeoxycholate	74.22
mannose	74.17
AMP	74.14
histidine	74.05
deoxycholic acid 12-sulfate*	73.97
1-palmitoleoyl-GPC* (16:1)*	73.91
2-aminobutyrate	73.71
phenylalanine	73.63
N,N,N-trimethyl-5-aminovalerate	73.63
N-acetylaspartate (NAA)	73.55
S-methylcysteine	73.5
methylmalonate (MMA)	73.34
docosadioate (C22-DC)	73.28
glutamine	73.26
1-palmitoyl-GPC (16:0)	73.26
acisoga	73.25
N-methyltaurine	73.09
gamma-tocopherol/beta-tocopherol	73.09
N-palmitoyl-sphingosine (d18:1/16:0)	72.91
lignoceroylcarnitine (C24)*	72.9
sphingosine	72.77
inosine	72.61
pregnenetriol sulfate*	72.58
ximenoylcarnitine (C26:1)*	72.47
1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	72.43
glutarylcarnitine (C5-DC)	72.41
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	72.4
5alpha-androstan-3beta,17beta-diol monosulfate (2)	72.34
alpha-tocopherol	72.25
nervonoylcarnitine (C24:1)*	72.12
azelate (C9-DC)	71.81
branched chain 14:0 dicarboxylic acid	71.66
glycolithocholate sulfate*	71.64
cortisone	71.57
docosahexaenoylcarnitine (C22:6)*	71.42
arabitol/xylitol	71.41
1-palmitoyl-GPI* (16:0)	71.19
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	71.06
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	71.04
glycodeoxycholate 3-sulfate	70.94
N6,N6,N6-trimethyllysine	70.91
trans-urocanate	70.82
3beta-hydroxy-5-cholestenoate	70.77
3-indoxyl sulfate	70.75
allantoin	70.59
9,10-DiHOME	70.54
alanine	70.53
3-hydroxyoctanoylcarnitine (1)	70.5
trimethylamine N-oxide	70.42
octadecenedioate (C18:1-DC)	70.34
threonine	70.32
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	70.18
2-palmitoyl-GPC* (16:0)*	70.11
2-hydroxybutyrate/2-hydroxyisobutyrate	70.01
N4-acetylcytidine	70.01
glutamine conjugate of C6H10O2 (1)*	69.99
citrulline	69.98
1-oleoyl-GPI (18:1)	69.84
androstenediol (3beta,17beta) monosulfate (2)	69.77
pelargonate (9:0)	69.77
ribonate	69.7
arachidonoylcarnitine (C20:4)	69.61
phenol sulfate	69.58
methionine	69.56
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)	69.49
isoursodeoxycholate	69.36
fumarate	69.33
4-hydroxy-2-oxoglutaric acid	69.32
proline	69.29
biliverdin	69.28
alpha-hydroxyisocaproate	69.21
4-hydroxyphenylacetate	69.2
bilirubin degradation product, C17H18N2O4 (1)	69.14
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	69.01
1-(1-enyl-palmitoyl)-GPE (P-16:0)*	68.8
betaine	68.62
2-hydroxyoctanoate	68.6
1-methylhistidine	68.57
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	68.52
3-phosphoglycerate	68.5
1-linoleoylglycerol (18:2)	68.5
eicosanedioate (C20-DC)	68.43
random_variable1	68.35
aconitate [cis or trans]	68.31
1-linoleoyl-GPC (18:2)	68.25
N-acetyl-beta-alanine	68.24
3-methoxytyramine sulfate	68.15
2-hydroxydecanoate	68.14
1-linoleoyl-GPG (18:2)*	68.13
17alpha-hydroxypregnenolone 3-sulfate	68.12
androsterone glucuronide	68.08
octadecanedioylcarnitine (C18-DC)*	67.92
sphingosine 1-phosphate	67.91
cortolone glucuronide (1)	67.9
linolenate (18:3n3 or 3n6)	67.89
glycoursodeoxycholate	67.83
androstenediol (3beta,17beta) disulfate (2)	67.83
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	67.81
tyrosine	67.79
alpha-hydroxyisovalerate	67.7
3-hydroxydecanoate	67.49
cystine	67.48
N6-methyllysine	67.35
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	67.35
bilirubin	67.35
bilirubin (E,Z or Z,E)*	67.3
1-linolenoyl-GPC (18:3)*	67.19
sarcosine	67.16
3-aminoisobutyrate	67.11
13-HODE + 9-HODE	67.09
hexanoylcarnitine (C6)	67.06
5alpha-androstan-3beta,17alpha-diol disulfate	67.05
arabinose	67.03
cysteine s-sulfate	66.94
1-oleoyl-GPC (18:1)	66.91
1-palmitoyl-GPA (16:0)	66.84
gamma-glutamylglycine	66.75
pregnanediol-3-glucuronide	66.7
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	66.65
homocitrulline	66.59
argininate*	66.5
N-acetylthreonine	66.48
butyrylcarnitine (C4)	66.39
1-arachidonoyl-GPI* (20:4)*	66.36
fructosyllysine	66.25
carnitine	66.24
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	66.22
2,3-dihydroxy-2-methylbutyrate	66.15
1-arachidonoyl-GPE (20:4n6)*	66.08
guanidinoacetate	66.02
N-acetylmethionine	65.92
ribulonate/xylulonate/lyxonate*	65.87
acetylcarnitine (C2)	65.86
stearidonate (18:4n3)	65.84
gamma-glutamyltyrosine	65.83
1-(1-enyl-stearoyl)-GPE (P-18:0)*	65.74
kynurenine	65.68
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	65.64
1-linoleoyl-GPE (18:2)*	65.63
sebacate (C10-DC)	65.59
hexadecadienoate (16:2n6)	65.47
isovalerylcarnitine (C5)	65.37
1-methyl-4-imidazoleacetate	65.37
isovalerate (C5)	65.3
dopamine 3-O-sulfate	65.28
androstenediol (3alpha, 17alpha) monosulfate (3)	65.24
6-oxopiperidine-2-carboxylate	65.21
cortisol	65.16
undecenoylcarnitine (C11:1)	65.11
caprate (10:0)	65.07
ornithine	65.06
1-oleoylglycerol (18:1)	65.03
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	65.01
maltotriose	64.9
tetradecadienedioate (C14:2-DC)*	64.87
undecanoate (11:0)	64.83
erucate (22:1n9)	64.73
behenoyl sphingomyelin (d18:1/22:0)*	64.62
cerotoylcarnitine (C26)*	64.61
glucuronate	64.57
1-stearoyl-GPE (18:0)	64.51
5,6-dihydrouracil	64.5
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	64.47
prolylglycine	64.43
1-palmitoyl-GPE (16:0)	64.34
cysteinylglycine	64.33
1-ribosyl-imidazoleacetate*	64.21
glycerate	64.21
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	64.1
pyruvate	64.02
lysine	64.01
mannitol/sorbitol	63.97
gamma-glutamylglutamate	63.97
2-stearoyl-GPE (18:0)*	63.95
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	63.94
glycerol	63.87
3-hydroxyoctanoate	63.86
taurodeoxycholic acid 3-sulfate	63.81
creatinine	63.81
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	63.8
3-methylglutaconate	63.76
bilirubin degradation product, C16H18N2O5 (1)	63.74
