FeatName	RelFeatImp
sphingomyelin (d18:1/20:0, d16:1/22:0)*	100.0
N-acetylneuraminate	95.83
1,5-anhydroglucitol (1,5-AG)	71.02
1-oleoyl-GPC (18:1)	70.61
cortisone	68.23
glycerate	64.71
1-carboxyethylisoleucine	61.04
isobutyrylcarnitine (C4)	57.06
3beta-hydroxy-5-cholestenoate	53.47
cysteine s-sulfate	51.71
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	49.04
gentisate	47.62
methylmalonate (MMA)	45.54
3-hydroxylaurate	45.34
N-acetylglycine	44.73
oleoyl ethanolamide	44.54
citrate	43.54
maltotetraose	42.01
tricosanoyl sphingomyelin (d18:1/23:0)*	41.78
N6-acetyllysine	41.7
N-oleoylserine	40.72
oleoylcarnitine (C18:1)	39.45
2-hydroxydecanoate	39.3
dodecenedioate (C12:1-DC)*	39.12
threonine	37.76
tyrosine	37.72
1-stearoyl-GPI (18:0)	37.31
3-hydroxybutyroylglycine	35.78
phenylacetylglutamate	35.38
2-linoleoylglycerol (18:2)	34.97
cystine	34.63
1-oleoyl-GPI (18:1)	34.42
oleoylcholine	34.04
4-hydroxyphenylacetate	33.1
1-carboxyethylvaline	32.23
arachidate (20:0)	31.6
phenylacetate	30.0
indole-3-carboxylate	29.92
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	29.59
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	29.5
kynurenate	29.42
2-oleoylglycerol (18:1)	29.29
N-acetyltryptophan	29.0
pregnenetriol sulfate*	28.87
1-carboxyethylphenylalanine	28.84
guanidinoacetate	28.2
sphingomyelin (d18:2/23:1)*	27.45
cholesterol	27.07
orotidine	25.97
4-acetamidobutanoate	25.85
1-stearoyl-GPC (18:0)	25.32
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	24.73
1-arachidonoyl-GPC* (20:4)*	24.51
octadecenedioylcarnitine (C18:1-DC)*	24.4
1-linoleoyl-GPG (18:2)*	24.37
1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	23.6
1-arachidonylglycerol (20:4)	23.28
2-aminooctanoate	23.09
glycohyocholate	22.94
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	22.71
carotene diol (3)	22.45
ribitol	22.42
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	21.99
myristoylcarnitine (C14)	21.75
2-palmitoyl-GPC* (16:0)*	21.59
dodecanedioate (C12)	21.19
leucine	20.95
1-oleoylglycerol (18:1)	20.92
gamma-glutamylalanine	20.81
trimethylamine N-oxide	20.75
N-acetylkynurenine (2)	20.7
behenoylcarnitine (C22)*	20.62
2-ketocaprylate	20.53
12,13-DiHOME	20.51
5alpha-androstan-3alpha,17beta-diol 17-glucuronide	20.19
2-hydroxyglutarate	20.1
glucuronide of C10H18O2 (1)*	19.68
lignoceroyl sphingomyelin (d18:1/24:0)	19.1
3-hydroxyoleate*	19.03
1-methylnicotinamide	18.54
N-acetylglutamate	18.07
3-aminoisobutyrate	17.92
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	17.88
eicosanedioate (C20-DC)	17.46
4-hydroxyphenylacetylglutamine	17.33
tetradecadienedioate (C14:2-DC)*	17.27
isoleucine	17.27
3-hydroxydecanoate	17.24
stearate (18:0)	16.72
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	16.51
corticosterone	16.25
caprate (10:0)	16.11
beta-citrylglutamate	16.0
taurocholenate sulfate*	15.81
1-oleoyl-GPG (18:1)*	15.65
behenoyl sphingomyelin (d18:1/22:0)*	15.49
N2-acetyl,N6,N6-dimethyllysine	15.44
S-methylcysteine sulfoxide	15.27
taurochenodeoxycholic acid 3-sulfate	15.17
L-urobilin	14.86
alpha-ketoglutaramate*	14.74
linoleoylcholine*	14.62
sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	14.33
3-phosphoglycerate	14.2
cysteine-glutathione disulfide	14.2
5,6-dihydrothymine	14.15
1,2-dilinoleoyl-GPC (18:2/18:2)	14.11
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	13.93
N6-succinyladenosine	13.75
propionylglycine (C3)	13.68
N-stearoyl-sphinganine (d18:0/18:0)*	13.66
1-palmitoyl-GPI* (16:0)	13.52
4-cholesten-3-one	13.42
phenylacetylcarnitine	13.31
2-hydroxyphenylacetate	13.23
behenoyl dihydrosphingomyelin (d18:0/22:0)*	13.15
isoleucylglycine	13.07
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	12.94
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	12.91
glycochenodeoxycholate 3-sulfate	12.9
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	12.76
6-oxopiperidine-2-carboxylate	12.76
phenylacetylglutamine	12.76
glycoursodeoxycholate	12.71
3-methoxytyramine sulfate	12.66
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	12.65
sphingosine 1-phosphate	12.6
1-linoleoyl-GPI* (18:2)*	12.46
oleate/vaccenate (18:1)	12.27
N-methyltaurine	12.26
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	12.18
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	12.09
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	11.96
androstenediol (3beta,17beta) disulfate (1)	11.69
myristoleoylcarnitine (C14:1)*	11.68
maleate	11.62
