FeatName	RelFeatImp
ascorbic acid 2-sulfate	100.0
ribulonate/xylulonate/lyxonate*	97.54
carotene diol (1)	94.81
N-delta-acetylornithine	93.6
5,6-dihydrothymine	90.81
1-oleoylglycerol (18:1)	90.77
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	89.65
carotene diol (2)	88.44
glycochenodeoxycholate glucuronide (1)	88.31
cortolone glucuronide (1)	87.41
6-bromotryptophan	87.37
5alpha-androstan-3alpha,17alpha-diol monosulfate	86.8
2-hydroxydecanoate	86.2
indoleacetate	86.06
FAD	85.73
ribitol	85.69
5alpha-androstan-3alpha,17beta-diol monosulfate (2)	85.36
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	85.05
isoleucylglycine	84.91
allantoin	84.69
3-methylhistidine	84.66
2'-O-methyluridine	84.17
6-oxopiperidine-2-carboxylate	83.65
glycocholenate sulfate*	83.65
3-indoxyl sulfate	83.37
3-methoxytyramine sulfate	83.36
N-formylphenylalanine	83.05
eicosanedioate (C20-DC)	82.59
azelate (C9-DC)	82.43
dihomo-linoleoylcarnitine (C20:2)*	82.29
5alpha-androstan-3alpha,17beta-diol disulfate	82.23
arachidonoylcarnitine (C20:4)	81.89
indoleacetylglutamine	81.84
indolepropionate	81.37
alpha-ketoglutarate	81.17
beta-hydroxyisovalerate	81.09
3-hydroxy-3-methylglutarate	80.82
gamma-glutamylphenylalanine	80.38
hypoxanthine	80.21
histidine	80.16
2S,3R-dihydroxybutyrate	80.04
13-HODE + 9-HODE	79.74
pentose acid*	79.66
pelargonate (9:0)	78.97
N2-acetyl,N6,N6-dimethyllysine	78.42
deoxycholic acid glucuronide	78.33
androstenediol (3alpha, 17alpha) monosulfate (2)	78.19
N6,N6-dimethyllysine	78.18
cysteinylglycine	78.12
behenoyl sphingomyelin (d18:1/22:0)*	77.72
bilirubin (E,Z or Z,E)*	77.6
16-hydroxypalmitate	77.5
arabitol/xylitol	77.42
indolelactate	77.38
bilirubin (E,E)*	77.37
methionine	77.29
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	77.15
glutarate (C5-DC)	77.13
1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	76.94
3-(4-hydroxyphenyl)lactate (HPLA)	76.73
random_variable1	76.68
dehydroepiandrosterone sulfate (DHEA-S)	76.58
pyroglutamine*	76.29
choline	76.25
guanidinoacetate	76.11
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	76.07
maleate	75.76
