FeatName	RelFeatImp
N-acetylcitrulline	100.0
etiocholanolone glucuronide	80.39
2-stearoyl-GPE (18:0)*	75.37
N-formylmethionine	74.14
androsterone sulfate	72.29
serotonin	71.21
cortolone glucuronide (1)	69.9
pregnanediol-3-glucuronide	69.64
vanillactate	68.1
5alpha-androstan-3alpha,17alpha-diol monosulfate	64.94
epiandrosterone sulfate	64.92
N-acetylasparagine	64.61
2-aminoheptanoate	63.2
linoleoylcholine*	62.57
tyrosine	61.73
behenoyl dihydrosphingomyelin (d18:0/22:0)*	61.02
1-methyladenosine	60.65
quinolinate	60.53
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	60.2
docosahexaenoylcholine	60.01
tiglyl carnitine (C5)	59.88
N-acetylthreonine	59.75
4-acetamidobutanoate	58.88
myo-inositol	57.73
xanthosine	57.44
arachidonoylcarnitine (C20:4)	56.42
pristanate	56.12
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	55.97
N-acetylglucosamine/N-acetylgalactosamine	55.83
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	54.83
5alpha-pregnan-diol disulfate	53.94
N-acetyltyrosine	53.55
heptanoate (7:0)	53.23
2R,3R-dihydroxybutyrate	52.75
docosahexaenoylcarnitine (C22:6)*	52.65
sphingomyelin (d17:2/16:0, d18:2/15:0)*	52.61
pregnanolone/allopregnanolone sulfate	51.96
N6-acetyllysine	51.75
5alpha-pregnan-3beta,20alpha-diol disulfate	51.72
3beta-hydroxy-5-cholestenoate	51.41
androstenediol (3beta,17beta) disulfate (2)	51.25
deoxycarnitine	50.95
alpha-tocopherol	50.8
behenoyl sphingomyelin (d18:1/22:0)*	50.56
alpha-hydroxycaproate	50.27
kynurenine	50.15
ribulonate/xylulonate/lyxonate*	50.02
cysteinylglycine disulfide*	49.16
cortisol	48.8
threonate	48.6
fructose	48.52
oleoylcholine	48.23
palmitoylcholine	47.93
caproate (6:0)	47.71
citrulline	47.68
androstenediol (3alpha, 17alpha) monosulfate (3)	47.66
pseudouridine	47.49
bilirubin (E,E)*	47.41
N-acetylglutamate	47.23
glycerate	47.21
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	46.8
pregnenolone sulfate	46.52
N,N,N-trimethyl-5-aminovalerate	46.46
androstenediol (3beta,17beta) monosulfate (2)	46.19
sphingomyelin (d18:1/24:1, d18:2/24:0)*	46.01
1-stearoyl-GPI (18:0)	45.99
dihomo-linolenoyl-choline	45.98
6-oxopiperidine-2-carboxylate	45.92
palmitoylcarnitine (C16)	45.8
3-(4-hydroxyphenyl)lactate (HPLA)	45.57
lignoceroyl sphingomyelin (d18:1/24:0)	45.52
phenylalanine	45.41
phenylpyruvate	45.1
2-aminooctanoate	44.87
hydroxy-N6,N6,N6-trimethyllysine*	44.72
N6-carboxymethyllysine	44.69
nisinate (24:6n3)	44.23
pelargonate (9:0)	43.85
metabolonic lactone sulfate	43.47
N-oleoylserine	43.14
glycerol	43.13
isovalerate (C5)	43.09
21-hydroxypregnenolone disulfate	43.07
fumarate	42.79
hydroxy-CMPF*	42.68
glutarylcarnitine (C5-DC)	42.66
3-aminoisobutyrate	42.64
N-palmitoyl-sphingadienine (d18:2/16:0)*	42.64
2-aminobutyrate	42.61
N-formylanthranilic acid	42.44
citrate	42.43
arachidonoylcholine	42.42
gamma-CEHC	41.92
inosine	41.87
glycochenodeoxycholate glucuronide (1)	41.84
creatine	41.77
cysteine s-sulfate	41.68
9,10-DiHOME	41.52
gentisate	41.15
5,6-dihydrothymine	41.05
taurine	41.04
decanoylcarnitine (C10)	40.82
carotene diol (3)	40.79
5-methyluridine (ribothymidine)	40.77
pyroglutamine*	40.54
beta-alanine	40.41
N-palmitoylserine	40.14
N-stearoyl-sphinganine (d18:0/18:0)*	40.13
glycohyocholate	40.05
stearoylcholine*	40.01
phenylacetylglutamine	39.77
4-cholesten-3-one	39.54
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	39.04
cys-gly, oxidized	39.0
5alpha-androstan-3alpha,17beta-diol monosulfate (1)	38.81
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	38.8
dehydroepiandrosterone sulfate (DHEA-S)	38.65
sphingosine 1-phosphate	38.56
heneicosapentaenoate (21:5n3)	38.48
7-HOCA	38.42
octadecadienedioate (C18:2-DC)*	38.34
ribitol	38.29
N-acetylglutamine	38.22
dihomo-linoleoylcarnitine (C20:2)*	38.13
gamma-glutamylglutamate	38.12
sphingomyelin (d18:2/21:0, d16:2/23:0)*	37.81
2S,3R-dihydroxybutyrate	37.57
cis-3,4-methyleneheptanoylglycine	37.55
glutarate (C5-DC)	37.44
tryptophan	37.3
tricosanoyl sphingomyelin (d18:1/23:0)*	37.14
pregnen-diol disulfate*	37.03
eicosanedioate (C20-DC)	36.89
undecanedioate (C11-DC)	36.89
2-hydroxybutyrate/2-hydroxyisobutyrate	36.86
lactate	36.82
hydroxyproline	36.74
N-acetylneuraminate	36.64
phenylacetate	36.63
androstenediol (3alpha, 17alpha) monosulfate (2)	36.6
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	36.58
N-palmitoyl-sphinganine (d18:0/16:0)	36.45
sphingomyelin (d18:2/24:2)*	36.44
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*	35.98
valerate (5:0)	35.93
indoleacetate	35.92
linoleoylcarnitine (C18:2)*	35.87
taurochenodeoxycholic acid 3-sulfate	35.73
orotate	35.69
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	35.64
ascorbic acid 2-sulfate	35.57
proline	35.44
17alpha-hydroxypregnenolone 3-sulfate	35.41
2-hydroxyphenylacetate	35.33
3-(3-amino-3-carboxypropyl)uridine*	35.22
glycochenodeoxycholate 3-sulfate	35.13
glycochenodeoxycholate	34.99
2-ketocaprylate	34.91
2-hydroxyglutarate	34.88
gamma-glutamyltryptophan	34.85
4-hydroxyphenylpyruvate	34.81
gulonate*	34.8
retinol (Vitamin A)	34.76
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	34.72
glucuronate	34.62
allantoin	34.52
vanillylmandelate (VMA)	34.51
N-acetylserine	34.43
tyramine O-sulfate	34.26
mannose	34.22
pregnenediol sulfate (C21H34O5S)*	34.22
threonine	34.13
gamma-glutamylleucine	34.01
androsterone glucuronide	33.96
xanthine	33.91
glucose	33.81
arabitol/xylitol	33.71
hexanoylglutamine	33.68
5alpha-androstan-3beta,17beta-diol monosulfate (2)	33.61
N6-carbamoylthreonyladenosine	33.49
sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	33.38
N6,N6,N6-trimethyllysine	33.36
indoleacetoylcarnitine*	33.23
2-palmitoyl-GPC* (16:0)*	33.2
xanthurenate	33.19
sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	33.19
9-hydroxystearate	33.17
carotene diol (1)	33.17
3-hydroxyisobutyrate	33.15
cis-3,4-methyleneheptanoate	33.13
N-delta-acetylornithine	33.11
isobutyrylcarnitine (C4)	33.09
5-dodecenoylcarnitine (C12:1)	33.06
creatinine	32.96
carotene diol (2)	32.96
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	32.95
alpha-hydroxyisocaproate	32.94
bilirubin degradation product, C17H18N2O4 (1)	32.92
undecanoate (11:0)	32.91
3-methylglutaconate	32.82
glycine	32.82
uracil	32.73
N-acetyl-isoputreanine	32.72
malate	32.69
betaine	32.51
phenylacetylcarnitine	32.49
sarcosine	32.49
branched chain 14:0 dicarboxylic acid	32.48
trans-urocanate	32.32
tryptophan betaine	32.31
hexanoylglycine (C6)	32.27
eicosenedioate (C20:1-DC)*	32.19
2-oxoarginine*	32.13
valine	32.12
beta-hydroxyisovalerate	32.08
alpha-ketobutyrate	32.05
guanidinoacetate	31.97
N-acetylvaline	31.9
N-methylproline	31.71
