FeatName	RelFeatImp
N-oleoylserine	100.0
undecenoylcarnitine (C11:1)	99.8
phenylpyruvate	98.11
eicosanedioate (C20-DC)	97.41
caproate (6:0)	97.39
gamma-CEHC	96.52
uracil	95.98
glycocholenate sulfate*	95.7
N-formylanthranilic acid	95.39
hydroxy-CMPF*	95.06
tyrosine	94.34
threonine	94.24
S-1-pyrroline-5-carboxylate	94.14
N-formylphenylalanine	93.83
isovalerate (C5)	93.43
pyruvate	93.3
glycolithocholate sulfate*	92.43
propionylglycine (C3)	91.64
N-palmitoyl-sphingadienine (d18:2/16:0)*	91.26
S-methylcysteine	91.16
eicosapentaenoylcholine	91.0
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	90.94
glycoursodeoxycholate	90.54
xanthine	90.45
N6,N6,N6-trimethyllysine	90.23
trans-urocanate	90.08
N-acetylcarnosine	89.61
histidine	88.96
allantoin	88.95
creatinine	88.72
glucose	88.56
vanillylmandelate (VMA)	88.42
N-acetyl-beta-alanine	88.38
myristoyl dihydrosphingomyelin (d18:0/14:0)*	88.33
sphinganine	88.3
threonate	88.09
maltotetraose	87.92
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	87.84
heptanoate (7:0)	87.48
pyridoxate	87.48
gamma-glutamyl-alpha-lysine	87.45
octadecadienedioate (C18:2-DC)*	87.21
sarcosine	87.14
prolylhydroxyproline	86.95
deoxycarnitine	86.75
bilirubin (E,E)*	86.71
p-cresol glucuronide*	86.36
alpha-ketobutyrate	86.34
cystine	86.21
trimethylamine N-oxide	86.09
glycodeoxycholate 3-sulfate	86.07
glutamine conjugate of C7H12O2*	85.92
alanine	85.82
5,6-dihydrothymine	85.74
13-HODE + 9-HODE	85.64
mannose	85.58
myo-inositol	85.52
methionine	85.51
cis-4-decenoate (10:1n6)*	85.5
tiglyl carnitine (C5)	85.49
6-bromotryptophan	85.3
nicotinamide	85.26
N-acetyltaurine	85.19
alpha-ketoglutarate	85.18
phenol sulfate	85.15
hexadecenedioate (C16:1-DC)*	84.98
hydroxyproline	84.93
palmitoleate (16:1n7)	84.7
N-acetylcitrulline	84.69
ethylmalonate	84.66
glutarate (C5-DC)	84.59
N-delta-acetylornithine	84.52
glycine conjugate of C10H14O2 (1)*	84.49
butyrylcarnitine (C4)	84.47
cysteine-glutathione disulfide	84.36
1-methyladenosine	84.06
choline	84.05
N-acetylmethionine	83.97
pseudouridine	83.93
glutamine	83.9
valine	83.85
tetradecadienedioate (C14:2-DC)*	83.81
corticosterone	83.74
proline	83.69
9,10-DiHOME	83.54
indolepropionate	83.46
stearoyl sphingomyelin (d18:1/18:0)	83.42
phosphate	83.36
N4-acetylcytidine	83.35
carotene diol (2)	83.34
caprate (10:0)	83.33
cholate	83.32
maltose	83.27
indolelactate	83.21
branched chain 14:0 dicarboxylic acid	83.18
glutamine conjugate of C6H10O2 (2)*	83.0
alpha-tocopherol	82.99
maleate	82.95
orotate	82.9
argininate*	82.87
dopamine 3-O-sulfate	82.83
hypoxanthine	82.73
4-oxo-retinoic acid	82.67
valylglycine	82.65
uridine	82.48
N-acetylglycine	82.46
N-acetylglutamate	82.39
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	82.38
erucate (22:1n9)	82.3
random_variable1	82.27
dodecanedioate (C12)	82.2
tryptophan	82.19
dihomo-linoleoylcarnitine (C20:2)*	82.17
butyrate/isobutyrate (4:0)	82.17
taurocholenate sulfate*	82.1
N-acetylaspartate (NAA)	82.04
stearate (18:0)	82.01
octanoylcarnitine (C8)	81.92
hexadecadienoate (16:2n6)	81.86
3-hydroxyoleate*	81.84
N-acetylglutamine	81.77
phenylacetylcarnitine	81.69
inosine	81.66
phenyllactate (PLA)	81.55
N6-methyllysine	81.5
lactate	81.47
fumarate	81.3
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	81.3
N6-acetyllysine	81.21
bilirubin degradation product, C16H18N2O5 (2)	81.2
glutamine conjugate of C6H10O2 (1)*	81.14
tryptophan betaine	81.13
decadienedioic acid (C10:2-DC)	81.06
pregnanediol-3-glucuronide	80.96
cortolone glucuronide (1)	80.91
citrate	80.89
ribulonate/xylulonate/lyxonate*	80.87
7-HOCA	80.8
5-oxoproline	80.77
pelargonate (9:0)	80.58
methylmalonate (MMA)	80.58
spermidine	80.54
N-acetylthreonine	80.33
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	80.33
N1-Methyl-2-pyridone-5-carboxamide	80.28
cysteinylglycine	80.21
glutarylcarnitine (C5-DC)	80.2
phenylalanine	80.19
N-acetyltryptophan	80.15
isoursodeoxycholate	80.09
tyramine O-sulfate	80.03
taurolithocholate 3-sulfate	80.03
etiocholanolone glucuronide	80.03
dodecenedioate (C12:1-DC)*	80.03
5-dodecenoylcarnitine (C12:1)	80.02
docosahexaenoylcholine	79.81
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))	79.73
N-stearoyl-sphingadienine (d18:2/18:0)*	79.73
azelate (C9-DC)	79.73
gamma-glutamylalanine	79.73
N-acetylneuraminate	79.72
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	79.68
N-stearoyl-sphingosine (d18:1/18:0)*	79.52
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	79.51
gentisate	79.5
pyroglutamine*	79.43
pipecolate	79.43
sedoheptulose	79.41
ribonate	79.39
12,13-DiHOME	79.3
3-methyl-2-oxobutyrate	79.25
alpha-ketoglutaramate*	79.17
homocitrulline	79.15
bilirubin	79.14
methylsuccinate	79.14
lithocholate sulfate (1)	79.13
fructose	79.12
pentose acid*	79.1
undecanoate (11:0)	79.04
taurochenodeoxycholic acid 3-sulfate	78.96
