FeatName	RelFeatImp
succinylcarnitine (C4-DC)	100.0
pentadecanoate (15:0)	83.13
propionylglycine (C3)	77.96
7-methylguanine	72.08
hydroxyproline	70.9
sphingomyelin (d18:2/24:1, d18:1/24:2)*	69.49
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	68.49
gamma-glutamylvaline	66.64
alpha-hydroxycaproate	66.45
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	66.19
oxalate (ethanedioate)	66.07
hexadecadienoate (16:2n6)	65.83
cysteinylglycine disulfide*	63.37
tetradecanedioate (C14)	62.95
N-formylmethionine	62.72
glutamine conjugate of C6H10O2 (1)*	62.36
cortolone glucuronide (1)	61.14
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	60.82
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	58.88
N2,N2-dimethylguanosine	58.63
N-acetylglutamine	58.27
octadecenedioate (C18:1-DC)	58.21
N-acetylphenylalanine	56.61
glycerate	55.78
ximenoylcarnitine (C26:1)*	55.24
isovalerylcarnitine (C5)	54.59
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	54.21
sphingomyelin (d18:1/18:1, d18:2/18:0)	53.96
palmitoylcarnitine (C16)	53.85
beta-hydroxyisovalerate	53.52
isoursodeoxycholate	52.81
cholesterol	52.77
thyroxine	52.39
malate	51.93
sphingomyelin (d18:0/18:0, d19:0/17:0)*	51.25
sphingomyelin (d18:2/24:2)*	50.79
pyridoxate	50.47
5alpha-androstan-3alpha,17beta-diol 17-glucuronide	50.2
spermidine	50.02
heptanoate (7:0)	49.78
N-acetylglutamate	49.3
glycine conjugate of C10H14O2 (1)*	49.15
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	48.66
beta-alanine	48.57
phenylacetylcarnitine	48.37
phosphate	48.07
1,2-dipalmitoyl-GPC (16:0/16:0)	47.91
octadecadienedioate (C18:2-DC)*	47.88
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	47.82
picolinoylglycine	47.65
sarcosine	47.65
7-HOCA	47.57
decanoylcarnitine (C10)	47.28
prolylhydroxyproline	47.24
5,6-dihydrothymine	47.15
gamma-glutamylalanine	46.97
glycohyocholate	46.9
pelargonate (9:0)	46.84
phenol sulfate	46.78
gamma-glutamylglutamate	46.33
N-delta-acetylornithine	45.97
glycocholate	45.59
2-hydroxypalmitate	45.5
3-(4-hydroxyphenyl)lactate (HPLA)	45.24
arabonate/xylonate	45.18
N-acetyl-2-aminooctanoate*	44.89
3-hydroxyoctanoylcarnitine (1)	44.56
trans-urocanate	44.37
vanillactate	43.82
glycoursodeoxycholate	43.73
3-hydroxy-3-methylglutarate	43.55
docosadienoate (22:2n6)	43.3
hexadecanedioate (C16)	43.14
stearoyl sphingomyelin (d18:1/18:0)	42.98
N-acetylputrescine	42.95
alpha-hydroxyisocaproate	42.83
N-acetylarginine	42.76
cysteinylglycine	42.52
3-ureidopropionate	42.46
gamma-glutamylglutamine	42.26
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	42.22
linolenoylcarnitine (C18:3)*	42.07
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	42.07
tauro-beta-muricholate	41.99
hydroxy-CMPF*	41.51
glycochenodeoxycholate	41.31
deoxycarnitine	41.21
sphingomyelin (d18:2/16:0, d18:1/16:1)*	41.16
formiminoglutamate	41.07
myristoyl dihydrosphingomyelin (d18:0/14:0)*	40.7
N-methylproline	40.7
linoleoylcarnitine (C18:2)*	40.51
butyrate/isobutyrate (4:0)	40.4
cys-gly, oxidized	40.03
2-aminoheptanoate	39.92
tryptophan	39.87
indolepropionate	39.62
gamma-glutamylthreonine	39.52
dodecenedioate (C12:1-DC)*	39.42
N-acetylasparagine	39.35
ribonate	39.11
N-acetylhistidine	38.78
undecanoate (11:0)	38.73
glycine conjugate of C10H12O2*	38.5
caprate (10:0)	38.47
glutarate (C5-DC)	38.47
gamma-glutamylisoleucine*	38.39
fumarate	38.24
bilirubin degradation product, C16H18N2O5 (1)	38.23
eicosenedioate (C20:1-DC)*	37.76
phenol glucuronide	37.72
hexanoylglycine (C6)	37.64
alanine	37.63
carotene diol (2)	37.46
taurocholenate sulfate*	37.28
threonate	37.22
N1-methylinosine	37.12
cortisol	37.07
caprylate (8:0)	36.92
cis-3,4-methyleneheptanoylglycine	36.92
undecanedioate (C11-DC)	36.72
arachidate (20:0)	36.69
taurolithocholate 3-sulfate	36.66
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	36.38
N2,N5-diacetylornithine	36.37
myristoleoylcarnitine (C14:1)*	36.27
carnitine	36.27
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	36.14
isoleucine	36.13
bilirubin degradation product, C17H20N2O5 (1)	36.09
taurodeoxycholate	35.93
myristate (14:0)	35.91
5-dodecenoylcarnitine (C12:1)	35.82
dihomolinolenate (20:3n3 or 3n6)	35.79
5-methyluridine (ribothymidine)	35.7
4-methylhexanoylglutamine	35.67
stearidonate (18:4n3)	35.66
N1-Methyl-2-pyridone-5-carboxamide	35.57
etiocholanolone glucuronide	35.49
ascorbic acid 2-sulfate	35.45
taurochenodeoxycholic acid 3-sulfate	35.42
bilirubin	35.36
cis-3,4-methyleneheptanoate	35.32
