FeatName	RelFeatImp
5alpha-androstan-3alpha,17beta-diol monosulfate (2)	100.0
5alpha-androstan-3alpha,17beta-diol 17-glucuronide	70.7
5alpha-androstan-3alpha,17beta-diol disulfate	46.53
gamma-glutamylleucine	26.65
creatinine	18.5
5alpha-androstan-3beta,17beta-diol disulfate	18.31
N-acetylcarnosine	17.81
pyroglutamine*	16.73
leucine	14.92
androsterone glucuronide	12.56
sphingomyelin (d18:2/14:0, d18:1/14:1)*	12.18
isoleucine	9.54
alpha-hydroxyisocaproate	9.38
5alpha-androstan-3beta,17beta-diol monosulfate (2)	9.12
pregnen-diol disulfate*	8.62
sphingomyelin (d18:2/21:0, d16:2/23:0)*	8.57
sphingomyelin (d17:2/16:0, d18:2/15:0)*	8.51
androstenediol (3alpha, 17alpha) monosulfate (3)	8.01
2-hydroxy-3-methylvalerate	7.72
3-methyl-2-oxovalerate	7.68
guanidinoacetate	7.57
beta-hydroxyisovalerate	7.38
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	7.09
2S,3R-dihydroxybutyrate	6.89
sphingomyelin (d18:2/16:0, d18:1/16:1)*	6.83
4-methyl-2-oxopentanoate	6.58
indolelactate	6.45
cerotoylcarnitine (C26)*	6.11
phenylpyruvate	5.9
N,N,N-trimethyl-alanylproline betaine (TMAP)	5.89
epiandrosterone sulfate	5.64
myristoleate (14:1n5)	5.38
deoxycarnitine	5.1
gamma-glutamylphenylalanine	4.81
5alpha-androstan-3beta,17alpha-diol disulfate	4.8
sphingomyelin (d18:2/18:1)*	4.76
tryptophan	4.65
sphingomyelin (d18:2/24:2)*	4.65
allantoin	4.6
sphingomyelin (d18:2/23:1)*	4.46
androstenediol (3beta,17beta) monosulfate (2)	4.45
3-(4-hydroxyphenyl)lactate (HPLA)	4.38
glycerol	4.21
ximenoylcarnitine (C26:1)*	4.21
creatine	3.88
pregnenetriol sulfate*	3.8
N-acetylkynurenine (2)	3.71
5alpha-pregnan-3beta,20alpha-diol disulfate	3.68
3-ureidopropionate	3.52
pregnenediol sulfate (C21H34O5S)*	3.48
glycochenodeoxycholate glucuronide (1)	3.45
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	3.31
phenyllactate (PLA)	3.3
heptanoate (7:0)	3.28
4-guanidinobutanoate	3.28
pregnanolone/allopregnanolone sulfate	3.26
2-methylbutyrylcarnitine (C5)	3.22
arabitol/xylitol	3.16
carotene diol (2)	3.14
sphingomyelin (d18:1/18:1, d18:2/18:0)	3.13
picolinoylglycine	3.13
1-arachidonylglycerol (20:4)	3.12
laurate (12:0)	3.11
hydantoin-5-propionate	3.09
N-acetyltryptophan	3.07
alpha-hydroxyisovalerate	2.99
17alpha-hydroxypregnenolone 3-sulfate	2.93
urate	2.69
5alpha-androstan-3alpha,17alpha-diol monosulfate	2.62
5-dodecenoate (12:1n7)	2.61
arginine	2.51
sphingomyelin (d18:1/20:1, d18:2/20:0)*	2.47
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	2.42
dimethylarginine (ADMA + SDMA)	2.41
propionylcarnitine (C3)	2.39
orotidine	2.38
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	2.32
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	2.31
etiocholanolone glucuronide	2.29
pelargonate (9:0)	2.29
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	2.26
androstenediol (3beta,17beta) disulfate (1)	2.16
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	2.15
valine	2.15
myristoyl dihydrosphingomyelin (d18:0/14:0)*	2.14
palmitoleate (16:1n7)	2.14
9-hydroxystearate	2.12
N-formylanthranilic acid	2.12
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	2.09
bilirubin	2.06
pantothenate (Vitamin B5)	2.04
3b-hydroxy-5-cholenoic acid	2.03
cortisone	2.02
sphingomyelin (d18:1/14:0, d16:1/16:0)*	1.99
5alpha-pregnan-diol disulfate	1.99
