FeatName	RelFeatImp
metabolonic lactone sulfate	100.0
S-methylcysteine	99.68
etiocholanolone glucuronide	98.79
methylsuccinate	98.08
heptanoate (7:0)	97.71
cortisone	97.42
N-acetylglutamate	97.0
N-acetylmethionine	96.38
eicosanedioate (C20-DC)	95.95
carotene diol (3)	94.99
N1-Methyl-2-pyridone-5-carboxamide	94.69
random_variable1	94.54
valylglycine	94.29
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	94.19
isovalerate (C5)	93.65
1-oleoylglycerol (18:1)	93.52
octadecanedioate (C18)	93.04
choline	92.71
3-indoxyl sulfate	92.45
tryptophan betaine	92.38
spermidine	92.37
glycine conjugate of C10H14O2 (1)*	92.18
ribitol	91.99
mannose	91.44
undecanedioate (C11-DC)	91.32
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	91.22
indolepropionate	90.99
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	90.44
cys-gly, oxidized	90.34
1-oleoyl-GPI (18:1)	89.69
5alpha-pregnan-diol disulfate	89.26
dopamine 3-O-sulfate	89.25
2-hydroxyphytanate*	89.24
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	89.1
1-linoleoylglycerol (18:2)	88.82
hyocholate	88.8
6-bromotryptophan	88.29
N-acetyltyrosine	88.26
carotene diol (1)	88.21
4-hydroxy-2-oxoglutaric acid	88.16
cysteine	88.09
cis-3,4-methyleneheptanoylglycine	88.02
cis-3,4-methyleneheptanoate	87.91
threonate	87.85
proline	87.65
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	87.64
oleoyl ethanolamide	87.49
sphingomyelin (d17:2/16:0, d18:2/15:0)*	87.26
pristanate	87.06
uracil	86.73
propionylglycine (C3)	86.73
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	86.69
alpha-ketoglutarate	86.55
caprate (10:0)	86.52
5-methyluridine (ribothymidine)	86.48
butyrate/isobutyrate (4:0)	86.21
1-linolenoyl-GPC (18:3)*	85.99
N-acetyltryptophan	85.73
bilirubin degradation product, C16H18N2O5 (3)	85.57
sucrose	85.42
pantothenate (Vitamin B5)	85.31
phenol sulfate	85.31
caprylate (8:0)	85.23
glutarylcarnitine (C5-DC)	85.15
2-hydroxybutyrate/2-hydroxyisobutyrate	84.96
3-hydroxyoleate*	84.88
N-stearoyl-sphinganine (d18:0/18:0)*	84.83
1-lignoceroyl-GPC (24:0)	84.78
6-oxopiperidine-2-carboxylate	84.66
behenoyl sphingomyelin (d18:1/22:0)*	84.62
hypotaurine	84.58
acisoga	84.58
2-hydroxy-3-methylvalerate	84.5
trans-urocanate	84.49
propionylcarnitine (C3)	84.36
2'-O-methyluridine	84.35
lactate	84.33
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	84.3
arabinose	84.29
orotate	84.29
2,3-dihydroxy-2-methylbutyrate	84.24
ascorbic acid 3-sulfate*	84.18
cortisol	84.16
gamma-glutamylalanine	84.14
pelargonate (9:0)	84.09
cis-4-decenoylcarnitine (C10:1)	83.92
hydantoin-5-propionate	83.85
glutarate (C5-DC)	83.84
uridine	83.72
bilirubin (E,E)*	83.68
1-linoleoyl-GPI* (18:2)*	83.59
pyruvate	83.56
cysteine s-sulfate	83.53
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	83.26
1-methyladenosine	83.1
N2-acetyl,N6,N6-dimethyllysine	83.09
eicosenedioate (C20:1-DC)*	83.01
3-ureidopropionate	82.89
inosine	82.87
glycoursodeoxycholate	82.85
methionine sulfoxide	82.82
vanillylmandelate (VMA)	82.81
beta-cryptoxanthin	82.78
phenylacetylcarnitine	82.73
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	82.7
sphinganine-1-phosphate	82.65
N2,N5-diacetylornithine	82.57
creatine	82.57
glycocholenate sulfate*	82.51
carotene diol (2)	82.43
gamma-tocopherol/beta-tocopherol	82.34
mannitol/sorbitol	82.32
N-methylproline	82.26
5-dodecenoylcarnitine (C12:1)	82.19
3-methoxytyrosine	82.08
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))	82.05
glycosyl ceramide (d18:1/20:0, d16:1/22:0)*	82.03
3beta-hydroxy-5-cholestenoate	81.96
pipecolate	81.94
dimethylarginine (ADMA + SDMA)	81.82
N4-acetylcytidine	81.76
glutamine conjugate of C6H10O2 (1)*	81.75
cysteinylglycine	81.74
2-hydroxydecanoate	81.58
2-hydroxyphenylacetate	81.57
serine	81.51
cysteinylglycine disulfide*	81.45
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	81.38
12,13-DiHOME	81.36
histidine	81.33
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	81.19
hexadecenedioate (C16:1-DC)*	81.15
heptenedioate (C7:1-DC)*	81.06
3-methylhistidine	80.95
