FeatName	RelFeatImp
Zotu84	100.0
Zotu34	97.02
Zotu98	90.22
Zotu24	86.89
Zotu14	75.06
Zotu65	58.2
Zotu67	55.79
Zotu164	52.89
Zotu97	52.72
Zotu80	51.98
Zotu23	51.47
Zotu160	48.83
Zotu109	48.73
Zotu128	48.64
Zotu235	48.55
Zotu64	47.31
Zotu196	47.26
Zotu11	46.26
Zotu28	46.03
Zotu255	45.32
Zotu41	44.32
Zotu105	44.07
Zotu228	43.05
Zotu76	42.87
Zotu100	41.99
Zotu72	41.82
Zotu188	41.26
Zotu55	40.95
Zotu247	40.84
Zotu90	40.8
Zotu25	40.67
Zotu40	40.49
Zotu50	40.17
Zotu26	39.32
Zotu2	39.31
Zotu42	38.98
Zotu165	38.71
Zotu99	38.59
Zotu113	37.52
Zotu12	37.47
Zotu15	37.4
Zotu49	37.22
Zotu208	36.75
Zotu130	36.73
Zotu19	36.53
Zotu47	36.26
Zotu18	36.2
Zotu10	36.06
Zotu137	35.58
random_variable1	35.05
Zotu71	34.42
Zotu202	33.51
Zotu54	33.06
Zotu60	32.92
Zotu157	32.73
Zotu35	32.65
Zotu5	32.45
Zotu13	32.1
Zotu237	32.0
Zotu59	31.9
Zotu1	31.68
Zotu88	31.31
Zotu7	30.52
Zotu156	30.25
Zotu6	29.59
Zotu52	29.22
Zotu16	29.03
Zotu73	28.76
Zotu17	28.68
Zotu163	28.34
Zotu127	28.1
Zotu147	28.1
Zotu106	27.95
Zotu187	27.14
Zotu30	27.11
Zotu185	26.8
Zotu81	26.58
Zotu146	26.32
Zotu154	25.86
Zotu4	25.5
Zotu79	25.49
Zotu152	25.42
Zotu77	25.41
Zotu101	25.24
Zotu3	25.16
Zotu82	25.15
Zotu254	25.14
Zotu9	24.92
Zotu62	24.75
Zotu139	24.7
Zotu32	24.7
Zotu57	24.65
Zotu287	24.53
Zotu112	24.41
Zotu68	24.33
Zotu39	24.08
Zotu38	23.95
Zotu153	23.9
Zotu197	23.71
Zotu36	23.65
Zotu118	23.62
Zotu8	23.53
Zotu253	22.9
Zotu56	22.42
Zotu138	22.3
Zotu78	21.9
Zotu258	21.86
Zotu83	21.85
Zotu69	21.85
Zotu37	21.73
Zotu194	21.68
Zotu175	21.37
Zotu207	21.11
Zotu288	21.04
Zotu21	20.93
Zotu94	19.94
Zotu85	19.74
Zotu179	19.72
Zotu89	19.57
Zotu145	19.32
Zotu252	19.18
Zotu87	18.73
Zotu150	18.3
Zotu182	18.16
Zotu126	17.37
Zotu143	17.27
Zotu27	17.17
Zotu70	16.71
Zotu20	16.68
Zotu46	16.66
Zotu44	16.34
Zotu232	16.02
Zotu96	16.01
Zotu151	15.98
Zotu132	15.09
Zotu158	15.06
Zotu61	14.64
Zotu131	14.52
Zotu53	14.44
Zotu174	14.36
Zotu120	13.83
Zotu115	13.67
Zotu129	12.64
Zotu75	12.4
Zotu198	11.45
Zotu205	11.37
Zotu172	11.09
random_variable2	0.0
