FeatName	RelFeatImp
Zotu1	100.0
Zotu23	96.16
Zotu20	89.03
Zotu196	82.44
Zotu89	75.0
Zotu82	70.26
Zotu53	66.05
Zotu42	64.57
Zotu65	63.73
Zotu6	61.29
Zotu182	61.15
Zotu30	61.08
Zotu158	60.63
Zotu126	60.32
Zotu87	59.99
Zotu81	59.83
Zotu179	58.68
Zotu79	57.61
Zotu198	57.17
Zotu130	56.91
Zotu64	54.87
Zotu56	54.06
Zotu109	53.73
Zotu96	53.3
Zotu80	52.98
Zotu139	52.49
Zotu84	52.24
Zotu13	51.25
Zotu207	51.17
Zotu112	50.79
Zotu14	50.48
Zotu228	50.09
Zotu137	48.6
Zotu98	48.19
Zotu128	47.88
Zotu165	47.76
Zotu52	47.75
Zotu12	47.7
Zotu61	47.14
Zotu185	46.29
random_variable1	45.9
Zotu188	45.86
Zotu88	45.18
Zotu7	44.69
Zotu120	44.47
Zotu157	44.15
Zotu118	43.6
Zotu205	43.51
Zotu40	43.43
Zotu28	43.42
Zotu19	42.93
Zotu60	42.91
Zotu77	42.45
Zotu163	42.45
Zotu253	42.42
Zotu255	42.02
Zotu50	41.88
Zotu24	41.78
Zotu46	41.41
Zotu105	40.97
Zotu138	40.18
Zotu150	40.13
Zotu164	39.64
Zotu69	39.63
Zotu67	39.61
Zotu35	39.56
Zotu94	39.47
Zotu72	39.46
Zotu71	39.42
Zotu197	38.83
Zotu4	38.73
Zotu37	38.67
Zotu208	38.21
Zotu68	37.75
Zotu115	37.26
Zotu17	36.56
Zotu39	36.47
Zotu99	36.45
Zotu47	36.34
Zotu11	36.34
Zotu21	36.26
Zotu38	36.19
Zotu127	36.1
Zotu156	36.04
Zotu62	36.0
Zotu10	35.51
Zotu9	35.28
Zotu202	35.19
Zotu97	35.17
Zotu73	35.1
Zotu54	34.97
Zotu160	34.86
Zotu76	34.16
Zotu2	34.16
Zotu145	34.02
Zotu90	33.94
Zotu3	33.69
Zotu131	33.31
Zotu34	33.22
Zotu25	32.79
Zotu85	32.76
Zotu252	32.72
Zotu8	32.67
Zotu100	32.67
Zotu5	32.53
Zotu27	32.06
Zotu26	32.05
Zotu247	31.81
Zotu57	31.65
Zotu194	31.38
Zotu32	30.67
Zotu55	30.29
Zotu132	30.09
Zotu143	30.05
Zotu153	29.67
Zotu232	29.52
Zotu101	29.41
Zotu44	29.37
Zotu174	29.27
Zotu146	29.26
Zotu235	28.71
Zotu187	28.13
Zotu154	28.06
Zotu106	27.73
Zotu15	27.46
Zotu36	27.37
Zotu78	27.34
Zotu18	26.94
Zotu152	26.92
Zotu147	26.33
Zotu287	26.28
Zotu237	25.93
Zotu41	24.82
Zotu258	24.03
Zotu254	23.87
Zotu59	23.68
Zotu175	23.59
Zotu49	23.01
Zotu75	22.49
Zotu83	22.47
Zotu113	22.18
Zotu129	22.13
Zotu288	22.0
Zotu16	21.95
Zotu70	20.49
Zotu151	18.64
Zotu172	16.36
random_variable2	0.0
