FeatName	RelFeatImp
Zotu105	100.0
Zotu84	83.59
Zotu139	74.72
Zotu23	70.47
Zotu71	67.38
Zotu106	62.5
Zotu194	60.44
Zotu44	59.35
Zotu1	55.42
Zotu7	50.64
Zotu164	47.35
Zotu35	46.92
Zotu82	46.76
Zotu158	46.06
Zotu255	45.44
Zotu24	44.11
Zotu21	43.79
Zotu64	42.93
Zotu131	42.42
Zotu88	42.2
Zotu128	42.13
Zotu40	41.26
Zotu228	41.02
Zotu150	40.98
Zotu137	39.76
Zotu132	39.66
Zotu109	39.41
Zotu67	38.97
Zotu138	37.55
Zotu42	37.45
Zotu20	37.35
Zotu13	36.32
Zotu196	36.26
Zotu2	35.86
Zotu207	35.58
Zotu127	35.47
Zotu120	35.04
Zotu187	34.97
Zotu165	34.94
Zotu68	34.85
Zotu65	34.84
Zotu179	34.82
Zotu56	34.57
Zotu253	34.55
Zotu50	34.5
Zotu130	33.77
Zotu52	33.65
Zotu47	33.42
Zotu208	33.4
random_variable1	33.22
Zotu46	32.94
Zotu156	32.89
Zotu81	32.86
Zotu163	32.65
Zotu11	32.4
Zotu41	31.89
Zotu154	31.7
Zotu30	31.66
Zotu160	31.39
Zotu15	31.26
Zotu115	30.94
Zotu12	30.45
Zotu252	30.08
Zotu76	29.92
Zotu26	29.43
Zotu172	29.35
Zotu80	29.25
Zotu60	29.2
Zotu39	29.19
Zotu198	29.17
Zotu77	28.67
Zotu96	28.61
Zotu152	28.59
Zotu146	28.24
Zotu19	28.23
Zotu18	28.21
Zotu85	27.98
Zotu16	27.61
Zotu70	27.3
Zotu78	27.17
Zotu53	27.04
Zotu28	26.81
Zotu188	26.65
Zotu69	26.47
Zotu17	26.29
Zotu9	26.18
Zotu27	26.17
Zotu32	26.06
Zotu61	26.06
Zotu174	26.01
Zotu57	26.0
Zotu258	25.82
Zotu4	25.78
Zotu99	25.57
Zotu87	25.55
Zotu205	25.47
Zotu79	25.33
Zotu6	25.3
Zotu73	24.88
Zotu100	24.72
Zotu145	24.65
Zotu232	24.62
Zotu113	24.25
Zotu38	24.16
Zotu49	23.91
Zotu197	23.6
Zotu37	23.59
Zotu254	23.42
Zotu147	23.23
Zotu112	23.17
Zotu36	22.93
Zotu54	22.83
Zotu182	22.73
Zotu185	22.7
Zotu10	22.64
Zotu202	22.64
Zotu129	22.57
Zotu175	22.28
Zotu94	21.85
Zotu8	21.8
Zotu287	21.09
Zotu72	21.03
Zotu75	21.02
Zotu247	20.98
Zotu118	20.97
Zotu143	20.8
Zotu59	20.77
Zotu14	20.69
Zotu101	20.67
Zotu3	20.38
Zotu34	20.16
Zotu55	20.03
Zotu126	19.77
Zotu157	19.65
Zotu89	18.9
Zotu235	18.89
Zotu62	18.77
Zotu288	18.5
Zotu97	17.95
Zotu153	17.81
Zotu25	17.73
Zotu90	16.95
Zotu237	16.18
Zotu98	16.12
Zotu5	14.04
Zotu83	13.24
Zotu151	10.22
random_variable2	0.0
