FeatName	RelFeatImp
Zotu109	100.0
Zotu16	64.38
Zotu194	53.38
Zotu128	52.64
Zotu13	45.91
Zotu3	41.06
Zotu163	32.95
Zotu255	31.66
Zotu185	30.55
Zotu101	28.99
Zotu67	28.87
Zotu62	27.98
Zotu78	27.19
Zotu68	26.7
Zotu24	26.48
Zotu14	25.89
random_variable1	25.3
Zotu126	24.87
Zotu202	24.68
Zotu79	24.35
Zotu198	24.27
Zotu4	24.02
Zotu87	23.78
Zotu40	23.59
Zotu34	23.32
Zotu77	23.12
Zotu37	23.04
Zotu113	22.96
Zotu69	22.94
Zotu6	21.79
Zotu47	21.73
Zotu207	21.73
Zotu56	21.6
Zotu106	21.56
Zotu73	21.41
Zotu19	21.35
Zotu88	21.31
Zotu76	21.19
Zotu138	21.05
Zotu39	20.98
Zotu81	20.95
Zotu17	20.14
Zotu18	19.91
Zotu54	19.82
Zotu30	19.55
Zotu49	19.25
Zotu153	19.13
Zotu65	18.64
Zotu197	18.52
Zotu26	18.26
Zotu80	18.25
Zotu165	17.72
Zotu112	17.64
Zotu97	17.4
Zotu42	17.29
Zotu164	17.14
Zotu41	17.0
Zotu12	16.99
Zotu100	16.96
Zotu7	16.61
Zotu196	16.61
Zotu36	16.53
Zotu152	16.5
Zotu174	16.36
Zotu137	16.23
Zotu151	16.21
Zotu20	16.21
Zotu59	16.12
Zotu44	16.11
Zotu156	16.1
Zotu11	16.03
Zotu2	16.03
Zotu32	15.91
Zotu27	15.87
Zotu72	15.85
Zotu8	15.77
Zotu160	15.72
Zotu228	15.7
Zotu96	15.7
Zotu99	15.64
Zotu35	15.46
Zotu15	15.45
Zotu10	15.39
Zotu254	15.34
Zotu253	15.3
Zotu118	15.19
Zotu61	15.16
Zotu188	15.09
Zotu38	15.02
Zotu71	14.99
Zotu287	14.99
Zotu50	14.91
Zotu21	14.84
Zotu89	14.55
Zotu131	14.21
Zotu57	14.21
Zotu85	14.14
Zotu9	14.02
Zotu84	13.99
Zotu28	13.94
Zotu83	13.91
Zotu127	13.76
Zotu53	13.75
Zotu130	13.58
Zotu70	13.44
Zotu258	13.42
Zotu60	13.28
Zotu182	13.28
Zotu94	13.28
Zotu139	13.12
Zotu157	13.05
Zotu208	13.01
Zotu187	12.69
Zotu247	12.52
Zotu5	12.5
Zotu154	12.49
Zotu90	12.47
Zotu237	12.13
Zotu120	12.0
Zotu146	11.87
Zotu232	11.87
Zotu115	11.8
Zotu52	11.76
Zotu75	11.68
Zotu82	11.66
Zotu143	11.58
Zotu25	11.56
Zotu158	11.37
Zotu235	11.21
Zotu172	11.2
Zotu55	11.02
Zotu252	10.94
Zotu179	10.67
Zotu105	10.63
Zotu145	10.61
Zotu132	10.54
Zotu1	10.33
Zotu129	10.32
Zotu205	10.31
Zotu23	10.11
Zotu147	10.11
Zotu64	10.01
Zotu175	9.56
Zotu98	9.56
Zotu288	9.46
Zotu46	9.22
Zotu150	9.2
random_variable2	0.0
