FeatName	RelFeatImp
Zotu20	100.0
Zotu120	67.56
Zotu1	64.2
Zotu87	62.9
Zotu139	57.0
Zotu9	56.27
Zotu10	56.04
Zotu130	55.79
Zotu53	54.7
Zotu253	54.23
Zotu194	53.54
Zotu128	53.31
Zotu80	51.11
Zotu65	49.88
Zotu81	49.72
Zotu88	49.52
Zotu56	48.92
Zotu82	48.48
Zotu23	47.23
Zotu208	47.19
Zotu179	46.53
Zotu98	46.05
Zotu156	45.69
Zotu52	45.62
Zotu15	45.44
Zotu42	45.31
Zotu72	43.62
Zotu126	43.44
Zotu137	43.1
Zotu89	41.66
Zotu207	40.39
Zotu228	39.83
Zotu25	39.78
Zotu90	39.24
Zotu157	38.11
Zotu19	38.0
Zotu158	37.38
Zotu198	37.17
Zotu60	36.98
Zotu73	36.93
Zotu106	36.65
random_variable1	36.62
Zotu12	36.51
Zotu61	35.87
Zotu35	34.9
Zotu84	34.59
Zotu112	33.89
Zotu113	33.3
Zotu115	32.75
Zotu182	32.11
Zotu255	31.72
Zotu13	31.31
Zotu145	31.23
Zotu152	31.21
Zotu21	30.76
Zotu41	30.69
Zotu96	30.47
Zotu78	30.34
Zotu105	30.21
Zotu164	30.1
Zotu30	30.04
Zotu109	29.94
Zotu40	29.79
Zotu4	29.79
Zotu64	29.73
Zotu28	29.57
Zotu99	29.32
Zotu24	29.3
Zotu77	29.27
Zotu39	29.17
Zotu163	28.98
Zotu54	28.73
Zotu79	28.53
Zotu36	28.47
Zotu5	28.29
Zotu150	28.15
Zotu6	27.89
Zotu71	27.88
Zotu237	27.77
Zotu97	27.76
Zotu50	27.45
Zotu160	27.38
Zotu47	27.3
Zotu67	26.96
Zotu235	26.82
Zotu75	26.79
Zotu247	26.75
Zotu44	26.39
Zotu187	26.3
Zotu147	25.9
Zotu196	25.57
Zotu138	25.56
Zotu153	25.41
Zotu37	25.34
Zotu132	25.26
Zotu252	25.25
Zotu175	25.09
Zotu154	25.03
Zotu62	25.03
Zotu197	25.01
Zotu94	24.95
Zotu38	24.86
Zotu287	24.45
Zotu11	24.29
Zotu2	24.25
Zotu146	24.02
Zotu118	24.0
Zotu174	23.97
Zotu188	23.97
Zotu100	23.89
Zotu68	23.83
Zotu17	23.8
Zotu57	23.75
Zotu254	23.71
Zotu26	23.53
Zotu205	23.47
Zotu7	23.44
Zotu27	23.26
Zotu8	22.39
Zotu18	21.93
Zotu127	21.72
Zotu129	21.23
Zotu131	20.82
Zotu14	20.78
Zotu55	20.7
Zotu32	20.56
Zotu101	20.43
Zotu83	20.42
Zotu143	20.39
Zotu69	20.36
Zotu258	20.21
Zotu165	20.02
Zotu59	19.86
Zotu232	19.84
Zotu3	19.61
Zotu16	19.49
Zotu46	19.33
Zotu70	19.19
Zotu202	18.8
Zotu76	18.77
Zotu185	17.88
Zotu34	17.25
Zotu288	15.96
Zotu85	14.77
Zotu172	14.51
Zotu151	14.22
Zotu49	13.35
random_variable2	0.0
