FeatName	RelFeatImp
Zotu196	100.0
Zotu126	86.62
Zotu172	78.55
Zotu35	70.91
Zotu147	69.67
Zotu14	69.41
Zotu72	62.8
Zotu15	61.61
Zotu258	61.2
Zotu105	60.69
Zotu255	59.75
Zotu194	59.2
Zotu75	54.04
Zotu157	53.94
Zotu88	53.89
Zotu287	53.4
Zotu57	51.26
Zotu26	51.15
Zotu8	50.05
Zotu11	49.99
Zotu98	49.68
Zotu61	48.94
Zotu237	48.46
Zotu83	48.2
Zotu13	48.08
Zotu156	48.01
Zotu84	46.9
Zotu99	46.72
Zotu10	46.46
Zotu129	45.59
Zotu128	45.48
Zotu112	45.22
Zotu41	44.89
Zotu138	44.59
Zotu37	44.54
Zotu207	43.89
random_variable1	43.51
Zotu19	43.36
Zotu2	43.13
Zotu23	42.64
Zotu30	42.01
Zotu188	42.0
Zotu254	41.98
Zotu56	41.6
Zotu34	40.8
Zotu39	40.79
Zotu179	40.17
Zotu62	40.14
Zotu247	40.01
Zotu164	39.79
Zotu73	39.71
Zotu253	39.67
Zotu127	39.59
Zotu152	39.42
Zotu100	39.38
Zotu21	38.63
Zotu12	38.46
Zotu40	38.35
Zotu137	38.24
Zotu28	37.89
Zotu64	37.88
Zotu9	37.38
Zotu18	37.32
Zotu46	37.3
Zotu4	37.29
Zotu232	37.07
Zotu160	37.01
Zotu32	36.94
Zotu132	36.92
Zotu90	36.55
Zotu67	36.46
Zotu197	36.36
Zotu153	36.24
Zotu53	36.12
Zotu50	36.07
Zotu42	35.72
Zotu130	35.65
Zotu80	35.6
Zotu205	35.52
Zotu47	35.37
Zotu6	35.29
Zotu81	34.74
Zotu131	34.39
Zotu82	34.06
Zotu151	33.72
Zotu208	33.61
Zotu158	33.5
Zotu38	33.12
Zotu96	32.43
Zotu69	32.39
Zotu77	32.37
Zotu145	32.35
Zotu7	31.92
Zotu94	31.89
Zotu60	31.87
Zotu165	31.75
Zotu288	31.35
Zotu27	31.28
Zotu44	30.84
Zotu76	30.83
Zotu139	30.6
Zotu78	30.46
Zotu87	30.37
Zotu17	30.33
Zotu118	30.26
Zotu143	30.01
Zotu65	29.84
Zotu235	29.84
Zotu163	29.69
Zotu59	29.4
Zotu55	29.09
Zotu97	29.06
Zotu109	28.86
Zotu24	28.59
Zotu150	28.06
Zotu89	27.95
Zotu120	27.78
Zotu101	27.67
Zotu146	27.44
Zotu113	27.39
Zotu106	26.91
Zotu5	26.44
Zotu25	26.21
Zotu202	26.11
Zotu154	25.84
Zotu1	25.75
Zotu16	25.25
Zotu68	25.15
Zotu228	25.09
Zotu52	25.05
Zotu187	24.9
Zotu70	24.79
Zotu175	24.63
Zotu54	24.36
Zotu115	23.8
Zotu71	23.43
Zotu85	22.97
Zotu49	22.84
Zotu79	21.32
Zotu252	20.72
Zotu20	20.5
Zotu36	19.92
Zotu3	19.81
Zotu185	19.55
Zotu182	19.32
Zotu198	18.97
Zotu174	18.97
random_variable2	0.0
