FeatName	RelFeatImp
Zotu85	100.0
Zotu109	67.07
Zotu42	63.36
Zotu139	61.57
Zotu71	58.45
Zotu151	50.55
Zotu113	48.17
Zotu2	45.86
Zotu40	43.82
Zotu9	41.9
Zotu11	40.3
Zotu3	38.19
Zotu97	37.73
Zotu164	36.44
Zotu44	36.18
Zotu16	35.86
Zotu129	35.06
Zotu185	33.75
Zotu54	33.73
Zotu83	31.52
Zotu8	31.4
Zotu21	31.09
Zotu118	29.95
Zotu88	29.24
Zotu62	28.9
Zotu87	27.25
Zotu174	26.96
Zotu1	25.58
Zotu194	25.39
Zotu77	25.28
Zotu98	25.04
Zotu160	24.99
Zotu68	24.87
Zotu4	24.86
Zotu15	24.19
Zotu61	24.0
Zotu30	23.94
random_variable1	22.94
Zotu24	22.93
Zotu80	22.92
Zotu145	22.92
Zotu18	22.86
Zotu36	22.36
Zotu69	22.08
Zotu187	21.98
Zotu38	21.95
Zotu208	21.93
Zotu81	21.58
Zotu105	21.17
Zotu207	21.09
Zotu25	20.85
Zotu101	20.79
Zotu175	20.7
Zotu130	20.43
Zotu10	20.35
Zotu153	20.12
Zotu14	19.73
Zotu60	19.63
Zotu197	19.46
Zotu247	19.28
Zotu254	19.06
Zotu100	18.71
Zotu13	18.47
Zotu143	18.39
Zotu53	18.17
Zotu12	18.16
Zotu7	18.12
Zotu17	18.0
Zotu57	17.97
Zotu26	17.06
Zotu6	17.02
Zotu76	17.02
Zotu253	16.61
Zotu32	16.51
Zotu90	15.94
Zotu235	15.79
Zotu255	15.33
Zotu288	15.28
Zotu84	15.26
Zotu128	15.16
Zotu79	14.73
Zotu28	14.73
Zotu49	14.65
Zotu120	14.61
Zotu65	14.49
Zotu41	14.48
Zotu19	14.47
Zotu23	14.36
Zotu47	13.91
Zotu156	13.89
Zotu5	13.76
Zotu50	13.75
Zotu182	13.67
Zotu179	13.35
Zotu232	13.11
Zotu112	13.03
Zotu46	12.68
Zotu154	12.28
Zotu89	12.23
Zotu287	11.97
Zotu137	11.8
Zotu72	11.7
Zotu150	11.4
Zotu37	11.35
Zotu94	11.28
Zotu106	11.28
Zotu82	11.27
Zotu127	11.17
Zotu131	11.1
Zotu228	11.05
Zotu157	10.94
Zotu59	10.69
Zotu73	10.65
Zotu34	10.5
Zotu252	10.42
Zotu75	10.31
Zotu39	10.27
Zotu96	10.13
Zotu196	10.07
Zotu27	10.01
Zotu188	9.85
Zotu20	9.64
Zotu67	9.55
Zotu146	9.54
Zotu138	9.47
Zotu56	9.47
Zotu152	9.44
Zotu55	9.3
Zotu64	9.13
Zotu258	9.0
Zotu115	8.89
Zotu198	8.89
Zotu78	8.81
Zotu237	8.38
Zotu165	8.1
Zotu52	7.71
Zotu205	7.62
Zotu202	7.47
Zotu99	7.09
Zotu35	6.94
Zotu126	6.65
Zotu147	6.23
Zotu132	5.6
Zotu163	5.02
Zotu172	4.6
Zotu70	4.2
Zotu158	4.12
random_variable2	0.0
