FeatName	RelFeatImp
Zotu80	100.0
Zotu96	94.42
Zotu172	81.14
Zotu55	80.14
Zotu47	76.81
Zotu25	74.88
Zotu62	73.75
Zotu247	73.03
Zotu196	72.78
Zotu152	70.97
Zotu5	70.32
Zotu187	69.67
Zotu147	69.25
Zotu17	68.33
Zotu128	68.22
Zotu67	65.21
Zotu99	64.48
Zotu258	63.38
Zotu38	63.22
Zotu129	61.17
Zotu235	58.71
Zotu76	58.17
Zotu120	58.05
Zotu27	55.52
Zotu157	54.8
Zotu156	53.5
Zotu237	53.34
Zotu126	52.99
Zotu24	52.05
Zotu70	50.55
Zotu165	49.86
Zotu56	47.65
Zotu254	47.63
Zotu154	47.22
Zotu83	46.81
Zotu118	46.47
Zotu15	46.12
Zotu2	45.88
Zotu52	45.72
Zotu132	45.65
Zotu158	45.45
Zotu100	44.9
Zotu10	44.83
Zotu12	44.5
random_variable1	43.78
Zotu131	43.73
Zotu61	43.64
Zotu127	43.23
Zotu60	43.18
Zotu160	43.04
Zotu42	43.01
Zotu39	42.95
Zotu71	42.05
Zotu50	41.92
Zotu139	41.51
Zotu163	41.34
Zotu143	41.33
Zotu88	41.23
Zotu72	41.07
Zotu137	39.89
Zotu11	39.53
Zotu73	39.04
Zotu109	38.57
Zotu35	38.44
Zotu101	38.33
Zotu44	37.94
Zotu79	37.9
Zotu3	37.47
Zotu18	37.33
Zotu9	37.03
Zotu232	36.55
Zotu90	36.13
Zotu98	35.42
Zotu34	35.2
Zotu36	35.12
Zotu14	34.94
Zotu16	34.56
Zotu253	34.4
Zotu6	34.2
Zotu150	34.11
Zotu112	34.03
Zotu205	34.02
Zotu182	33.7
Zotu65	33.53
Zotu57	32.02
Zotu37	31.73
Zotu4	31.51
Zotu185	31.19
Zotu188	30.9
Zotu19	30.23
Zotu207	30.05
Zotu26	29.98
Zotu164	29.8
Zotu255	29.75
Zotu23	29.64
Zotu146	29.41
Zotu153	29.33
Zotu130	29.26
Zotu20	29.15
Zotu252	28.97
Zotu41	28.88
Zotu82	28.76
Zotu68	28.69
Zotu87	28.45
Zotu208	28.25
Zotu13	28.24
Zotu197	28.18
Zotu94	28.17
Zotu21	28.05
Zotu7	28.05
Zotu1	28.04
Zotu194	27.47
Zotu78	27.4
Zotu54	26.98
Zotu179	26.95
Zotu81	26.94
Zotu174	26.91
Zotu46	26.8
Zotu49	26.76
Zotu89	26.31
Zotu59	26.22
Zotu28	26.14
Zotu30	26.02
Zotu202	25.97
Zotu8	25.57
Zotu75	24.84
Zotu53	24.58
Zotu145	24.09
Zotu40	23.96
Zotu151	23.89
Zotu69	23.87
Zotu77	23.8
Zotu32	23.01
Zotu288	22.93
Zotu287	22.72
Zotu84	22.29
Zotu138	22.17
Zotu85	21.82
Zotu97	21.02
Zotu175	20.41
Zotu198	19.89
Zotu228	19.44
Zotu106	18.45
Zotu64	18.16
Zotu115	18.0
Zotu105	17.94
Zotu113	17.51
random_variable2	0.0
