FeatName	RelFeatImp
Zotu132	100.0
Zotu72	55.17
Zotu154	50.88
Zotu71	48.53
Zotu187	47.76
Zotu97	46.32
Zotu131	45.73
Zotu139	41.76
Zotu40	41.4
Zotu153	39.18
Zotu34	38.52
Zotu172	38.36
Zotu202	37.36
Zotu25	37.09
Zotu20	37.06
Zotu16	36.88
Zotu15	36.52
Zotu36	35.39
Zotu13	35.04
Zotu32	35.0
Zotu253	34.68
Zotu79	34.39
Zotu151	34.25
Zotu18	33.76
Zotu197	33.66
Zotu9	33.62
Zotu56	33.34
Zotu5	33.2
Zotu50	32.9
Zotu254	32.45
Zotu87	32.12
Zotu30	31.97
Zotu12	31.89
Zotu80	31.8
Zotu160	31.55
Zotu11	31.46
Zotu98	31.43
Zotu198	31.43
Zotu81	30.7
Zotu10	30.14
Zotu156	30.09
random_variable1	29.7
Zotu6	29.66
Zotu21	29.52
Zotu247	29.26
Zotu65	29.21
Zotu255	29.08
Zotu196	29.05
Zotu47	28.88
Zotu54	28.8
Zotu94	28.61
Zotu237	28.57
Zotu37	27.78
Zotu27	27.76
Zotu78	27.6
Zotu69	27.21
Zotu61	27.13
Zotu23	26.96
Zotu2	26.91
Zotu76	26.83
Zotu126	26.82
Zotu55	26.7
Zotu208	26.47
Zotu82	26.22
Zotu38	26.18
Zotu4	26.18
Zotu252	26.12
Zotu287	25.83
Zotu14	25.67
Zotu130	25.45
Zotu53	25.37
Zotu115	25.27
Zotu17	25.12
Zotu228	25.07
Zotu73	24.81
Zotu77	24.76
Zotu35	24.63
Zotu26	24.54
Zotu109	24.52
Zotu129	24.48
Zotu39	24.32
Zotu7	23.89
Zotu24	23.81
Zotu207	23.79
Zotu235	23.77
Zotu42	23.65
Zotu8	23.61
Zotu88	23.44
Zotu19	23.38
Zotu137	23.09
Zotu60	23.03
Zotu158	23.03
Zotu165	22.87
Zotu100	22.58
Zotu89	22.53
Zotu118	22.4
Zotu57	22.39
Zotu188	22.2
Zotu96	22.1
Zotu146	22.05
Zotu1	21.97
Zotu44	21.91
Zotu138	21.83
Zotu28	21.74
Zotu182	21.61
Zotu194	21.55
Zotu143	21.28
Zotu64	21.03
Zotu174	20.98
Zotu101	20.88
Zotu112	20.84
Zotu105	20.44
Zotu49	20.29
Zotu3	20.28
Zotu127	20.2
Zotu75	20.08
Zotu120	20.01
Zotu128	19.88
Zotu85	19.64
Zotu83	19.49
Zotu288	19.49
Zotu41	19.41
Zotu106	19.39
Zotu164	19.05
Zotu179	19.03
Zotu99	18.78
Zotu152	18.32
Zotu67	18.21
Zotu145	18.13
Zotu150	18.08
Zotu232	17.8
Zotu157	17.76
Zotu113	17.7
Zotu163	17.41
Zotu62	17.4
Zotu185	17.38
Zotu68	17.26
Zotu52	16.89
Zotu70	16.46
Zotu59	16.33
Zotu258	16.29
Zotu90	16.2
Zotu84	15.97
Zotu205	15.47
Zotu46	14.77
Zotu175	14.33
Zotu147	14.14
random_variable2	0.0
