FeatName	RelFeatImp
Zotu163	100.0
Zotu34	95.99
Zotu106	93.35
Zotu56	87.47
Zotu115	86.12
Zotu165	74.13
Zotu64	73.89
Zotu46	65.94
Zotu35	61.09
Zotu89	55.24
Zotu65	54.83
Zotu174	53.94
Zotu172	53.51
Zotu13	53.03
Zotu255	52.15
Zotu15	51.64
Zotu97	51.21
Zotu12	50.12
Zotu196	50.04
Zotu14	49.03
Zotu76	48.54
Zotu228	46.79
Zotu138	46.51
Zotu150	46.46
Zotu62	46.24
Zotu68	46.13
Zotu84	45.97
Zotu40	45.45
Zotu197	45.45
Zotu42	45.28
Zotu247	44.7
Zotu205	44.34
Zotu39	44.17
Zotu258	44.12
Zotu128	42.13
Zotu7	42.09
Zotu154	41.98
Zotu27	41.88
Zotu55	41.73
Zotu179	41.38
Zotu18	40.16
Zotu187	40.15
Zotu99	40.05
Zotu6	38.76
Zotu129	38.29
Zotu109	38.06
Zotu53	37.95
Zotu4	37.57
Zotu94	37.22
Zotu152	36.94
Zotu21	36.48
Zotu147	36.23
Zotu41	36.16
Zotu47	35.42
Zotu252	34.8
Zotu198	34.74
Zotu157	34.51
Zotu57	34.45
Zotu77	34.35
Zotu232	34.26
Zotu207	33.98
Zotu24	33.8
Zotu137	33.71
random_variable1	33.67
Zotu50	33.67
Zotu146	33.41
Zotu38	32.95
Zotu37	32.59
Zotu153	32.28
Zotu19	32.01
Zotu126	31.89
Zotu26	31.04
Zotu182	30.97
Zotu145	30.81
Zotu288	30.23
Zotu69	30.05
Zotu71	29.97
Zotu101	29.89
Zotu75	29.28
Zotu80	28.94
Zotu8	28.93
Zotu132	28.82
Zotu2	28.77
Zotu32	28.45
Zotu79	28.44
Zotu237	28.27
Zotu10	28.2
Zotu9	28.19
Zotu72	27.91
Zotu82	27.84
Zotu1	27.83
Zotu131	27.78
Zotu67	27.76
Zotu60	27.51
Zotu164	27.48
Zotu118	27.46
Zotu17	27.46
Zotu253	27.07
Zotu143	27.0
Zotu11	26.74
Zotu254	26.71
Zotu130	26.7
Zotu23	26.41
Zotu120	26.33
Zotu112	26.28
Zotu16	26.08
Zotu235	25.86
Zotu100	25.85
Zotu127	25.52
Zotu44	25.5
Zotu208	25.11
Zotu88	25.08
Zotu49	25.03
Zotu36	25.01
Zotu185	24.99
Zotu85	24.42
Zotu96	24.39
Zotu139	24.25
Zotu54	23.95
Zotu90	23.72
Zotu202	23.62
Zotu61	23.59
Zotu28	23.55
Zotu30	23.4
Zotu188	22.73
Zotu194	21.88
Zotu5	21.85
Zotu81	21.71
Zotu3	21.36
Zotu78	21.27
Zotu160	21.0
Zotu175	20.86
Zotu87	20.71
Zotu287	20.56
Zotu156	20.43
Zotu105	19.48
Zotu59	19.45
Zotu73	19.15
Zotu98	19.03
Zotu151	18.85
Zotu70	18.63
Zotu83	17.77
Zotu25	17.74
Zotu158	17.01
Zotu113	16.13
Zotu20	16.08
Zotu52	12.42
random_variable2	0.0
