FeatName	RelFeatImp
Zotu69	100.0
Zotu46	75.68
Zotu132	60.91
Zotu165	38.52
Zotu4	33.97
Zotu258	27.48
Zotu109	26.86
Zotu172	26.1
Zotu228	25.92
Zotu179	23.85
Zotu87	23.07
Zotu67	22.75
Zotu28	22.42
Zotu115	21.58
Zotu127	20.94
Zotu174	19.58
Zotu105	18.66
Zotu64	18.44
Zotu164	18.15
Zotu79	17.93
Zotu205	17.8
Zotu89	17.53
Zotu198	17.51
Zotu18	15.99
Zotu100	15.85
Zotu15	15.29
Zotu71	14.97
Zotu68	14.95
Zotu53	14.94
Zotu247	14.65
Zotu131	14.33
Zotu61	14.21
Zotu40	14.19
Zotu129	14.02
Zotu20	13.73
Zotu37	13.51
Zotu8	13.39
Zotu6	13.39
random_variable1	13.38
Zotu288	13.2
Zotu35	13.18
Zotu12	13.18
Zotu19	13.05
Zotu84	12.73
Zotu160	12.7
Zotu235	12.67
Zotu163	12.66
Zotu237	12.66
Zotu9	12.62
Zotu120	12.62
Zotu38	12.59
Zotu56	12.51
Zotu30	12.24
Zotu32	12.23
Zotu72	12.2
Zotu26	12.13
Zotu112	12.08
Zotu36	12.02
Zotu14	11.94
Zotu158	11.94
Zotu137	11.79
Zotu126	11.78
Zotu11	11.74
Zotu96	11.7
Zotu232	11.56
Zotu42	11.54
Zotu73	11.47
Zotu185	11.46
Zotu62	11.46
Zotu34	11.43
Zotu13	11.42
Zotu150	11.34
Zotu175	11.33
Zotu157	11.23
Zotu10	11.22
Zotu17	11.11
Zotu97	11.08
Zotu78	10.91
Zotu187	10.72
Zotu287	10.63
Zotu49	10.54
Zotu128	10.41
Zotu208	10.18
Zotu113	10.1
Zotu23	9.98
Zotu202	9.95
Zotu143	9.82
Zotu81	9.81
Zotu146	9.79
Zotu27	9.74
Zotu188	9.68
Zotu1	9.5
Zotu255	9.49
Zotu76	9.47
Zotu83	9.44
Zotu194	9.37
Zotu88	9.32
Zotu7	9.32
Zotu21	9.16
Zotu57	9.07
Zotu138	9.07
Zotu65	9.04
Zotu207	9.03
Zotu197	8.94
Zotu90	8.87
Zotu60	8.85
Zotu55	8.84
Zotu153	8.83
Zotu47	8.77
Zotu118	8.75
Zotu24	8.74
Zotu130	8.7
Zotu44	8.69
Zotu41	8.6
Zotu54	8.6
Zotu82	8.53
Zotu75	8.35
Zotu98	8.27
Zotu151	8.24
Zotu139	8.2
Zotu52	8.11
Zotu59	7.91
Zotu196	7.81
Zotu80	7.75
Zotu106	7.74
Zotu99	7.73
Zotu252	7.67
Zotu253	7.65
Zotu156	7.58
Zotu152	7.56
Zotu2	7.47
Zotu154	7.27
Zotu145	7.18
Zotu101	7.0
Zotu182	6.96
Zotu94	6.88
Zotu39	6.83
Zotu77	6.66
Zotu25	6.56
Zotu50	6.14
Zotu16	6.03
Zotu5	5.88
Zotu3	5.56
Zotu147	5.53
Zotu85	5.46
Zotu254	4.6
Zotu70	4.59
random_variable2	0.0
