FeatName	RelFeatImp
Zotu38	100.0
Zotu247	74.05
Zotu151	69.69
Zotu69	52.31
Zotu47	50.34
Zotu96	50.21
Zotu205	49.85
Zotu20	49.07
Zotu118	48.76
Zotu72	47.78
Zotu1	47.67
Zotu129	47.21
Zotu85	47.18
Zotu77	47.05
Zotu60	46.29
Zotu17	46.28
Zotu26	46.16
Zotu49	44.55
Zotu11	44.44
Zotu153	43.58
Zotu152	43.33
Zotu14	43.23
Zotu24	42.35
Zotu156	42.19
Zotu175	42.08
Zotu64	42.04
Zotu21	41.57
Zotu137	41.32
Zotu2	40.91
Zotu89	40.84
Zotu158	40.68
Zotu208	40.52
Zotu10	39.82
Zotu4	39.39
Zotu254	39.24
Zotu55	39.19
Zotu36	38.6
Zotu7	38.11
Zotu187	37.72
Zotu150	37.6
Zotu258	37.55
Zotu34	37.34
Zotu40	37.04
Zotu16	36.68
Zotu8	35.93
random_variable1	35.9
Zotu99	35.31
Zotu68	35.28
Zotu128	34.89
Zotu252	34.88
Zotu57	34.85
Zotu62	34.72
Zotu82	34.68
Zotu27	34.56
Zotu88	34.24
Zotu164	34.21
Zotu127	34.14
Zotu19	33.96
Zotu42	33.89
Zotu81	33.73
Zotu50	33.72
Zotu87	33.6
Zotu90	33.41
Zotu37	33.02
Zotu41	32.09
Zotu139	32.05
Zotu196	31.75
Zotu147	31.68
Zotu94	31.54
Zotu35	31.53
Zotu76	31.44
Zotu145	30.94
Zotu101	30.84
Zotu23	30.71
Zotu61	30.55
Zotu160	30.54
Zotu71	30.5
Zotu113	30.5
Zotu207	30.4
Zotu154	30.21
Zotu52	30.03
Zotu15	30.02
Zotu80	29.34
Zotu179	28.87
Zotu131	28.79
Zotu39	28.61
Zotu97	28.55
Zotu13	28.42
Zotu157	28.25
Zotu112	28.14
Zotu70	27.99
Zotu25	27.64
Zotu65	27.57
Zotu73	27.4
Zotu130	27.37
Zotu100	27.26
Zotu12	26.84
Zotu188	26.79
Zotu198	26.76
Zotu120	26.73
Zotu53	26.43
Zotu146	26.1
Zotu126	25.76
Zotu32	25.53
Zotu78	25.49
Zotu109	25.35
Zotu182	25.28
Zotu202	25.24
Zotu6	25.12
Zotu287	25.08
Zotu143	24.87
Zotu30	24.86
Zotu83	24.77
Zotu56	24.37
Zotu18	24.12
Zotu3	23.82
Zotu28	23.77
Zotu59	23.61
Zotu84	23.54
Zotu253	23.13
Zotu194	22.66
Zotu9	22.59
Zotu174	22.55
Zotu232	22.38
Zotu197	22.31
Zotu132	22.25
Zotu185	22.13
Zotu138	22.02
Zotu255	21.86
Zotu54	21.81
Zotu235	21.42
Zotu237	21.14
Zotu98	20.97
Zotu5	20.55
Zotu288	20.3
Zotu79	20.24
Zotu44	20.09
Zotu115	19.74
Zotu106	19.5
Zotu165	19.35
Zotu228	18.75
Zotu67	18.01
Zotu105	17.34
Zotu163	17.27
Zotu46	15.59
Zotu172	13.78
Zotu75	13.56
random_variable2	0.0
