FeatName	RelFeatImp
Zotu49	100.0
Zotu254	69.88
Zotu208	57.05
Zotu90	52.31
Zotu194	50.76
Zotu80	48.61
Zotu26	45.19
Zotu288	43.96
Zotu60	42.91
Zotu30	42.24
Zotu139	41.1
Zotu96	40.68
Zotu258	40.02
Zotu8	39.56
Zotu11	39.37
Zotu198	39.04
Zotu21	38.8
Zotu25	38.68
Zotu127	38.58
Zotu82	37.75
Zotu235	37.47
Zotu1	37.43
Zotu42	37.34
Zotu12	37.14
Zotu47	37.03
Zotu59	36.53
random_variable1	36.26
Zotu87	35.61
Zotu153	35.33
Zotu39	35.33
Zotu118	35.22
Zotu52	34.8
Zotu228	34.59
Zotu36	33.15
Zotu19	33.13
Zotu130	32.82
Zotu106	32.67
Zotu163	32.53
Zotu44	31.62
Zotu137	30.62
Zotu15	30.35
Zotu132	30.31
Zotu78	30.13
Zotu9	29.72
Zotu24	29.62
Zotu89	29.5
Zotu18	28.98
Zotu2	28.9
Zotu128	28.71
Zotu131	28.4
Zotu84	28.19
Zotu68	28.15
Zotu5	28.14
Zotu287	28.07
Zotu164	28.0
Zotu147	27.92
Zotu207	27.84
Zotu99	27.62
Zotu71	27.4
Zotu23	27.2
Zotu152	26.69
Zotu151	26.62
Zotu67	26.61
Zotu37	26.54
Zotu160	26.47
Zotu252	26.35
Zotu32	26.3
Zotu34	26.29
Zotu54	25.61
Zotu16	25.61
Zotu255	25.47
Zotu4	25.34
Zotu88	25.04
Zotu50	25.03
Zotu3	25.02
Zotu202	24.95
Zotu41	24.64
Zotu156	24.44
Zotu154	24.32
Zotu40	24.32
Zotu83	24.14
Zotu72	24.08
Zotu101	23.97
Zotu17	23.95
Zotu61	23.95
Zotu53	23.83
Zotu188	23.59
Zotu77	23.58
Zotu112	23.25
Zotu157	23.16
Zotu94	23.16
Zotu187	23.03
Zotu109	23.0
Zotu73	22.79
Zotu46	22.67
Zotu69	22.59
Zotu145	22.23
Zotu13	22.13
Zotu10	22.12
Zotu57	21.91
Zotu70	21.87
Zotu14	21.77
Zotu38	21.6
Zotu62	21.6
Zotu6	21.59
Zotu143	21.53
Zotu65	21.22
Zotu253	21.17
Zotu7	21.15
Zotu247	21.08
Zotu172	20.93
Zotu185	20.79
Zotu56	20.64
Zotu79	20.59
Zotu20	20.57
Zotu76	20.11
Zotu120	19.98
Zotu196	19.69
Zotu197	19.66
Zotu100	19.61
Zotu182	19.47
Zotu81	19.37
Zotu28	19.33
Zotu55	19.29
Zotu146	19.01
Zotu85	18.82
Zotu27	18.44
Zotu35	17.95
Zotu113	17.66
Zotu175	17.62
Zotu126	17.02
Zotu105	16.84
Zotu129	16.35
Zotu150	16.3
Zotu98	16.25
Zotu138	16.22
Zotu179	15.9
Zotu97	14.94
Zotu64	14.8
Zotu75	14.72
Zotu174	14.61
Zotu237	14.6
Zotu115	14.01
Zotu165	13.73
Zotu232	13.32
Zotu205	12.25
Zotu158	11.77
random_variable2	0.0
