FeatName	RelFeatImp
Zotu37	100.0
Zotu130	87.43
Zotu99	75.56
Zotu32	75.1
Zotu182	74.85
Zotu61	69.83
Zotu72	62.97
Zotu194	61.11
Zotu82	59.57
Zotu138	59.19
Zotu44	59.13
Zotu127	54.66
Zotu20	52.32
Zotu1	51.24
Zotu164	50.91
Zotu118	50.72
Zotu198	50.56
Zotu207	50.43
Zotu139	49.37
Zotu24	48.44
Zotu258	47.9
Zotu7	46.96
Zotu137	44.89
Zotu197	44.46
Zotu196	44.25
Zotu40	44.14
Zotu150	43.74
Zotu87	43.49
Zotu50	43.18
Zotu252	41.94
random_variable1	41.68
Zotu129	41.61
Zotu14	41.38
Zotu9	40.34
Zotu36	40.26
Zotu53	40.24
Zotu2	40.02
Zotu56	40.01
Zotu49	39.95
Zotu84	38.7
Zotu4	38.35
Zotu128	38.24
Zotu254	38.22
Zotu70	38.15
Zotu98	38.04
Zotu90	37.97
Zotu69	37.66
Zotu83	37.24
Zotu112	37.2
Zotu73	36.85
Zotu27	36.54
Zotu10	36.41
Zotu287	36.41
Zotu15	36.33
Zotu11	36.13
Zotu47	36.02
Zotu57	35.74
Zotu247	35.6
Zotu42	35.19
Zotu23	34.92
Zotu88	34.87
Zotu202	34.18
Zotu156	34.16
Zotu26	34.05
Zotu21	33.67
Zotu8	32.94
Zotu205	32.94
Zotu65	32.94
Zotu158	32.89
Zotu71	32.77
Zotu60	32.56
Zotu28	32.44
Zotu109	32.3
Zotu19	32.22
Zotu187	32.18
Zotu89	32.14
Zotu154	31.74
Zotu101	31.73
Zotu59	31.15
Zotu6	30.83
Zotu67	30.81
Zotu38	30.78
Zotu30	30.68
Zotu16	30.58
Zotu13	30.56
Zotu12	30.3
Zotu68	29.8
Zotu100	29.45
Zotu145	29.35
Zotu188	29.22
Zotu5	29.08
Zotu253	28.96
Zotu64	28.94
Zotu97	28.78
Zotu17	28.49
Zotu76	28.47
Zotu78	28.23
Zotu18	28.22
Zotu174	28.18
Zotu208	28.11
Zotu41	27.96
Zotu131	27.58
Zotu228	27.4
Zotu94	27.29
Zotu152	27.23
Zotu54	26.97
Zotu179	26.81
Zotu113	26.73
Zotu147	26.35
Zotu75	26.16
Zotu39	25.97
Zotu34	25.82
Zotu55	25.7
Zotu157	25.55
Zotu106	25.51
Zotu85	25.3
Zotu185	25.14
Zotu115	25.05
Zotu62	24.81
Zotu96	24.78
Zotu3	24.68
Zotu80	24.46
Zotu160	24.12
Zotu81	24.07
Zotu153	23.66
Zotu79	23.15
Zotu120	23.14
Zotu77	23.13
Zotu146	23.05
Zotu126	23.01
Zotu52	22.42
Zotu175	22.41
Zotu237	22.12
Zotu143	20.9
Zotu165	20.55
Zotu255	20.3
Zotu25	20.16
Zotu235	20.15
Zotu35	19.66
Zotu132	19.62
Zotu151	18.82
Zotu163	18.81
Zotu105	17.89
Zotu288	17.08
Zotu232	16.81
Zotu46	16.76
Zotu172	13.52
random_variable2	0.0
