FeatName	RelFeatImp
Zotu172	100.0
Zotu35	78.63
Zotu115	75.74
Zotu64	60.86
Zotu6	52.68
Zotu205	49.93
Zotu196	46.51
Zotu21	39.54
Zotu165	37.82
Zotu105	37.2
Zotu59	36.75
Zotu65	31.82
Zotu85	31.45
Zotu137	30.71
Zotu98	27.24
Zotu179	26.21
Zotu247	25.45
Zotu112	25.25
Zotu56	25.07
Zotu154	24.37
Zotu3	23.07
Zotu39	22.92
Zotu14	22.08
Zotu57	20.43
Zotu76	20.43
Zotu164	20.4
Zotu208	20.34
Zotu36	20.15
Zotu19	19.73
Zotu10	19.66
Zotu147	19.38
Zotu174	18.63
Zotu79	17.45
Zotu175	17.14
Zotu46	17.08
Zotu132	16.72
random_variable1	16.71
Zotu32	16.53
Zotu84	16.14
Zotu185	16.09
Zotu8	16.05
Zotu30	16.04
Zotu202	15.57
Zotu49	15.56
Zotu50	15.36
Zotu146	15.31
Zotu88	15.3
Zotu83	15.0
Zotu80	14.88
Zotu41	14.77
Zotu81	14.61
Zotu28	14.17
Zotu163	14.03
Zotu11	13.99
Zotu143	13.81
Zotu71	13.8
Zotu13	13.77
Zotu113	13.55
Zotu7	13.45
Zotu109	13.41
Zotu100	13.29
Zotu60	13.04
Zotu253	13.03
Zotu15	13.02
Zotu2	12.91
Zotu61	12.85
Zotu54	12.83
Zotu255	12.59
Zotu47	12.53
Zotu90	12.43
Zotu89	12.4
Zotu62	12.36
Zotu42	12.22
Zotu53	12.15
Zotu151	12.07
Zotu129	11.77
Zotu34	11.49
Zotu207	11.42
Zotu16	11.39
Zotu26	11.31
Zotu18	11.15
Zotu182	11.15
Zotu67	10.78
Zotu70	10.77
Zotu287	10.49
Zotu235	10.31
Zotu237	10.26
Zotu153	10.23
Zotu17	10.17
Zotu68	10.13
Zotu157	10.04
Zotu24	10.01
Zotu131	10.0
Zotu12	9.56
Zotu40	9.48
Zotu160	9.46
Zotu96	9.44
Zotu128	9.42
Zotu130	9.39
Zotu152	9.34
Zotu228	9.31
Zotu9	9.26
Zotu106	9.23
Zotu37	9.17
Zotu82	9.16
Zotu187	9.11
Zotu72	9.01
Zotu232	9.0
Zotu156	8.99
Zotu4	8.92
Zotu97	8.89
Zotu73	8.55
Zotu126	8.25
Zotu87	8.04
Zotu77	7.95
Zotu138	7.87
Zotu194	7.71
Zotu145	7.71
Zotu254	7.67
Zotu188	7.66
Zotu258	7.53
Zotu99	7.49
Zotu44	7.4
Zotu27	7.35
Zotu25	7.23
Zotu288	7.16
Zotu252	7.14
Zotu101	6.74
Zotu94	6.57
Zotu38	6.46
Zotu52	6.44
Zotu150	6.05
Zotu69	6.02
Zotu55	5.95
Zotu1	5.87
Zotu75	5.86
Zotu197	5.85
Zotu127	5.81
Zotu78	5.68
Zotu23	5.46
Zotu139	5.37
Zotu5	5.15
Zotu198	5.04
Zotu158	4.9
Zotu118	4.52
Zotu20	3.63
Zotu120	3.38
random_variable2	0.0
