FeatName	RelFeatImp
Zotu137	100.0
Zotu71	67.64
Zotu56	66.3
Zotu207	62.4
Zotu109	60.48
Zotu188	59.95
Zotu174	59.6
Zotu7	59.42
Zotu158	56.91
Zotu150	56.53
Zotu131	55.76
Zotu5	53.88
Zotu255	52.65
Zotu57	51.25
Zotu83	50.1
Zotu19	50.03
Zotu97	49.93
Zotu18	48.59
Zotu287	48.55
Zotu128	47.99
Zotu139	47.59
Zotu163	47.54
Zotu80	47.37
Zotu198	47.33
Zotu6	47.19
Zotu132	47.07
Zotu11	46.75
Zotu72	46.37
Zotu34	46.04
Zotu98	44.39
Zotu14	44.08
Zotu105	43.66
Zotu130	43.59
Zotu10	43.17
Zotu69	42.38
Zotu60	41.77
Zotu27	41.73
Zotu228	41.46
Zotu2	41.28
Zotu90	41.1
Zotu87	40.81
Zotu152	40.63
Zotu112	40.52
random_variable1	40.16
Zotu28	40.14
Zotu247	39.78
Zotu30	39.74
Zotu78	39.51
Zotu254	38.93
Zotu73	38.85
Zotu88	38.53
Zotu64	38.31
Zotu194	38.17
Zotu138	38.06
Zotu12	37.61
Zotu42	37.52
Zotu179	36.97
Zotu127	36.71
Zotu20	36.15
Zotu40	36.0
Zotu67	35.79
Zotu160	35.17
Zotu26	34.83
Zotu1	34.04
Zotu23	33.5
Zotu100	33.28
Zotu24	33.18
Zotu82	33.11
Zotu77	33.04
Zotu165	32.83
Zotu202	32.59
Zotu32	32.13
Zotu143	32.08
Zotu4	32.04
Zotu151	31.94
Zotu38	31.92
Zotu120	31.88
Zotu65	31.64
Zotu16	31.55
Zotu96	31.43
Zotu41	31.32
Zotu156	31.27
Zotu79	31.26
Zotu252	30.85
Zotu13	30.71
Zotu232	30.65
Zotu81	30.55
Zotu9	30.53
Zotu54	30.41
Zotu118	30.21
Zotu47	30.17
Zotu8	30.14
Zotu15	29.47
Zotu62	29.47
Zotu89	29.39
Zotu129	29.33
Zotu44	29.26
Zotu182	29.16
Zotu115	29.04
Zotu59	28.85
Zotu76	28.78
Zotu46	28.68
Zotu17	28.63
Zotu21	28.28
Zotu94	28.13
Zotu145	27.88
Zotu164	27.76
Zotu172	27.69
Zotu106	27.67
Zotu253	27.63
Zotu197	27.49
Zotu68	27.19
Zotu25	26.93
Zotu196	26.53
Zotu235	26.46
Zotu52	26.46
Zotu153	26.45
Zotu187	26.34
Zotu61	26.33
Zotu39	26.33
Zotu55	25.93
Zotu237	25.89
Zotu208	25.77
Zotu37	25.59
Zotu49	25.14
Zotu53	25.08
Zotu50	24.91
Zotu3	24.84
Zotu84	24.62
Zotu126	23.61
Zotu99	23.17
Zotu147	22.71
Zotu36	22.66
Zotu288	22.38
Zotu113	22.24
Zotu85	22.12
Zotu75	21.54
Zotu154	20.77
Zotu258	20.45
Zotu205	20.19
Zotu35	19.84
Zotu157	19.39
Zotu101	18.92
Zotu146	17.86
Zotu175	17.19
Zotu185	17.08
Zotu70	15.66
random_variable2	0.0
