FeatName	RelFeatImp
Zotu109	100.0
Zotu20	99.11
Zotu69	93.81
Zotu77	91.34
Zotu89	85.65
Zotu34	82.7
Zotu129	81.64
Zotu38	79.81
Zotu165	78.95
Zotu13	74.01
Zotu145	72.82
Zotu28	70.47
Zotu39	68.78
Zotu82	67.68
Zotu258	66.0
Zotu1	65.34
Zotu127	64.26
Zotu97	63.14
Zotu147	62.44
Zotu96	60.32
Zotu2	59.78
Zotu164	59.35
Zotu23	58.97
Zotu247	58.95
Zotu56	58.91
Zotu174	57.99
Zotu208	57.94
Zotu60	57.6
Zotu175	57.44
Zotu88	56.25
Zotu146	55.85
Zotu138	55.74
Zotu158	55.52
Zotu150	55.29
Zotu47	55.27
Zotu90	54.87
Zotu152	54.31
random_variable1	53.59
Zotu61	53.38
Zotu73	53.0
Zotu132	52.77
Zotu101	52.74
Zotu137	52.67
Zotu64	52.05
Zotu187	51.45
Zotu7	50.4
Zotu9	50.26
Zotu12	50.23
Zotu83	49.33
Zotu202	49.09
Zotu130	49.09
Zotu72	49.06
Zotu15	48.96
Zotu68	48.93
Zotu126	48.69
Zotu99	48.1
Zotu27	48.09
Zotu24	47.77
Zotu154	47.03
Zotu21	46.9
Zotu55	46.83
Zotu26	46.48
Zotu46	46.01
Zotu100	45.82
Zotu84	45.48
Zotu44	45.32
Zotu232	44.85
Zotu252	44.11
Zotu52	43.81
Zotu8	43.43
Zotu237	43.38
Zotu14	43.25
Zotu6	43.18
Zotu4	43.08
Zotu287	42.31
Zotu53	42.06
Zotu17	41.82
Zotu18	41.64
Zotu10	41.33
Zotu163	41.29
Zotu157	41.16
Zotu235	41.14
Zotu139	41.03
Zotu16	41.01
Zotu50	40.98
Zotu65	40.69
Zotu40	40.53
Zotu118	40.45
Zotu197	39.94
Zotu182	39.37
Zotu81	39.32
Zotu11	38.74
Zotu253	38.44
Zotu94	38.15
Zotu79	37.94
Zotu105	37.88
Zotu188	37.76
Zotu143	37.71
Zotu67	37.48
Zotu37	37.41
Zotu179	37.16
Zotu42	36.92
Zotu54	36.8
Zotu19	36.41
Zotu75	36.4
Zotu80	36.21
Zotu172	36.12
Zotu113	36.11
Zotu78	35.97
Zotu57	35.6
Zotu30	35.5
Zotu32	35.48
Zotu196	35.23
Zotu36	35.17
Zotu156	34.22
Zotu87	33.9
Zotu62	33.62
Zotu153	33.42
Zotu115	33.41
Zotu160	33.36
Zotu128	33.24
Zotu76	33.19
Zotu71	32.5
Zotu112	32.19
Zotu5	31.51
Zotu228	31.46
Zotu106	31.44
Zotu131	30.67
Zotu254	30.22
Zotu49	30.19
Zotu25	29.19
Zotu194	28.54
Zotu3	27.95
Zotu41	27.93
Zotu288	27.35
Zotu35	27.16
Zotu98	26.94
Zotu255	26.53
Zotu207	26.22
Zotu198	25.2
Zotu70	24.76
Zotu205	24.49
Zotu185	23.52
Zotu120	22.91
Zotu151	22.51
Zotu59	21.9
Zotu85	20.03
random_variable2	0.0
