FeatName	RelFeatImp
Zotu60	100.0
Zotu205	98.46
Zotu247	95.9
Zotu47	93.57
Zotu35	90.62
Zotu83	85.54
Zotu37	82.78
Zotu53	82.66
Zotu137	78.85
Zotu194	77.52
Zotu197	77.23
Zotu156	76.72
Zotu73	75.33
Zotu112	74.9
Zotu10	74.33
Zotu80	72.43
Zotu55	69.71
Zotu14	68.99
Zotu7	68.99
Zotu23	68.15
Zotu128	67.66
Zotu52	67.05
Zotu71	66.78
Zotu24	66.64
Zotu115	66.21
Zotu1	65.96
Zotu9	65.55
Zotu118	64.82
Zotu8	64.32
Zotu27	64.21
Zotu32	64.01
Zotu152	63.33
Zotu72	63.28
Zotu26	63.13
Zotu40	62.85
Zotu252	62.76
Zotu50	62.67
Zotu158	62.46
Zotu57	61.77
Zotu20	61.22
Zotu109	61.21
Zotu163	61.06
Zotu46	60.92
Zotu64	60.4
Zotu12	59.43
Zotu4	59.17
Zotu254	59.06
Zotu157	58.74
Zotu120	58.25
Zotu160	57.32
Zotu99	57.2
Zotu208	56.96
Zotu21	56.64
Zotu138	56.27
Zotu106	56.2
Zotu30	55.59
Zotu68	55.46
Zotu69	55.12
Zotu49	55.08
Zotu131	55.01
Zotu62	54.78
Zotu146	54.34
Zotu13	53.51
Zotu207	53.09
Zotu38	53.06
Zotu253	52.99
Zotu154	52.76
Zotu185	52.38
random_variable1	52.36
Zotu81	51.87
Zotu196	51.64
Zotu56	50.87
Zotu139	50.57
Zotu19	50.47
Zotu97	50.14
Zotu187	50.12
Zotu61	49.74
Zotu44	48.66
Zotu17	48.61
Zotu88	48.05
Zotu25	48.01
Zotu36	47.01
Zotu16	46.77
Zotu147	46.36
Zotu145	46.15
Zotu89	45.86
Zotu54	45.85
Zotu153	45.8
Zotu6	45.61
Zotu34	45.33
Zotu127	44.5
Zotu179	44.08
Zotu77	43.88
Zotu78	43.67
Zotu182	43.45
Zotu143	42.45
Zotu76	42.41
Zotu82	42.32
Zotu28	41.83
Zotu198	41.68
Zotu174	41.41
Zotu232	40.89
Zotu42	40.52
Zotu288	40.26
Zotu255	39.36
Zotu228	39.15
Zotu235	38.91
Zotu85	38.33
Zotu237	37.63
Zotu94	37.45
Zotu5	37.17
Zotu18	36.97
Zotu41	36.68
Zotu132	36.22
Zotu15	36.1
Zotu100	36.1
Zotu96	36.05
Zotu165	35.84
Zotu188	35.63
Zotu11	35.18
Zotu98	35.13
Zotu172	33.85
Zotu101	33.11
Zotu2	32.69
Zotu258	32.6
Zotu59	30.8
Zotu287	30.63
Zotu164	30.31
Zotu151	29.75
Zotu3	27.31
Zotu39	26.53
Zotu126	25.84
Zotu202	24.91
Zotu113	24.44
Zotu90	22.14
Zotu84	21.49
Zotu65	20.59
Zotu70	19.82
Zotu75	19.67
Zotu129	19.23
Zotu67	19.13
Zotu79	18.34
Zotu130	17.88
Zotu175	13.46
Zotu150	12.81
Zotu105	8.19
random_variable2	8.14
Zotu87	0.0
