FeatName	RelFeatImp
Zotu35	100.0
Zotu205	98.14
Zotu247	89.76
Zotu47	82.7
Zotu14	81.13
Zotu52	76.38
Zotu9	75.34
Zotu60	73.66
Zotu10	71.85
Zotu128	69.84
Zotu17	69.04
Zotu50	68.25
Zotu154	68.03
Zotu157	67.78
Zotu24	67.39
Zotu61	65.9
Zotu20	65.73
Zotu23	64.89
Zotu27	64.84
Zotu194	64.75
Zotu253	64.6
Zotu25	63.44
Zotu112	62.44
Zotu115	61.91
Zotu69	61.79
Zotu1	61.76
Zotu72	60.68
Zotu8	60.63
Zotu160	60.39
Zotu21	59.85
Zotu37	59.32
random_variable1	59.05
Zotu12	59.03
Zotu99	58.92
Zotu34	58.86
Zotu137	58.74
Zotu198	58.21
Zotu26	58.16
Zotu19	57.26
Zotu96	56.97
Zotu55	56.61
Zotu6	56.35
Zotu139	56.32
Zotu156	55.65
Zotu152	55.32
Zotu147	55.03
Zotu158	54.83
Zotu65	54.55
Zotu11	54.22
Zotu127	54.12
Zotu80	53.84
Zotu42	53.64
Zotu106	53.52
Zotu38	53.14
Zotu81	53.06
Zotu185	52.84
Zotu120	52.61
Zotu187	52.57
Zotu174	52.45
Zotu208	52.28
Zotu83	51.87
Zotu44	51.04
Zotu197	50.78
Zotu82	50.77
Zotu57	50.62
Zotu2	50.57
Zotu88	50.52
Zotu49	50.12
Zotu36	49.79
Zotu40	49.78
Zotu7	49.68
Zotu179	49.61
Zotu89	49.61
Zotu4	49.54
Zotu32	49.51
Zotu109	49.39
Zotu13	49.07
Zotu258	48.93
Zotu18	48.71
Zotu153	48.63
Zotu131	48.14
Zotu163	47.77
Zotu164	47.33
Zotu143	47.17
Zotu39	46.89
Zotu41	46.2
Zotu77	46.18
Zotu85	46.1
Zotu252	46.08
Zotu15	45.93
Zotu97	45.69
Zotu73	45.58
Zotu28	45.47
Zotu146	45.31
Zotu101	45.17
Zotu54	45.04
Zotu182	44.99
Zotu30	44.22
Zotu132	43.73
Zotu287	43.71
Zotu71	43.56
Zotu94	43.39
Zotu100	43.27
Zotu118	43.23
Zotu138	43.07
Zotu98	43.04
Zotu237	42.66
Zotu76	42.55
Zotu202	42.24
Zotu53	41.56
Zotu113	41.54
Zotu254	41.36
Zotu232	41.29
Zotu151	41.05
Zotu228	40.69
Zotu255	40.63
Zotu56	40.56
Zotu79	40.56
Zotu175	39.64
Zotu5	39.56
Zotu130	38.59
Zotu207	38.35
Zotu188	38.07
Zotu150	37.97
Zotu129	37.83
Zotu145	37.44
Zotu78	37.11
Zotu16	36.54
Zotu84	36.4
Zotu90	36.36
Zotu46	36.2
Zotu126	35.99
Zotu68	35.65
Zotu196	34.45
Zotu75	34.35
Zotu62	34.12
Zotu70	33.54
Zotu59	33.25
Zotu105	32.61
Zotu87	30.9
Zotu165	30.89
Zotu172	30.21
Zotu235	30.12
Zotu3	29.32
Zotu288	28.95
Zotu64	28.51
Zotu67	27.33
random_variable2	0.0
