FeatName	RelFeatImp
Zotu164	100.0
Zotu24	72.03
Zotu67	69.44
Zotu84	67.91
Zotu59	58.34
Zotu18	53.04
Zotu235	48.31
Zotu255	47.2
Zotu128	46.8
Zotu1	44.03
Zotu88	41.86
Zotu47	36.85
Zotu113	35.05
Zotu17	33.62
Zotu83	33.54
Zotu137	33.29
Zotu163	32.68
Zotu41	31.18
Zotu65	30.71
Zotu202	30.39
Zotu76	29.73
Zotu3	28.51
Zotu90	27.25
Zotu36	27.25
Zotu28	26.29
Zotu185	26.1
Zotu109	25.87
Zotu68	25.35
Zotu19	24.94
Zotu30	24.68
Zotu258	24.22
Zotu55	24.15
Zotu115	23.87
Zotu38	23.64
Zotu130	23.5
Zotu10	23.26
Zotu157	23.25
Zotu80	23.08
Zotu27	23.07
Zotu79	23.01
Zotu101	23.01
Zotu40	22.93
Zotu34	22.66
Zotu42	22.5
Zotu32	22.3
random_variable1	22.13
Zotu127	22.1
Zotu11	21.87
Zotu13	21.84
Zotu69	21.76
Zotu205	21.52
Zotu228	21.18
Zotu16	20.97
Zotu54	20.86
Zotu143	20.82
Zotu153	20.75
Zotu12	20.32
Zotu139	20.32
Zotu252	20.3
Zotu20	19.83
Zotu2	19.7
Zotu4	19.41
Zotu60	19.38
Zotu7	19.32
Zotu94	19.17
Zotu100	18.87
Zotu81	18.67
Zotu14	18.54
Zotu21	18.1
Zotu232	18.03
Zotu75	17.68
Zotu23	17.65
Zotu35	17.59
Zotu37	17.09
Zotu53	17.06
Zotu5	17.05
Zotu147	17.0
Zotu73	16.86
Zotu72	16.52
Zotu89	16.46
Zotu112	16.45
Zotu160	16.1
Zotu15	15.96
Zotu237	15.9
Zotu44	15.71
Zotu78	15.69
Zotu50	15.66
Zotu77	15.6
Zotu6	15.58
Zotu8	15.43
Zotu179	15.26
Zotu287	15.11
Zotu131	15.03
Zotu85	14.94
Zotu96	14.94
Zotu9	14.73
Zotu39	14.7
Zotu156	14.69
Zotu126	14.61
Zotu106	14.58
Zotu82	14.58
Zotu118	14.58
Zotu62	14.47
Zotu87	14.46
Zotu208	14.45
Zotu207	14.37
Zotu129	14.1
Zotu182	14.0
Zotu154	13.7
Zotu97	13.54
Zotu57	13.43
Zotu99	12.98
Zotu46	12.88
Zotu165	12.83
Zotu198	12.79
Zotu172	12.78
Zotu26	12.7
Zotu49	12.14
Zotu70	12.12
Zotu188	12.05
Zotu152	11.9
Zotu25	11.86
Zotu197	11.73
Zotu98	11.67
Zotu52	11.6
Zotu132	11.47
Zotu71	11.22
Zotu196	10.79
Zotu247	10.5
Zotu174	10.47
Zotu138	10.11
Zotu175	10.1
Zotu64	9.97
Zotu145	9.9
Zotu61	9.86
Zotu253	9.73
Zotu187	9.64
Zotu146	9.53
Zotu288	9.4
Zotu151	9.32
Zotu56	9.12
Zotu254	9.0
Zotu120	8.8
Zotu158	8.62
Zotu150	8.49
Zotu105	7.95
Zotu194	7.83
random_variable2	0.0
