FeatName	RelFeatImp
Zotu24	100.0
Zotu67	86.57
Zotu255	77.37
Zotu128	77.34
Zotu164	71.08
Zotu109	44.08
Zotu235	42.26
Zotu202	38.63
Zotu90	37.66
Zotu19	35.35
Zotu208	32.31
Zotu156	31.06
Zotu163	30.35
Zotu80	30.19
Zotu42	29.12
Zotu2	28.39
Zotu50	28.28
Zotu73	27.15
Zotu37	26.14
Zotu152	25.65
Zotu254	24.99
Zotu47	24.9
Zotu3	24.88
Zotu137	24.35
Zotu153	24.34
Zotu113	24.13
Zotu40	23.6
Zotu10	23.54
Zotu59	23.19
Zotu76	22.97
Zotu247	22.38
Zotu23	22.19
Zotu14	21.77
Zotu49	21.05
Zotu72	20.88
Zotu228	20.71
Zotu8	20.55
Zotu287	20.39
random_variable1	20.36
Zotu56	20.36
Zotu127	20.34
Zotu81	20.22
Zotu85	20.15
Zotu17	20.1
Zotu126	19.87
Zotu1	19.39
Zotu4	18.88
Zotu105	18.57
Zotu7	18.56
Zotu46	18.3
Zotu36	18.3
Zotu165	17.99
Zotu53	17.61
Zotu84	17.6
Zotu18	17.52
Zotu11	17.35
Zotu172	17.31
Zotu65	17.17
Zotu21	17.1
Zotu68	17.02
Zotu151	16.8
Zotu25	16.79
Zotu100	16.5
Zotu157	16.49
Zotu41	16.48
Zotu139	16.12
Zotu44	16.07
Zotu94	16.05
Zotu39	16.04
Zotu185	15.76
Zotu101	15.66
Zotu99	15.5
Zotu16	15.49
Zotu27	15.41
Zotu147	15.34
Zotu89	15.28
Zotu187	15.26
Zotu197	15.0
Zotu55	14.98
Zotu34	14.94
Zotu196	14.87
Zotu252	14.87
Zotu258	14.83
Zotu194	14.26
Zotu12	14.26
Zotu132	14.25
Zotu88	14.16
Zotu64	13.99
Zotu78	13.79
Zotu205	13.74
Zotu32	13.7
Zotu15	13.31
Zotu38	13.3
Zotu6	13.22
Zotu115	13.07
Zotu112	12.67
Zotu160	12.46
Zotu60	12.43
Zotu13	12.42
Zotu69	12.18
Zotu57	12.16
Zotu35	12.15
Zotu97	12.1
Zotu79	12.04
Zotu143	12.03
Zotu237	11.94
Zotu26	11.93
Zotu131	11.8
Zotu71	11.77
Zotu30	11.73
Zotu130	11.64
Zotu118	11.54
Zotu207	11.44
Zotu96	11.21
Zotu232	11.15
Zotu61	11.1
Zotu179	10.98
Zotu288	10.86
Zotu62	10.57
Zotu9	10.53
Zotu154	10.47
Zotu182	10.34
Zotu54	10.32
Zotu145	10.01
Zotu82	9.98
Zotu253	9.97
Zotu77	9.77
Zotu28	9.56
Zotu20	9.28
Zotu138	9.23
Zotu174	9.21
Zotu5	9.11
Zotu158	9.1
Zotu98	8.69
Zotu175	8.44
Zotu70	8.19
Zotu87	8.19
Zotu146	7.99
Zotu198	7.32
Zotu83	7.25
Zotu120	7.22
Zotu106	7.0
Zotu52	6.6
Zotu188	6.33
Zotu129	6.14
Zotu150	6.03
Zotu75	3.23
random_variable2	0.0
