FeatName	RelFeatImp
Zotu252	100.0
Zotu3	43.86
Zotu17	4.01
Zotu99	3.34
Zotu67	3.3
Zotu152	2.8
Zotu198	1.87
Zotu113	1.85
Zotu106	1.83
Zotu84	1.82
Zotu40	1.74
Zotu36	1.71
random_variable1	1.66
Zotu228	1.64
Zotu185	1.61
Zotu16	1.43
Zotu197	1.39
Zotu24	1.38
Zotu11	1.36
Zotu143	1.33
Zotu128	1.33
Zotu47	1.33
Zotu235	1.29
Zotu50	1.18
Zotu208	1.07
Zotu25	1.06
Zotu14	1.03
Zotu54	1.0
Zotu68	0.98
Zotu157	0.98
Zotu81	0.95
Zotu65	0.92
Zotu232	0.86
Zotu32	0.84
Zotu2	0.83
Zotu49	0.83
Zotu164	0.79
Zotu255	0.78
Zotu4	0.77
Zotu71	0.76
Zotu55	0.75
Zotu72	0.67
Zotu80	0.65
Zotu77	0.65
Zotu6	0.65
Zotu10	0.64
Zotu42	0.63
Zotu254	0.63
Zotu30	0.63
Zotu88	0.63
Zotu129	0.62
Zotu18	0.62
Zotu165	0.61
Zotu28	0.61
Zotu109	0.61
Zotu39	0.6
Zotu156	0.59
Zotu27	0.59
Zotu76	0.59
Zotu182	0.58
Zotu101	0.58
Zotu287	0.57
Zotu12	0.55
Zotu78	0.55
Zotu79	0.55
Zotu59	0.54
Zotu38	0.52
Zotu19	0.51
Zotu69	0.48
Zotu120	0.48
Zotu61	0.46
Zotu94	0.46
Zotu23	0.45
Zotu146	0.44
Zotu153	0.42
Zotu46	0.41
Zotu127	0.41
Zotu258	0.4
Zotu34	0.39
Zotu44	0.39
Zotu21	0.39
Zotu9	0.39
Zotu37	0.39
Zotu187	0.38
Zotu62	0.38
Zotu115	0.38
Zotu20	0.38
Zotu15	0.38
Zotu13	0.38
Zotu154	0.37
Zotu96	0.37
Zotu174	0.37
Zotu202	0.36
Zotu137	0.36
Zotu138	0.35
Zotu35	0.35
Zotu237	0.34
Zotu160	0.34
Zotu112	0.34
Zotu132	0.34
Zotu130	0.33
Zotu7	0.32
Zotu247	0.32
Zotu90	0.32
Zotu26	0.31
Zotu196	0.3
Zotu253	0.3
Zotu82	0.3
Zotu85	0.3
Zotu188	0.3
Zotu83	0.29
Zotu57	0.29
Zotu87	0.29
Zotu207	0.29
Zotu288	0.28
Zotu205	0.28
Zotu194	0.28
Zotu75	0.27
Zotu145	0.27
Zotu1	0.27
Zotu139	0.26
Zotu100	0.26
Zotu131	0.26
Zotu8	0.26
Zotu97	0.25
Zotu126	0.25
Zotu41	0.25
Zotu98	0.24
Zotu73	0.24
Zotu52	0.24
Zotu175	0.23
Zotu179	0.23
Zotu60	0.22
Zotu89	0.22
Zotu151	0.21
Zotu105	0.2
Zotu5	0.2
Zotu158	0.19
Zotu70	0.19
Zotu163	0.19
Zotu64	0.19
Zotu147	0.19
Zotu150	0.16
Zotu118	0.16
Zotu53	0.14
Zotu172	0.13
Zotu56	0.12
random_variable2	0.0
