FeatName	RelFeatImp
Zotu24	100.0
Zotu164	64.73
Zotu235	62.39
Zotu67	58.02
Zotu128	50.47
Zotu65	49.71
Zotu255	43.94
Zotu27	43.57
Zotu59	42.62
Zotu228	38.53
Zotu17	37.95
Zotu44	37.13
Zotu109	36.96
Zotu78	34.36
Zotu47	33.68
Zotu69	32.76
Zotu73	32.61
Zotu14	32.46
Zotu100	32.43
Zotu40	32.32
Zotu113	31.35
Zotu39	31.23
Zotu12	30.77
Zotu160	30.12
Zotu34	29.7
Zotu16	29.69
Zotu127	29.63
Zotu10	29.59
Zotu32	29.49
Zotu18	29.44
Zotu1	29.39
Zotu208	29.32
random_variable1	29.29
Zotu2	28.67
Zotu19	28.54
Zotu79	28.54
Zotu84	28.4
Zotu287	27.56
Zotu152	27.43
Zotu129	27.31
Zotu68	27.21
Zotu13	27.09
Zotu61	27.08
Zotu55	27.05
Zotu96	27.02
Zotu11	26.97
Zotu143	26.94
Zotu72	26.83
Zotu90	26.63
Zotu80	26.54
Zotu137	26.31
Zotu36	26.12
Zotu94	25.71
Zotu42	25.57
Zotu30	25.11
Zotu3	25.06
Zotu4	25.04
Zotu76	24.87
Zotu252	24.47
Zotu163	24.45
Zotu198	24.29
Zotu197	24.22
Zotu182	24.11
Zotu232	24.04
Zotu194	24.04
Zotu38	24.03
Zotu174	24.02
Zotu83	23.89
Zotu41	23.69
Zotu21	23.42
Zotu153	23.3
Zotu202	23.2
Zotu15	22.78
Zotu49	22.7
Zotu157	22.67
Zotu88	22.57
Zotu99	22.48
Zotu81	22.45
Zotu87	22.18
Zotu258	22.18
Zotu172	22.12
Zotu64	22.1
Zotu165	21.52
Zotu28	21.4
Zotu154	21.36
Zotu23	21.22
Zotu112	21.03
Zotu54	20.9
Zotu151	20.78
Zotu62	20.73
Zotu101	20.45
Zotu50	20.37
Zotu37	20.27
Zotu237	20.19
Zotu105	19.93
Zotu60	19.86
Zotu156	19.85
Zotu9	19.69
Zotu247	19.54
Zotu6	19.44
Zotu205	19.36
Zotu7	19.25
Zotu57	19.19
Zotu115	19.11
Zotu118	19.0
Zotu207	18.97
Zotu8	18.94
Zotu130	18.91
Zotu175	18.81
Zotu126	18.69
Zotu53	18.69
Zotu25	18.65
Zotu77	18.61
Zotu146	18.51
Zotu254	18.45
Zotu89	18.34
Zotu131	18.23
Zotu71	18.11
Zotu187	17.52
Zotu185	17.46
Zotu20	17.35
Zotu5	17.19
Zotu147	17.1
Zotu106	17.01
Zotu145	16.99
Zotu138	16.69
Zotu26	16.56
Zotu97	16.2
Zotu139	16.16
Zotu35	16.1
Zotu85	16.06
Zotu288	15.89
Zotu253	15.41
Zotu132	15.4
Zotu82	15.11
Zotu56	14.8
Zotu52	14.68
Zotu75	14.53
Zotu120	14.39
Zotu46	14.35
Zotu196	13.83
Zotu150	12.53
Zotu188	12.47
Zotu179	11.86
Zotu98	11.33
Zotu158	9.26
Zotu70	6.98
random_variable2	0.0
