FeatName	RelFeatImp
Zotu14	100.0
Zotu253	98.17
Zotu4	95.31
Zotu99	93.53
Zotu97	90.19
Zotu252	87.55
Zotu132	87.32
Zotu69	87.05
Zotu11	82.76
Zotu160	81.6
Zotu84	81.23
Zotu10	80.69
Zotu60	80.12
Zotu12	79.53
Zotu52	77.67
Zotu112	77.51
Zotu15	75.82
Zotu2	75.6
Zotu187	75.52
Zotu13	75.07
Zotu6	74.86
Zotu37	74.84
Zotu88	74.13
Zotu17	73.56
Zotu50	73.29
Zotu47	73.21
Zotu36	72.12
Zotu174	71.55
Zotu35	70.87
random_variable1	70.25
Zotu7	69.99
Zotu24	69.77
Zotu106	69.34
Zotu26	68.74
Zotu27	67.34
Zotu139	67.06
Zotu96	66.65
Zotu198	66.49
Zotu28	66.34
Zotu85	65.61
Zotu53	65.59
Zotu154	65.35
Zotu76	65.27
Zotu194	65.15
Zotu81	65.02
Zotu23	64.83
Zotu83	64.56
Zotu151	64.45
Zotu41	63.29
Zotu164	63.25
Zotu179	62.41
Zotu188	62.33
Zotu1	61.22
Zotu18	60.9
Zotu90	60.73
Zotu21	60.42
Zotu100	59.54
Zotu38	59.15
Zotu158	59.08
Zotu34	59.02
Zotu94	58.95
Zotu25	58.1
Zotu77	57.95
Zotu153	57.76
Zotu62	57.73
Zotu20	57.33
Zotu146	57.12
Zotu78	56.72
Zotu138	56.63
Zotu127	55.52
Zotu165	55.51
Zotu30	55.5
Zotu258	55.39
Zotu19	54.96
Zotu118	54.51
Zotu207	54.43
Zotu54	54.07
Zotu57	53.94
Zotu8	53.66
Zotu65	51.93
Zotu9	51.79
Zotu40	51.76
Zotu163	51.67
Zotu130	51.57
Zotu44	51.54
Zotu145	51.39
Zotu202	51.37
Zotu182	51.21
Zotu143	50.97
Zotu128	50.85
Zotu68	50.4
Zotu73	49.65
Zotu71	49.63
Zotu131	49.4
Zotu80	49.36
Zotu46	49.31
Zotu152	49.29
Zotu157	49.23
Zotu129	49.2
Zotu39	48.75
Zotu59	48.63
Zotu87	48.33
Zotu237	48.13
Zotu72	47.5
Zotu255	47.2
Zotu172	47.09
Zotu126	47.03
Zotu82	46.9
Zotu49	46.87
Zotu197	46.68
Zotu79	46.38
Zotu115	46.34
Zotu196	46.22
Zotu175	46.1
Zotu208	46.06
Zotu113	46.0
Zotu89	45.92
Zotu137	45.88
Zotu56	45.42
Zotu254	45.27
Zotu232	45.05
Zotu228	44.81
Zotu42	44.33
Zotu109	44.23
Zotu16	43.25
Zotu120	42.76
Zotu147	42.3
Zotu247	42.13
Zotu205	41.7
Zotu5	41.63
Zotu156	40.8
Zotu98	40.76
Zotu32	40.65
Zotu235	40.15
Zotu67	39.41
Zotu101	39.19
Zotu64	38.97
Zotu150	37.82
Zotu61	37.51
Zotu75	35.53
Zotu55	35.08
Zotu287	34.3
Zotu3	33.24
Zotu105	32.91
Zotu185	32.62
Zotu70	31.05
Zotu288	25.74
random_variable2	0.0
