FeatName	RelFeatImp
Zotu60	100.0
Zotu10	94.72
Zotu75	89.74
Zotu13	89.52
Zotu55	87.44
Zotu50	84.22
Zotu17	83.06
Zotu164	82.55
Zotu20	81.57
Zotu36	81.21
Zotu23	80.8
Zotu44	79.45
Zotu47	76.51
Zotu11	75.9
Zotu9	73.81
Zotu19	73.06
Zotu4	71.43
Zotu24	70.74
Zotu252	69.75
Zotu128	69.08
Zotu3	68.17
Zotu187	67.79
Zotu16	67.6
Zotu197	67.23
random_variable1	67.17
Zotu57	66.9
Zotu81	66.9
Zotu54	65.72
Zotu8	63.88
Zotu15	63.47
Zotu109	62.88
Zotu14	62.58
Zotu179	62.54
Zotu156	60.12
Zotu32	59.1
Zotu2	58.83
Zotu126	58.77
Zotu101	58.7
Zotu112	57.6
Zotu76	57.59
Zotu53	57.23
Zotu172	57.18
Zotu228	56.56
Zotu87	56.18
Zotu255	56.15
Zotu41	56.0
Zotu67	55.24
Zotu61	54.63
Zotu37	54.02
Zotu34	53.39
Zotu28	53.0
Zotu49	52.81
Zotu100	52.6
Zotu175	52.16
Zotu99	51.89
Zotu21	51.39
Zotu130	50.46
Zotu78	50.25
Zotu26	49.86
Zotu18	49.53
Zotu62	49.11
Zotu139	48.91
Zotu72	48.66
Zotu207	48.36
Zotu118	48.13
Zotu7	48.02
Zotu157	47.54
Zotu80	47.45
Zotu232	47.41
Zotu83	46.46
Zotu12	46.17
Zotu237	45.92
Zotu88	45.68
Zotu82	45.15
Zotu202	45.06
Zotu96	44.83
Zotu182	44.82
Zotu46	44.81
Zotu235	44.42
Zotu115	44.25
Zotu77	44.04
Zotu35	43.38
Zotu129	43.19
Zotu38	42.65
Zotu145	42.17
Zotu185	42.01
Zotu39	41.86
Zotu194	41.49
Zotu165	41.3
Zotu154	41.08
Zotu40	40.98
Zotu73	40.66
Zotu6	40.09
Zotu120	38.59
Zotu42	38.35
Zotu69	38.23
Zotu188	37.15
Zotu163	36.86
Zotu97	36.68
Zotu84	36.44
Zotu71	36.37
Zotu247	36.34
Zotu146	35.97
Zotu1	35.53
Zotu65	35.37
Zotu127	34.65
Zotu253	34.46
Zotu25	34.41
Zotu27	34.23
Zotu158	33.82
Zotu5	33.81
Zotu160	33.77
Zotu153	33.63
Zotu30	33.28
Zotu52	32.91
Zotu64	32.48
Zotu131	32.2
Zotu98	32.19
Zotu90	32.15
Zotu174	31.94
Zotu56	31.43
Zotu147	31.32
Zotu94	30.84
Zotu143	30.74
Zotu137	30.49
Zotu288	30.44
Zotu79	28.92
Zotu68	27.49
Zotu132	27.05
Zotu196	26.72
Zotu205	26.53
Zotu198	26.22
Zotu138	25.76
Zotu152	25.58
Zotu105	24.2
Zotu150	24.01
Zotu258	23.43
Zotu59	23.3
Zotu89	23.24
Zotu113	22.07
Zotu106	21.65
Zotu208	20.97
Zotu254	20.97
Zotu287	19.25
Zotu151	17.59
Zotu85	14.61
Zotu70	12.76
random_variable2	0.0
