FeatName	RelFeatImp
Zotu164	100.0
Zotu30	90.6
Zotu21	68.1
Zotu8	65.57
Zotu24	63.58
Zotu205	63.43
Zotu20	61.1
Zotu96	60.65
Zotu18	59.89
Zotu65	59.08
Zotu152	56.6
Zotu208	56.59
Zotu255	56.27
Zotu15	56.15
Zotu113	55.81
Zotu47	54.81
Zotu235	54.1
Zotu44	53.72
Zotu72	53.41
Zotu19	52.98
Zotu40	51.13
Zotu12	51.09
Zotu109	50.44
Zotu28	50.07
Zotu42	49.58
Zotu196	49.27
Zotu36	47.86
Zotu32	47.83
Zotu128	47.75
Zotu55	47.58
Zotu11	46.82
Zotu4	46.79
Zotu198	46.34
Zotu247	45.61
Zotu101	45.59
Zotu232	45.45
Zotu84	45.44
Zotu7	45.39
Zotu17	45.19
Zotu188	44.46
Zotu67	44.39
random_variable1	43.99
Zotu88	43.85
Zotu127	43.82
Zotu146	43.67
Zotu207	43.09
Zotu9	42.91
Zotu76	42.53
Zotu59	42.32
Zotu157	41.54
Zotu34	41.33
Zotu153	41.01
Zotu1	40.75
Zotu131	40.62
Zotu83	40.36
Zotu253	39.91
Zotu154	39.85
Zotu78	39.77
Zotu57	39.75
Zotu252	39.43
Zotu160	39.39
Zotu27	39.32
Zotu100	39.11
Zotu89	39.08
Zotu182	39.08
Zotu130	38.99
Zotu68	38.96
Zotu50	38.72
Zotu202	38.36
Zotu81	38.15
Zotu61	37.97
Zotu38	37.61
Zotu53	36.87
Zotu14	36.75
Zotu143	36.68
Zotu197	36.39
Zotu80	36.15
Zotu56	35.86
Zotu10	35.66
Zotu13	35.63
Zotu70	35.53
Zotu98	35.5
Zotu6	34.84
Zotu85	34.8
Zotu118	34.65
Zotu112	34.63
Zotu39	34.43
Zotu73	34.31
Zotu94	34.19
Zotu2	33.99
Zotu172	33.17
Zotu60	33.09
Zotu54	33.03
Zotu41	33.02
Zotu37	33.02
Zotu137	32.92
Zotu35	32.87
Zotu99	32.84
Zotu97	32.72
Zotu106	32.69
Zotu129	32.68
Zotu75	32.06
Zotu228	31.92
Zotu138	31.9
Zotu69	31.88
Zotu254	31.76
Zotu77	31.56
Zotu87	31.52
Zotu237	31.3
Zotu287	31.26
Zotu26	31.26
Zotu120	31.21
Zotu187	31.12
Zotu150	31.1
Zotu23	30.99
Zotu126	30.97
Zotu179	30.52
Zotu194	30.06
Zotu147	29.82
Zotu46	29.12
Zotu163	28.77
Zotu82	28.59
Zotu156	28.59
Zotu71	28.51
Zotu158	28.19
Zotu174	28.07
Zotu175	27.91
Zotu258	27.75
Zotu3	27.71
Zotu90	27.48
Zotu79	27.27
Zotu52	26.75
Zotu5	26.19
Zotu139	25.96
Zotu16	25.38
Zotu25	24.72
Zotu64	24.66
Zotu115	24.34
Zotu165	23.51
Zotu145	22.55
Zotu49	22.27
Zotu132	21.65
Zotu288	21.23
Zotu62	21.08
Zotu151	20.64
Zotu185	19.75
Zotu105	19.53
random_variable2	0.0
