FeatName	RelFeatImp
Zotu109	100.0
Zotu79	83.38
Zotu128	78.7
Zotu185	78.44
Zotu16	73.42
Zotu67	68.72
Zotu13	64.51
Zotu30	63.48
Zotu3	61.68
Zotu194	58.73
Zotu59	57.32
Zotu84	55.7
Zotu202	54.33
Zotu24	51.3
Zotu172	48.88
Zotu49	45.39
Zotu76	42.52
Zotu151	41.33
Zotu32	41.32
Zotu115	40.75
Zotu165	40.55
Zotu255	39.85
Zotu164	39.16
Zotu97	38.27
random_variable1	37.38
Zotu36	37.15
Zotu152	37.04
Zotu6	36.54
Zotu163	36.47
Zotu88	35.9
Zotu40	35.62
Zotu101	35.51
Zotu69	35.48
Zotu19	35.17
Zotu235	34.98
Zotu65	33.63
Zotu62	33.39
Zotu143	33.27
Zotu81	32.96
Zotu258	31.79
Zotu113	31.63
Zotu100	30.92
Zotu71	30.92
Zotu34	30.85
Zotu68	30.8
Zotu35	30.71
Zotu247	30.69
Zotu77	30.65
Zotu14	30.04
Zotu80	29.11
Zotu147	28.92
Zotu11	28.74
Zotu18	28.61
Zotu41	28.22
Zotu188	28.21
Zotu106	27.46
Zotu54	27.19
Zotu157	27.11
Zotu99	26.32
Zotu139	26.32
Zotu146	25.53
Zotu28	25.19
Zotu47	24.97
Zotu153	24.72
Zotu4	24.52
Zotu38	24.39
Zotu9	24.36
Zotu207	24.36
Zotu156	24.33
Zotu10	24.33
Zotu27	24.0
Zotu78	23.91
Zotu12	23.67
Zotu21	23.62
Zotu8	23.44
Zotu2	23.32
Zotu15	23.08
Zotu205	23.07
Zotu46	22.93
Zotu42	22.91
Zotu175	22.81
Zotu73	22.37
Zotu179	22.35
Zotu37	21.96
Zotu187	21.06
Zotu288	20.94
Zotu7	20.83
Zotu72	20.64
Zotu118	20.43
Zotu228	20.28
Zotu44	20.19
Zotu23	20.06
Zotu137	20.03
Zotu253	19.87
Zotu158	19.82
Zotu85	19.62
Zotu1	19.57
Zotu94	19.49
Zotu83	19.08
Zotu55	18.97
Zotu60	18.94
Zotu197	18.86
Zotu25	18.81
Zotu127	18.6
Zotu196	18.43
Zotu96	18.42
Zotu53	17.95
Zotu89	17.61
Zotu126	17.54
Zotu208	17.5
Zotu26	17.5
Zotu70	17.2
Zotu90	17.19
Zotu112	17.19
Zotu182	16.72
Zotu61	16.63
Zotu160	16.59
Zotu87	16.53
Zotu39	16.51
Zotu254	16.03
Zotu50	15.91
Zotu174	15.82
Zotu20	15.8
Zotu252	15.69
Zotu154	15.45
Zotu17	15.17
Zotu75	14.32
Zotu138	13.93
Zotu131	13.88
Zotu129	13.88
Zotu52	13.88
Zotu56	13.72
Zotu64	13.66
Zotu105	13.51
Zotu145	13.38
Zotu57	12.96
Zotu130	12.28
Zotu5	12.2
Zotu287	12.05
Zotu232	12.04
Zotu198	12.04
Zotu82	11.66
Zotu120	11.11
Zotu237	10.36
Zotu98	9.5
Zotu150	9.39
Zotu132	7.58
random_variable2	0.0
