FeatName	RelFeatImp
Zotu1	100.0
Zotu146	79.74
Zotu9	78.06
Zotu37	73.34
Zotu34	65.97
Zotu253	65.76
Zotu57	58.41
Zotu115	57.04
Zotu60	51.33
Zotu10	50.85
Zotu70	50.24
Zotu14	50.11
Zotu228	49.11
Zotu35	48.97
Zotu79	48.61
Zotu255	47.8
Zotu25	46.72
Zotu21	45.05
Zotu40	44.66
Zotu139	43.49
Zotu127	43.16
Zotu89	41.93
Zotu164	41.35
Zotu67	40.89
Zotu137	38.19
Zotu6	38.17
Zotu27	37.97
Zotu11	37.65
Zotu88	36.86
Zotu39	36.79
Zotu44	36.22
Zotu105	35.76
Zotu5	35.51
Zotu196	34.98
Zotu24	34.93
Zotu160	34.66
Zotu52	34.29
Zotu17	34.1
Zotu2	34.02
Zotu100	33.8
random_variable1	33.24
Zotu12	32.8
Zotu3	32.6
Zotu101	32.47
Zotu106	32.44
Zotu36	32.23
Zotu112	32.21
Zotu175	31.97
Zotu72	31.34
Zotu126	31.24
Zotu98	31.09
Zotu132	30.65
Zotu26	30.47
Zotu78	30.37
Zotu47	30.28
Zotu59	29.93
Zotu287	29.76
Zotu19	29.69
Zotu83	29.58
Zotu18	29.55
Zotu128	29.44
Zotu143	29.34
Zotu131	29.15
Zotu30	29.12
Zotu232	28.77
Zotu247	28.37
Zotu8	28.09
Zotu153	27.99
Zotu56	27.86
Zotu99	27.74
Zotu20	27.24
Zotu50	27.04
Zotu16	26.84
Zotu42	26.83
Zotu13	26.79
Zotu62	26.41
Zotu38	26.31
Zotu75	26.31
Zotu64	26.27
Zotu207	26.13
Zotu69	25.71
Zotu157	25.56
Zotu109	25.54
Zotu54	25.14
Zotu4	24.61
Zotu77	24.45
Zotu46	24.33
Zotu182	24.32
Zotu113	24.25
Zotu15	24.24
Zotu76	24.16
Zotu7	24.15
Zotu81	24.11
Zotu71	24.07
Zotu80	23.92
Zotu65	23.77
Zotu23	23.64
Zotu156	22.89
Zotu129	22.79
Zotu87	22.77
Zotu172	22.74
Zotu118	22.36
Zotu252	22.16
Zotu28	21.77
Zotu194	21.6
Zotu145	21.47
Zotu68	21.42
Zotu198	21.39
Zotu197	21.31
Zotu94	21.04
Zotu97	20.61
Zotu120	20.59
Zotu165	20.54
Zotu202	20.11
Zotu237	20.01
Zotu208	20.0
Zotu179	20.0
Zotu90	19.82
Zotu158	19.61
Zotu32	19.61
Zotu73	19.47
Zotu147	19.01
Zotu185	18.8
Zotu174	18.77
Zotu188	18.29
Zotu41	18.27
Zotu96	18.22
Zotu288	17.87
Zotu152	17.77
Zotu130	17.68
Zotu138	17.67
Zotu154	17.41
Zotu55	17.27
Zotu49	17.17
Zotu235	16.74
Zotu53	16.46
Zotu258	16.32
Zotu187	16.22
Zotu205	16.17
Zotu84	15.98
Zotu82	15.94
Zotu150	15.27
Zotu254	14.46
Zotu163	14.06
Zotu85	13.68
Zotu61	12.9
Zotu151	12.52
random_variable2	0.0
