FeatName	RelFeatImp
Zotu109	100.0
Zotu194	40.64
Zotu16	40.58
Zotu13	36.0
Zotu128	28.51
Zotu3	28.37
Zotu101	25.36
Zotu152	21.76
Zotu65	21.07
Zotu76	20.79
Zotu202	19.95
Zotu165	19.86
Zotu147	19.8
Zotu83	19.55
Zotu255	19.06
Zotu185	18.86
Zotu11	17.86
random_variable1	17.85
Zotu79	17.81
Zotu196	17.24
Zotu120	17.23
Zotu39	16.83
Zotu90	16.15
Zotu42	16.15
Zotu100	16.12
Zotu71	15.96
Zotu6	15.78
Zotu151	15.61
Zotu163	15.32
Zotu156	15.25
Zotu24	15.08
Zotu9	15.0
Zotu32	14.82
Zotu97	14.66
Zotu38	14.57
Zotu118	14.3
Zotu78	14.3
Zotu96	14.23
Zotu198	14.01
Zotu72	13.92
Zotu187	13.77
Zotu14	13.76
Zotu54	13.74
Zotu253	13.68
Zotu62	13.57
Zotu80	13.51
Zotu46	13.04
Zotu30	13.0
Zotu77	12.87
Zotu2	12.65
Zotu28	12.46
Zotu53	12.07
Zotu7	12.07
Zotu41	12.02
Zotu10	11.95
Zotu44	11.94
Zotu94	11.94
Zotu26	11.91
Zotu85	11.87
Zotu12	11.86
Zotu15	11.79
Zotu81	11.72
Zotu99	11.72
Zotu164	11.68
Zotu113	11.43
Zotu8	11.17
Zotu153	11.08
Zotu106	11.05
Zotu17	10.95
Zotu207	10.93
Zotu4	10.92
Zotu49	10.89
Zotu157	10.82
Zotu50	10.81
Zotu88	10.75
Zotu19	10.7
Zotu160	10.69
Zotu36	10.68
Zotu37	10.55
Zotu47	10.5
Zotu179	10.38
Zotu40	10.21
Zotu68	10.17
Zotu126	10.17
Zotu21	10.1
Zotu247	10.09
Zotu60	10.05
Zotu205	9.93
Zotu127	9.91
Zotu235	9.91
Zotu55	9.83
Zotu150	9.83
Zotu287	9.69
Zotu146	9.68
Zotu237	9.6
Zotu67	9.6
Zotu69	9.59
Zotu154	9.58
Zotu64	9.51
Zotu61	9.46
Zotu112	9.3
Zotu252	9.23
Zotu87	9.03
Zotu174	9.01
Zotu73	8.96
Zotu75	8.84
Zotu27	8.75
Zotu131	8.74
Zotu18	8.68
Zotu56	8.48
Zotu5	8.2
Zotu138	8.18
Zotu188	8.17
Zotu82	7.92
Zotu232	7.75
Zotu175	7.72
Zotu34	7.67
Zotu137	7.66
Zotu57	7.59
Zotu59	7.57
Zotu228	7.45
Zotu139	7.41
Zotu115	7.3
Zotu89	7.27
Zotu197	7.23
Zotu158	7.19
Zotu84	7.11
Zotu130	7.09
Zotu23	6.98
Zotu35	6.78
Zotu254	6.78
Zotu20	6.72
Zotu143	6.56
Zotu1	6.53
Zotu182	6.46
Zotu258	6.29
Zotu288	6.16
Zotu98	6.03
Zotu145	5.99
Zotu208	5.87
Zotu52	5.8
Zotu172	5.53
Zotu129	4.88
Zotu70	4.71
Zotu25	4.59
Zotu105	4.14
Zotu132	3.66
random_variable2	0.0
