FeatName	RelFeatImp
Zotu109	100.0
Zotu67	97.03
Zotu65	93.19
Zotu34	91.2
Zotu164	90.89
Zotu40	84.68
Zotu187	81.92
Zotu84	81.53
Zotu101	78.96
Zotu137	78.21
Zotu69	77.92
Zotu152	75.99
Zotu78	75.21
Zotu24	72.26
Zotu197	71.91
Zotu179	71.31
Zotu27	70.78
Zotu252	68.16
Zotu36	66.44
Zotu128	65.58
Zotu287	64.91
Zotu81	64.54
Zotu97	63.8
Zotu105	63.32
Zotu131	62.62
Zotu154	61.18
Zotu100	60.7
Zotu255	60.33
Zotu160	59.6
Zotu39	58.93
Zotu196	58.71
Zotu127	58.46
Zotu10	58.23
Zotu21	57.36
Zotu208	56.42
Zotu79	56.32
Zotu14	55.57
Zotu71	55.32
Zotu130	53.63
random_variable1	53.13
Zotu99	52.48
Zotu126	52.24
Zotu207	51.72
Zotu11	51.46
Zotu77	50.42
Zotu15	49.92
Zotu228	49.83
Zotu235	49.56
Zotu62	49.16
Zotu55	48.26
Zotu83	48.22
Zotu12	47.86
Zotu163	47.65
Zotu19	47.65
Zotu202	47.43
Zotu80	47.3
Zotu68	46.65
Zotu46	46.51
Zotu7	46.41
Zotu153	46.41
Zotu1	46.29
Zotu41	46.11
Zotu17	45.6
Zotu73	45.5
Zotu237	45.43
Zotu25	45.42
Zotu82	44.9
Zotu182	44.84
Zotu143	44.28
Zotu112	44.2
Zotu56	44.19
Zotu4	43.5
Zotu18	43.35
Zotu50	43.2
Zotu42	43.01
Zotu28	42.95
Zotu172	42.29
Zotu113	41.98
Zotu13	41.94
Zotu147	41.88
Zotu44	41.58
Zotu35	41.1
Zotu6	40.55
Zotu37	40.52
Zotu32	40.23
Zotu59	39.82
Zotu87	39.81
Zotu90	38.99
Zotu194	38.8
Zotu118	38.75
Zotu60	38.73
Zotu16	38.66
Zotu2	38.61
Zotu72	38.31
Zotu150	38.16
Zotu30	37.9
Zotu52	37.64
Zotu8	37.44
Zotu26	37.23
Zotu76	37.17
Zotu138	37.14
Zotu88	36.9
Zotu205	36.59
Zotu188	36.45
Zotu53	36.42
Zotu38	36.21
Zotu23	36.1
Zotu57	35.75
Zotu145	35.27
Zotu157	34.74
Zotu120	34.16
Zotu198	34.09
Zotu151	33.88
Zotu253	33.87
Zotu288	33.62
Zotu89	33.57
Zotu5	33.35
Zotu54	33.2
Zotu49	33.07
Zotu129	32.47
Zotu61	32.41
Zotu96	32.24
Zotu156	32.15
Zotu98	32.0
Zotu47	31.99
Zotu20	31.94
Zotu9	31.93
Zotu232	31.72
Zotu3	31.47
Zotu254	30.53
Zotu174	30.3
Zotu247	30.21
Zotu158	28.86
Zotu132	28.58
Zotu94	28.03
Zotu139	28.01
Zotu165	26.83
Zotu175	26.7
Zotu106	26.56
Zotu146	25.85
Zotu115	25.16
Zotu75	24.81
Zotu258	24.62
Zotu85	24.4
Zotu70	22.76
Zotu185	22.68
Zotu64	20.85
random_variable2	0.0
