FeatName	RelFeatImp
Zotu23	100.0
Zotu150	57.04
Zotu109	56.01
Zotu69	50.67
Zotu27	49.06
Zotu287	48.12
Zotu207	47.54
Zotu19	47.25
Zotu94	47.05
Zotu21	42.9
Zotu24	42.88
Zotu202	41.85
Zotu126	41.2
Zotu179	40.68
Zotu137	40.59
Zotu35	40.54
Zotu40	40.38
Zotu81	39.63
Zotu253	39.57
Zotu30	39.39
Zotu1	39.06
Zotu12	39.01
Zotu8	37.51
Zotu156	36.34
Zotu28	36.22
Zotu82	35.82
Zotu96	34.15
Zotu13	33.79
Zotu20	33.72
Zotu65	33.55
Zotu252	33.21
Zotu79	32.27
Zotu76	32.22
Zotu42	31.95
Zotu187	31.75
Zotu100	31.7
Zotu50	31.4
Zotu196	31.31
Zotu132	31.12
Zotu7	31.04
Zotu164	30.93
Zotu89	30.91
Zotu60	30.87
random_variable1	30.58
Zotu232	30.48
Zotu44	30.32
Zotu52	30.09
Zotu72	29.9
Zotu41	29.38
Zotu57	29.04
Zotu129	28.95
Zotu247	28.54
Zotu151	28.54
Zotu10	28.46
Zotu197	28.23
Zotu175	28.13
Zotu47	27.97
Zotu152	27.96
Zotu87	27.7
Zotu14	27.3
Zotu77	27.29
Zotu182	27.07
Zotu106	26.72
Zotu128	26.58
Zotu288	26.45
Zotu99	26.4
Zotu85	26.37
Zotu78	26.29
Zotu11	26.03
Zotu26	26.01
Zotu15	25.89
Zotu160	25.75
Zotu71	25.58
Zotu146	25.57
Zotu163	25.57
Zotu73	25.55
Zotu39	25.51
Zotu4	25.41
Zotu37	25.2
Zotu83	24.95
Zotu101	24.82
Zotu38	24.69
Zotu147	24.51
Zotu2	24.46
Zotu138	24.46
Zotu228	24.42
Zotu198	24.35
Zotu143	24.3
Zotu36	24.3
Zotu18	24.19
Zotu34	24.17
Zotu25	23.98
Zotu5	23.96
Zotu3	23.89
Zotu9	23.81
Zotu84	23.7
Zotu154	23.67
Zotu188	23.58
Zotu130	23.29
Zotu17	23.09
Zotu127	23.03
Zotu131	22.7
Zotu80	22.49
Zotu75	22.34
Zotu88	22.31
Zotu56	22.19
Zotu208	21.84
Zotu237	21.5
Zotu139	21.36
Zotu16	21.26
Zotu54	21.23
Zotu67	21.11
Zotu59	21.05
Zotu185	20.91
Zotu6	20.43
Zotu153	20.4
Zotu53	20.32
Zotu205	20.09
Zotu113	19.6
Zotu165	19.56
Zotu118	19.44
Zotu98	19.39
Zotu255	18.91
Zotu258	18.79
Zotu145	18.67
Zotu112	18.62
Zotu68	18.6
Zotu32	18.3
Zotu194	17.84
Zotu158	17.62
Zotu115	16.97
Zotu254	16.87
Zotu172	16.79
Zotu90	16.76
Zotu174	16.34
Zotu46	16.31
Zotu55	16.15
Zotu64	16.01
Zotu120	16.01
Zotu97	16.01
Zotu105	15.93
Zotu70	15.74
Zotu157	15.73
Zotu61	15.58
Zotu49	13.42
Zotu235	13.27
Zotu62	12.77
random_variable2	0.0
