FeatName	RelFeatImp
Zotu150	100.0
Zotu109	60.34
Zotu118	48.46
Zotu126	42.26
Zotu84	41.21
Zotu88	40.83
Zotu158	39.69
Zotu247	38.91
Zotu73	37.75
Zotu60	37.12
Zotu37	34.96
Zotu24	34.95
Zotu30	33.99
Zotu17	32.62
Zotu175	31.65
Zotu69	31.32
Zotu12	31.1
Zotu137	31.06
Zotu85	31.03
Zotu82	30.82
Zotu5	30.16
Zotu42	29.73
Zotu129	29.14
Zotu47	28.97
Zotu49	28.55
Zotu65	27.73
Zotu208	27.38
Zotu187	27.17
Zotu7	26.93
random_variable1	26.24
Zotu83	25.96
Zotu71	25.63
Zotu14	25.23
Zotu55	25.22
Zotu87	25.17
Zotu94	25.13
Zotu28	25.06
Zotu160	24.68
Zotu77	24.64
Zotu81	24.47
Zotu145	24.33
Zotu2	24.22
Zotu138	24.12
Zotu54	24.1
Zotu50	24.1
Zotu98	23.93
Zotu32	23.85
Zotu232	23.74
Zotu21	23.63
Zotu100	23.51
Zotu57	23.44
Zotu188	23.29
Zotu36	23.2
Zotu26	23.18
Zotu287	23.12
Zotu255	23.08
Zotu23	23.04
Zotu253	23.0
Zotu252	22.81
Zotu151	22.55
Zotu44	22.5
Zotu6	22.04
Zotu10	22.0
Zotu128	22.0
Zotu72	21.93
Zotu99	21.92
Zotu163	21.76
Zotu8	21.71
Zotu20	21.67
Zotu131	21.62
Zotu146	21.61
Zotu11	21.59
Zotu80	21.41
Zotu67	21.16
Zotu113	21.05
Zotu156	21.01
Zotu46	20.89
Zotu106	20.88
Zotu207	20.86
Zotu164	20.82
Zotu130	20.81
Zotu78	20.81
Zotu15	20.57
Zotu112	20.53
Zotu41	20.42
Zotu19	20.23
Zotu76	20.12
Zotu97	20.09
Zotu202	20.06
Zotu16	20.03
Zotu153	19.97
Zotu147	19.82
Zotu61	19.79
Zotu254	19.79
Zotu182	19.77
Zotu197	19.72
Zotu40	19.56
Zotu18	19.44
Zotu53	19.36
Zotu34	19.3
Zotu89	19.27
Zotu96	19.22
Zotu235	19.11
Zotu179	19.01
Zotu196	19.01
Zotu174	18.75
Zotu4	18.58
Zotu120	18.37
Zotu39	18.32
Zotu27	18.32
Zotu52	18.22
Zotu13	18.02
Zotu194	17.89
Zotu132	17.86
Zotu38	17.77
Zotu68	17.58
Zotu56	17.29
Zotu25	17.08
Zotu157	17.07
Zotu35	17.0
Zotu154	16.98
Zotu228	16.88
Zotu9	16.66
Zotu1	16.38
Zotu90	16.32
Zotu258	16.0
Zotu62	15.89
Zotu101	15.83
Zotu198	15.59
Zotu127	15.03
Zotu3	14.82
Zotu59	14.66
Zotu237	14.44
Zotu143	14.44
Zotu105	14.35
Zotu79	14.34
Zotu64	14.22
Zotu115	13.96
Zotu139	13.23
Zotu165	12.54
Zotu152	11.94
Zotu185	11.69
Zotu70	11.22
Zotu75	10.95
Zotu288	10.51
Zotu205	9.44
Zotu172	8.81
random_variable2	0.0
