FeatName	RelFeatImp
Zotu1	100.0
Zotu79	84.76
Zotu23	77.19
Zotu27	74.03
Zotu81	66.98
Zotu94	61.61
Zotu174	58.39
Zotu80	52.58
Zotu35	52.39
Zotu7	51.99
Zotu40	51.7
Zotu65	51.48
Zotu56	50.93
Zotu71	50.49
Zotu228	50.23
Zotu164	48.65
Zotu60	47.42
Zotu138	47.13
Zotu57	46.56
Zotu207	46.53
Zotu129	46.45
Zotu5	45.57
Zotu21	45.46
Zotu152	44.11
Zotu38	43.16
Zotu12	41.66
Zotu76	41.64
Zotu73	41.49
Zotu19	41.45
Zotu163	41.13
Zotu154	40.3
Zotu188	39.78
Zotu126	39.46
Zotu156	38.83
Zotu77	38.32
Zotu109	37.69
Zotu15	37.06
Zotu137	36.81
Zotu150	36.74
Zotu28	36.44
Zotu50	36.34
Zotu287	35.99
Zotu147	35.61
Zotu64	35.57
Zotu82	35.27
Zotu34	35.13
Zotu6	35.11
Zotu72	35.09
random_variable1	34.88
Zotu96	34.5
Zotu41	34.37
Zotu197	34.02
Zotu84	33.97
Zotu160	33.21
Zotu130	33.13
Zotu37	32.86
Zotu18	32.81
Zotu14	32.59
Zotu98	32.58
Zotu24	31.95
Zotu10	31.9
Zotu3	31.77
Zotu39	31.75
Zotu20	31.69
Zotu25	31.51
Zotu194	31.43
Zotu101	31.36
Zotu52	30.98
Zotu97	30.98
Zotu128	30.97
Zotu179	30.8
Zotu100	30.69
Zotu36	30.67
Zotu288	30.65
Zotu158	30.3
Zotu44	30.13
Zotu127	29.83
Zotu205	29.82
Zotu99	29.72
Zotu202	29.67
Zotu11	29.44
Zotu153	29.39
Zotu30	29.35
Zotu139	29.1
Zotu131	29.09
Zotu175	29.07
Zotu106	28.97
Zotu115	28.66
Zotu83	28.61
Zotu4	28.4
Zotu8	28.23
Zotu146	28.21
Zotu187	28.19
Zotu232	27.81
Zotu118	27.61
Zotu132	27.44
Zotu196	27.27
Zotu59	27.17
Zotu120	27.11
Zotu88	27.08
Zotu9	27.0
Zotu2	26.97
Zotu69	26.76
Zotu13	26.74
Zotu85	26.62
Zotu182	26.58
Zotu151	26.58
Zotu112	26.42
Zotu143	26.38
Zotu32	26.24
Zotu185	26.08
Zotu55	26.05
Zotu17	25.69
Zotu258	25.66
Zotu42	25.38
Zotu26	25.34
Zotu87	24.95
Zotu247	24.68
Zotu54	24.64
Zotu62	24.32
Zotu47	23.33
Zotu16	23.27
Zotu46	23.27
Zotu61	22.7
Zotu255	22.68
Zotu198	22.58
Zotu78	22.49
Zotu145	22.39
Zotu89	22.32
Zotu90	21.89
Zotu53	21.33
Zotu165	20.92
Zotu75	20.57
Zotu208	20.17
Zotu254	20.01
Zotu68	19.52
Zotu105	19.46
Zotu67	19.29
Zotu157	19.25
Zotu113	19.23
Zotu70	18.84
Zotu237	18.75
Zotu252	17.45
Zotu172	17.24
Zotu253	15.39
Zotu235	13.96
Zotu49	11.13
random_variable2	0.0
