FeatName	RelFeatImp
Zotu14	100.0
Zotu235	96.07
Zotu67	86.57
Zotu232	64.43
Zotu34	63.37
Zotu47	63.2
Zotu65	59.49
Zotu164	57.15
Zotu163	52.81
Zotu36	52.3
Zotu59	52.06
Zotu228	49.76
Zotu32	47.84
Zotu42	47.39
Zotu128	46.56
Zotu127	44.37
Zotu44	44.2
Zotu6	43.01
Zotu90	42.31
Zotu115	41.73
Zotu137	41.67
Zotu172	41.63
Zotu3	41.59
Zotu153	41.52
Zotu113	41.49
Zotu55	41.33
Zotu69	41.05
Zotu13	40.79
Zotu84	40.47
Zotu152	40.36
Zotu154	39.93
Zotu88	39.48
Zotu194	39.34
Zotu94	38.93
Zotu60	38.65
Zotu28	38.58
Zotu197	38.27
Zotu21	37.96
Zotu18	37.81
Zotu8	37.81
Zotu10	37.73
random_variable1	37.52
Zotu68	37.41
Zotu253	36.81
Zotu87	36.23
Zotu165	36.19
Zotu205	36.13
Zotu158	35.79
Zotu9	35.53
Zotu12	35.32
Zotu16	35.08
Zotu40	34.92
Zotu252	34.82
Zotu109	34.8
Zotu97	34.55
Zotu17	34.53
Zotu57	34.5
Zotu79	34.09
Zotu198	33.98
Zotu53	33.91
Zotu52	33.8
Zotu129	33.73
Zotu11	33.64
Zotu160	32.95
Zotu37	32.76
Zotu4	32.61
Zotu78	32.6
Zotu39	32.5
Zotu147	32.45
Zotu76	32.4
Zotu208	32.21
Zotu112	32.18
Zotu101	32.1
Zotu38	32.1
Zotu23	31.75
Zotu72	31.67
Zotu77	31.35
Zotu126	31.31
Zotu80	31.21
Zotu105	31.19
Zotu81	30.97
Zotu118	30.93
Zotu20	30.36
Zotu5	30.3
Zotu151	30.09
Zotu2	30.02
Zotu157	29.88
Zotu50	29.85
Zotu82	29.76
Zotu15	29.51
Zotu75	29.26
Zotu187	29.16
Zotu1	29.08
Zotu255	29.06
Zotu258	29.03
Zotu41	28.91
Zotu26	28.75
Zotu61	28.72
Zotu179	28.49
Zotu27	28.11
Zotu7	28.09
Zotu24	27.88
Zotu106	27.72
Zotu64	27.69
Zotu182	27.61
Zotu130	27.45
Zotu287	27.1
Zotu99	26.74
Zotu71	26.6
Zotu120	26.58
Zotu96	26.42
Zotu237	26.26
Zotu156	26.21
Zotu207	26.14
Zotu73	25.6
Zotu100	25.25
Zotu30	24.94
Zotu254	24.9
Zotu145	24.78
Zotu143	24.44
Zotu19	24.23
Zotu56	24.22
Zotu54	24.05
Zotu146	24.02
Zotu185	23.75
Zotu188	22.97
Zotu35	22.73
Zotu175	22.61
Zotu202	22.3
Zotu139	22.1
Zotu132	21.81
Zotu131	21.68
Zotu25	21.54
Zotu247	21.5
Zotu150	20.89
Zotu288	20.81
Zotu196	20.8
Zotu62	20.5
Zotu89	20.4
Zotu138	20.07
Zotu98	19.6
Zotu49	19.51
Zotu85	19.21
Zotu70	16.58
Zotu46	16.47
Zotu83	15.0
Zotu174	13.51
random_variable2	0.0
