FeatName	RelFeatImp
Zotu128	100.0
Zotu24	54.46
Zotu164	46.57
Zotu90	43.14
Zotu42	39.93
Zotu40	39.53
Zotu158	36.96
Zotu72	36.53
Zotu97	36.5
Zotu32	36.04
Zotu80	35.69
Zotu247	33.41
Zotu100	33.16
Zotu2	31.87
Zotu65	31.85
Zotu21	31.71
Zotu25	30.92
Zotu156	30.65
Zotu23	30.19
Zotu202	29.79
Zotu47	29.41
Zotu94	29.34
Zotu79	28.22
Zotu153	28.18
Zotu235	28.05
Zotu3	27.89
Zotu163	27.69
Zotu60	27.68
Zotu157	27.47
Zotu196	27.34
Zotu81	27.33
Zotu99	27.19
Zotu85	26.67
random_variable1	26.61
Zotu96	26.13
Zotu188	25.91
Zotu70	25.9
Zotu67	25.5
Zotu78	25.46
Zotu30	25.25
Zotu6	25.23
Zotu115	25.14
Zotu71	25.11
Zotu109	25.11
Zotu152	25.01
Zotu19	24.54
Zotu197	24.38
Zotu26	24.1
Zotu98	23.9
Zotu10	23.86
Zotu36	23.77
Zotu175	23.73
Zotu182	23.72
Zotu27	23.35
Zotu37	23.3
Zotu82	23.16
Zotu38	22.84
Zotu83	22.7
Zotu18	22.5
Zotu44	22.48
Zotu16	22.44
Zotu12	22.43
Zotu147	22.43
Zotu127	22.35
Zotu187	22.29
Zotu137	22.21
Zotu13	22.18
Zotu89	22.18
Zotu76	22.14
Zotu68	22.12
Zotu146	22.1
Zotu55	22.06
Zotu179	21.95
Zotu11	21.67
Zotu254	21.65
Zotu208	21.64
Zotu9	21.57
Zotu73	21.48
Zotu255	21.3
Zotu194	21.3
Zotu150	21.15
Zotu77	21.06
Zotu198	20.99
Zotu105	20.82
Zotu113	20.53
Zotu61	20.43
Zotu4	20.35
Zotu145	20.32
Zotu17	20.27
Zotu14	19.91
Zotu160	19.87
Zotu185	19.4
Zotu57	19.35
Zotu59	19.2
Zotu69	18.81
Zotu8	18.73
Zotu88	18.69
Zotu34	18.62
Zotu126	18.59
Zotu174	18.48
Zotu20	18.35
Zotu7	18.09
Zotu112	17.91
Zotu53	17.88
Zotu131	17.7
Zotu132	17.68
Zotu5	17.65
Zotu139	17.45
Zotu154	17.41
Zotu39	17.33
Zotu143	17.23
Zotu237	17.0
Zotu50	16.98
Zotu1	16.94
Zotu253	16.77
Zotu52	16.74
Zotu232	16.64
Zotu118	16.61
Zotu64	16.58
Zotu120	16.54
Zotu84	16.38
Zotu287	16.37
Zotu41	16.31
Zotu28	16.31
Zotu75	16.27
Zotu54	16.13
Zotu15	16.1
Zotu151	15.89
Zotu87	15.82
Zotu165	15.74
Zotu207	15.71
Zotu130	15.41
Zotu258	15.36
Zotu172	15.28
Zotu228	15.17
Zotu62	14.74
Zotu35	14.64
Zotu101	14.07
Zotu138	13.87
Zotu252	13.57
Zotu129	13.25
Zotu56	12.69
Zotu106	12.69
Zotu288	12.68
Zotu205	12.54
Zotu46	11.94
Zotu49	10.13
random_variable2	0.0
