FeatName	RelFeatImp
N-acetylcitrulline	100.0
etiocholanolone glucuronide	84.14
serotonin	79.69
vanillactate	71.18
N-formylmethionine	70.84
N6-acetyllysine	65.72
cortolone glucuronide (1)	65.45
N-acetylserine	65.36
tyrosine	65.14
5alpha-pregnan-3beta,20alpha-diol disulfate	64.43
N-acetylasparagine	63.33
4-acetamidobutanoate	62.81
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	62.66
myo-inositol	61.83
tiglyl carnitine (C5)	60.89
5alpha-androstan-3alpha,17alpha-diol monosulfate	60.74
kynurenine	60.46
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	60.44
pregnanediol-3-glucuronide	59.32
epiandrosterone sulfate	59.16
2-stearoyl-GPE (18:0)*	59.12
1-methyladenosine	58.75
quinolinate	58.67
2R,3R-dihydroxybutyrate	58.65
N-acetylthreonine	58.52
N-acetylglucosamine/N-acetylgalactosamine	58.11
alpha-tocopherol	57.17
androstenediol (3beta,17beta) monosulfate (2)	56.78
N-acetyltyrosine	56.73
N-acetylalanine	55.14
docosahexaenoylcarnitine (C22:6)*	54.15
sphingomyelin (d17:2/16:0, d18:2/15:0)*	53.36
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	53.08
androsterone sulfate	52.75
5alpha-pregnan-diol disulfate	51.92
pseudouridine	51.6
dihomo-linolenoyl-choline	51.03
sphingomyelin (d18:2/24:2)*	50.7
heptanoate (7:0)	50.66
phenylpyruvate	50.51
cortisol	49.2
alpha-hydroxycaproate	49.15
hydroxy-N6,N6,N6-trimethyllysine*	49.14
linoleoylcholine*	48.28
androstenediol (3alpha, 17alpha) monosulfate (3)	48.17
caproate (6:0)	48.08
behenoyl dihydrosphingomyelin (d18:0/22:0)*	48.08
sarcosine	48.01
N6-carbamoylthreonyladenosine	47.79
2-hydroxybutyrate/2-hydroxyisobutyrate	47.3
N-acetylvaline	47.13
2-aminoheptanoate	46.72
fructose	46.35
androstenediol (3beta,17beta) disulfate (2)	45.98
6-oxopiperidine-2-carboxylate	45.88
3beta-hydroxy-5-cholestenoate	45.53
pristanate	45.21
dehydroepiandrosterone sulfate (DHEA-S)	45.2
N-palmitoyl-sphingadienine (d18:2/16:0)*	45.13
citrulline	45.08
N6-carboxymethyllysine	45.0
glycerate	44.81
cysteinylglycine disulfide*	44.68
pelargonate (9:0)	44.45
isovalerate (C5)	43.84
xanthosine	43.68
glycochenodeoxycholate glucuronide (1)	43.52
glycerol	43.45
3-(4-hydroxyphenyl)lactate (HPLA)	43.41
sphingomyelin (d18:1/24:1, d18:2/24:0)*	43.18
N,N,N-trimethyl-5-aminovalerate	42.96
5,6-dihydrothymine	42.95
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	42.86
2-aminobutyrate	42.69
hydroxy-CMPF*	42.6
ribitol	42.47
1-stearoyl-GPI (18:0)	42.34
21-hydroxypregnenolone disulfate	42.25
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	42.24
docosahexaenoylcholine	42.22
gamma-CEHC	42.16
cysteine s-sulfate	42.11
cys-gly, oxidized	42.1
9-hydroxystearate	41.5
9,10-DiHOME	41.46
2-aminooctanoate	41.4
bilirubin (E,E)*	41.02
metabolonic lactone sulfate	40.93
5alpha-androstan-3beta,17beta-diol monosulfate (2)	40.63
16-hydroxypalmitate	40.19
behenoyl sphingomyelin (d18:1/22:0)*	40.13
palmitoylcholine	39.9
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	39.88
N-acetylglutamine	39.85
glycohyocholate	39.68
arachidonoylcarnitine (C20:4)	39.45
arachidonoylcholine	39.44
decanoylcarnitine (C10)	39.44
pregnen-diol disulfate*	39.41
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	39.31
N-palmitoylserine	39.24
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	39.09
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	39.03
fumarate	39.01
phenylalanine	38.91
gamma-glutamylleucine	38.84
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	38.61
tricosanoyl sphingomyelin (d18:1/23:0)*	38.43
N-acetylglutamate	38.41
N-acetylphenylalanine	38.06
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	37.77
inosine	37.75
1-methyl-4-imidazoleacetate	37.7
creatinine	37.6
2-ketocaprylate	37.6
orotate	37.56
phenylacetate	37.53
5-(galactosylhydroxy)-L-lysine	37.45
3-aminoisobutyrate	37.42
glucuronate	37.42
carotene diol (1)	37.36
nisinate (24:6n3)	37.21
taurine	37.17
pregnanolone/allopregnanolone sulfate	37.07
N-formylanthranilic acid	37.07
dihomo-linoleoylcarnitine (C20:2)*	36.81
uracil	36.77
phenylacetylglutamine	36.77
pregnenolone sulfate	36.66
laurylcarnitine (C12)	36.55
ribulonate/xylulonate/lyxonate*	36.54
sphingomyelin (d18:2/16:0, d18:1/16:1)*	36.52
creatine	36.41
3-methylglutaconate	36.36
xanthurenate	36.16
phosphocholine	36.09
N-oleoylserine	36.04
androstenediol (3alpha, 17alpha) monosulfate (2)	35.96
hexanoylglutamine	35.85
threonate	35.65
3-hydroxyisobutyrate	35.61
5,6-dihydrouridine	35.55
betaine	35.52
7-HOCA	35.39
arabinose	35.37
lignoceroyl sphingomyelin (d18:1/24:0)	35.25
glycochenodeoxycholate	35.05
sphingosine 1-phosphate	35.04
orotidine	34.99
4-cholesten-3-one	34.99
carotene diol (2)	34.77
undecanedioate (C11-DC)	34.76
undecanoate (11:0)	34.51
bilirubin degradation product, C17H18N2O4 (1)	34.44
bilirubin degradation product, C16H18N2O5 (2)	34.4
palmitoylcarnitine (C16)	34.23
androstenediol (3beta,17beta) disulfate (1)	34.2
N-stearoyl-sphinganine (d18:0/18:0)*	34.17
pyroglutamine*	34.1
3-(3-amino-3-carboxypropyl)uridine*	34.08
vanillylmandelate (VMA)	34.07
spermidine	34.07
lactate	34.0
gamma-glutamylglutamate	33.84
pregnenediol sulfate (C21H34O5S)*	33.8
glucose	33.75
maleate	33.67
ascorbic acid 2-sulfate	33.59
N-palmitoyl-sphinganine (d18:0/16:0)	33.54
3-amino-2-piperidone	33.53
sphingomyelin (d18:2/14:0, d18:1/14:1)*	33.47
gamma-glutamyltyrosine	33.47
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*	33.41
sphingomyelin (d18:2/23:1)*	33.33
5alpha-androstan-3alpha,17beta-diol monosulfate (1)	33.32
eicosanedioate (C20-DC)	33.23
S-1-pyrroline-5-carboxylate	33.2
2-hydroxyphenylacetate	33.2
glutarylcarnitine (C5-DC)	33.03
N-delta-acetylornithine	32.85
cis-3,4-methyleneheptanoylglycine	32.83
cortisone	32.82
threonine	32.63
sphingomyelin (d18:2/21:0, d16:2/23:0)*	32.54
N-acetylneuraminate	32.53
indoleacetoylcarnitine*	32.46
hydroxyproline	32.39
cis-4-decenoate (10:1n6)*	32.38
gamma-glutamyltryptophan	32.23
sphingomyelin (d18:1/20:0, d16:1/22:0)*	32.21
picolinoylglycine	32.19
branched chain 14:0 dicarboxylic acid	32.16
N-stearoyl-sphingadienine (d18:2/18:0)*	32.14
beta-hydroxyisovalerate	32.12
random_variable1	32.02
1-carboxyethylphenylalanine	32.01
xanthine	32.0
taurochenodeoxycholic acid 3-sulfate	31.94
sphingomyelin (d18:2/24:1, d18:1/24:2)*	31.87
sphingomyelin (d18:1/19:0, d19:1/18:0)*	31.8
heneicosapentaenoate (21:5n3)	31.64
glycocholate	31.39
deoxycarnitine	31.37
carotene diol (3)	31.3
andro steroid monosulfate C19H28O6S (1)*	31.1
gentisate	31.08
arabitol/xylitol	31.04
myristoylcarnitine (C14)	31.0
2-hydroxyglutarate	30.95
cystine	30.88
indoleacetate	30.87
guanidinoacetate	30.81
stearoylcholine*	30.78
3-hydroxylaurate	30.71
2-oxoarginine*	30.71
4-guanidinobutanoate	30.67
taurochenodeoxycholate	30.66
3-methylhistidine	30.63
1-oleoyl-GPC (18:1)	30.62
pyridoxate	30.58
17alpha-hydroxypregnenolone 3-sulfate	30.52
androsterone glucuronide	30.51
beta-alanine	30.49
octanoylcarnitine (C8)	30.47
dodecadienoate (12:2)*	30.45
cis-3,4-methyleneheptanoate	30.43
4-hydroxy-2-oxoglutaric acid	30.42
5-methyluridine (ribothymidine)	30.32
2-hydroxydecanoate	30.3
hydroxyasparagine	30.06
glycerophosphoethanolamine	29.95
bilirubin degradation product, C17H18N2O4 (3)	29.93
sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	29.92
4-methyl-2-oxopentanoate	29.77
sphingomyelin (d18:1/18:1, d18:2/18:0)	29.75
tryptophan betaine	29.63
cysteinylglycine	29.46
oleoylcholine	29.42
octadecenedioate (C18:1-DC)	29.4
aconitate [cis or trans]	29.34
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	29.31
tyramine O-sulfate	29.25
tryptophan	29.15
imidazole lactate	29.08
choline	29.08
phenylacetylcarnitine	29.03
valerate (5:0)	28.98
N-acetyl-beta-alanine	28.95
glycocholenate sulfate*	28.9
4-hydroxyphenylacetylglutamine	28.84
androstenediol (3beta,17beta) monosulfate (1)	28.62
5-dodecenoylcarnitine (C12:1)	28.57
N6,N6,N6-trimethyllysine	28.52
N2,N5-diacetylornithine	28.47
sphingosine	28.39
3-hydroxydecanoate	28.32
galactonate	28.31
allantoin	28.31
gamma-glutamylmethionine	28.3
pantothenate (Vitamin B5)	28.25
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	28.23
4-hydroxyphenylpyruvate	28.21
N2,N2-dimethylguanosine	28.14
3-indoxyl sulfate	28.1
ascorbic acid 3-sulfate*	28.04
glycine	27.97
gamma-glutamyl-alpha-lysine	27.72
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	27.72
1-methylhistidine	27.71
sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	27.69
cholesterol	27.69
N-acetyl-2-aminooctanoate*	27.67
octadecadienedioate (C18:2-DC)*	27.64
FAD	27.64
phenyllactate (PLA)	27.61
argininate*	27.42
3-hydroxybutyrate (BHBA)	27.34
bilirubin (E,Z or Z,E)*	27.28
proline	27.25
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	27.2
sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	27.19
dodecenedioate (C12:1-DC)*	27.17
alpha-ketobutyrate	27.16
hexanoylglycine (C6)	27.09
indolelactate	26.95
1-stearoyl-GPC (18:0)	26.86
N-acetylkynurenine (2)	26.84
linoleoylcarnitine (C18:2)*	26.69
N-stearoyltaurine	26.67
laurate (12:0)	26.67
p-cresol glucuronide*	26.63
beta-cryptoxanthin	26.62
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	26.6
butyrate/isobutyrate (4:0)	26.45
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	26.42
urea	26.31
palmitoyl ethanolamide	26.25
3-hydroxyoleate*	26.23
octadecanedioate (C18)	26.01
nervonoylcarnitine (C24:1)*	25.98
gamma-glutamylalanine	25.97
