FeatName	RelFeatImp
pseudouridine	100.0
N6-carbamoylthreonyladenosine	91.45
vanillactate	83.36
5,6-dihydrouridine	82.43
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	81.41
N-acetylserine	76.56
C-glycosyltryptophan	74.9
N-acetylcitrulline	73.12
4-acetamidobutanoate	72.14
vanillylmandelate (VMA)	66.7
3-(3-amino-3-carboxypropyl)uridine*	65.97
5alpha-pregnan-3beta,20alpha-diol disulfate	65.85
dihomo-linoleoylcarnitine (C20:2)*	65.29
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	62.24
cortolone glucuronide (1)	62.18
4-hydroxyphenylacetylglutamine	61.68
sphingomyelin (d17:2/16:0, d18:2/15:0)*	55.78
1-methyladenosine	55.27
linoleoylcarnitine (C18:2)*	54.53
N,N,N-trimethyl-alanylproline betaine (TMAP)	54.26
cysteinylglycine disulfide*	53.66
dehydroepiandrosterone sulfate (DHEA-S)	53.65
gamma-glutamyltyrosine	53.12
gamma-glutamyltryptophan	52.83
5-(galactosylhydroxy)-L-lysine	52.75
N-formylmethionine	52.3
tyrosine	51.93
behenoyl sphingomyelin (d18:1/22:0)*	51.89
5-hydroxylysine	51.51
serotonin	51.21
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	50.69
glutamine conjugate of C7H12O2*	50.66
etiocholanolone glucuronide	48.24
N-acetylalanine	48.18
N-oleoylserine	48.11
orotidine	48.08
N4-acetylcytidine	48.08
pregnanediol-3-glucuronide	47.36
ascorbic acid 2-sulfate	47.1
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	46.75
quinolinate	46.38
palmitoylcarnitine (C16)	46.06
phosphocholine	46.02
gulonate*	46.02
phenylpyruvate	45.71
N-acetylglucosamine/N-acetylgalactosamine	45.62
cysteine s-sulfate	45.39
hydroxyasparagine	45.36
N-acetylglutamine	45.34
hexanoylglutamine	44.83
erythronate*	44.66
N-acetylthreonine	44.46
serine	44.15
pregnenolone sulfate	43.98
hydroxy-N6,N6,N6-trimethyllysine*	43.75
sphingomyelin (d18:2/14:0, d18:1/14:1)*	42.6
maltose	42.26
glutamine conjugate of C6H10O2 (2)*	42.25
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	42.07
N6-acetyllysine	41.93
urate	41.82
5alpha-androstan-3alpha,17alpha-diol monosulfate	41.21
I-urobilinogen	41.16
phenylalanine	40.83
acetoacetate	40.77
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	40.22
5alpha-pregnan-diol disulfate	40.18
glucuronate	40.11
cytidine	39.57
kynurenine	39.47
phenylacetylglutamine	39.45
1-methyl-4-imidazoleacetate	39.39
3-amino-2-piperidone	39.27
sphingomyelin (d18:2/21:0, d16:2/23:0)*	39.21
cys-gly, oxidized	39.02
androstenediol (3alpha, 17alpha) monosulfate (2)	38.7
myo-inositol	38.57
N-palmitoylglycine	37.46
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	37.45
docosahexaenoylcarnitine (C22:6)*	37.41
citrulline	37.01
linolenoylcarnitine (C18:3)*	36.86
alpha-tocopherol	36.84
9,10-DiHOME	36.83
N-acetylglutamate	36.74
glutamate	36.59
androsterone sulfate	36.37
N-acetylvaline	36.27
sphingomyelin (d18:2/16:0, d18:1/16:1)*	36.13
proline	35.84
glutamine	35.77
sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	35.73
cystine	35.41
androstenediol (3alpha, 17alpha) monosulfate (3)	35.41
sphingomyelin (d17:1/14:0, d16:1/15:0)*	35.39
N-acetylhistidine	35.34
arabinose	35.31
androstenediol (3beta,17beta) disulfate (2)	35.22
arabonate/xylonate	35.07
arachidonoylcarnitine (C20:4)	35.02
N-acetyltyrosine	34.91
N-acetylputrescine	34.83
sphingomyelin (d18:2/24:2)*	34.82
glycochenodeoxycholate glucuronide (1)	34.46
picolinoylglycine	34.42
andro steroid monosulfate C19H28O6S (1)*	34.41
trimethylamine N-oxide	34.32
4-cholesten-3-one	34.2
N2,N2-dimethylguanosine	34.1
sphingosine 1-phosphate	34.08
epiandrosterone sulfate	33.99
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*	33.93
gamma-glutamylisoleucine*	33.85
lignoceroyl sphingomyelin (d18:1/24:0)	33.83
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	33.76
3-hydroxy-3-methylglutarate	33.68
androstenediol (3beta,17beta) monosulfate (2)	33.57
N-acetylaspartate (NAA)	33.43
gamma-CEHC	33.38
4-hydroxyphenylpyruvate	33.06
pregnen-diol disulfate*	32.86
valine	32.73
ribitol	32.72
2-hydroxyphenylacetate	32.69
pregnenediol sulfate (C21H34O5S)*	32.63
gentisate	32.61
glycerate	32.43
butyrate/isobutyrate (4:0)	32.4
pyridoxate	32.32
5-methylthioadenosine (MTA)	32.32
dopamine 4-sulfate	32.25
sebacate (C10-DC)	32.24
gamma-glutamylphenylalanine	32.22
androstenediol (3beta,17beta) monosulfate (1)	31.77
3-aminoisobutyrate	31.75
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	31.48
N-acetylasparagine	31.48
sphingomyelin (d18:1/18:1, d18:2/18:0)	31.24
dihydroorotate	31.16
betaine	31.14
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	31.13
glutarylcarnitine (C5-DC)	30.78
sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	30.65
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	30.61
hydroxy-CMPF*	30.45
gamma-glutamylleucine	30.05
mannitol/sorbitol	29.97
cortisone	29.9
tricosanoyl sphingomyelin (d18:1/23:0)*	29.86
margaroylcarnitine (C17)*	29.76
undecanoate (11:0)	29.71
5,6-dihydrothymine	29.6
hexanoylcarnitine (C6)	29.41
N-palmitoylserine	29.19
