FeatName	RelFeatImp
N-formylmethionine	100.0
succinylcarnitine (C4-DC)	91.23
N-acetylphenylalanine	87.81
picolinoylglycine	83.33
hydroxyproline	82.67
3-hydroxy-3-methylglutarate	76.76
gamma-glutamylvaline	76.07
propionylglycine (C3)	75.34
N2,N2-dimethylguanosine	74.74
isovalerylcarnitine (C5)	71.9
N-acetylasparagine	66.74
cortolone glucuronide (1)	66.38
sphingomyelin (d18:2/24:1, d18:1/24:2)*	65.15
pentadecanoate (15:0)	64.66
N-acetylglutamine	64.5
hexadecadienoate (16:2n6)	63.26
tetradecanedioate (C14)	63.19
vanillactate	62.92
sphingomyelin (d18:2/24:2)*	62.23
7-methylguanine	61.87
N-acetylglutamate	61.8
glutamine conjugate of C6H10O2 (1)*	61.38
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	61.19
cysteinylglycine disulfide*	60.94
hydroxyasparagine	60.42
alpha-hydroxycaproate	60.14
sphingomyelin (d18:0/18:0, d19:0/17:0)*	59.96
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	59.87
beta-hydroxyisovalerate	59.27
5alpha-androstan-3alpha,17beta-diol 17-glucuronide	58.19
oxalate (ethanedioate)	57.9
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	57.19
glycine conjugate of C10H12O2*	55.53
palmitoylcarnitine (C16)	55.46
ximenoylcarnitine (C26:1)*	54.21
octadecenedioate (C18:1-DC)	54.08
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	53.84
glycine conjugate of C10H14O2 (1)*	53.75
myristoleate (14:1n5)	53.59
2-hydroxypalmitate	53.14
7-HOCA	53.11
linolenoylcarnitine (C18:3)*	52.37
sphingomyelin (d18:1/18:1, d18:2/18:0)	52.15
octadecanedioylcarnitine (C18-DC)*	51.93
malate	51.65
octadecadienedioate (C18:2-DC)*	50.86
N-acetylarginine	50.63
gamma-glutamylthreonine	50.32
retinol (Vitamin A)	50.12
myristate (14:0)	49.94
3-hydroxyoctanoylcarnitine (1)	49.94
decanoylcarnitine (C10)	49.9
N-acetylputrescine	49.2
1,2-dipalmitoyl-GPC (16:0/16:0)	49.05
glycerate	48.98
formiminoglutamate	48.89
gamma-carboxyglutamate	48.87
taurodeoxycholate	48.81
glycohyocholate	48.78
gamma-glutamylalanine	47.83
thyroxine	47.43
hexadecanedioate (C16)	46.93
sarcosine	46.9
N-acetyltryptophan	46.33
arachidonoylcarnitine (C20:4)	46.33
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	46.15
ribonate	45.49
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	45.38
fumarate	45.36
indolepropionate	45.1
tauro-beta-muricholate	44.74
isoursodeoxycholate	44.68
2-aminoheptanoate	44.67
prolylhydroxyproline	44.67
3-methyl-2-oxovalerate	44.61
laurate (12:0)	44.6
vanillylmandelate (VMA)	44.53
dodecenedioate (C12:1-DC)*	44.48
gamma-glutamylleucine	44.46
arabonate/xylonate	44.35
S-adenosylhomocysteine (SAH)	43.96
ursodeoxycholate	43.81
choline	43.8
linoleoylcarnitine (C18:2)*	43.71
N-acetylkynurenine (2)	43.62
gamma-glutamylisoleucine*	43.53
heptanoate (7:0)	43.24
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	42.71
cis-3,4-methyleneheptanoylglycine	42.64
N-acetylalanine	42.48
glutamine conjugate of C7H12O2*	42.31
butyrate/isobutyrate (4:0)	42.31
3-(4-hydroxyphenyl)lactate (HPLA)	42.28
xanthosine	42.26
isoleucine	41.84
taurocholenate sulfate*	41.81
myo-inositol	41.76
gamma-glutamylglutamate	41.75
spermidine	41.71
gamma-glutamylglutamine	41.56
2-hydroxyoctanoate	41.55
pyridoxate	41.44
deoxycarnitine	41.41
trans-urocanate	41.3
N2,N5-diacetylornithine	41.28
3-hydroxyhexanoylcarnitine (1)	41.21
arachidate (20:0)	40.94
myristoleoylcarnitine (C14:1)*	40.77
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	40.76
carnitine	40.74
alpha-hydroxyisocaproate	40.67
N-acetylglucosamine/N-acetylgalactosamine	40.45
11beta-hydroxyandrosterone glucuronide	40.45
glutarate (C5-DC)	40.4
N-methylproline	40.29
dihomo-linoleoylcarnitine (C20:2)*	40.25
N-acetylcitrulline	40.21
pelargonate (9:0)	40.13
undecanedioate (C11-DC)	39.96
carotene diol (2)	39.94
caprylate (8:0)	39.8
sphingosine	39.62
stearoyl sphingomyelin (d18:1/18:0)	39.62
creatinine	39.3
N-delta-acetylornithine	39.16
glutarylcarnitine (C5-DC)	38.95
N-acetyl-2-aminooctanoate*	38.68
bilirubin degradation product, C16H18N2O5 (4)	38.55
laurylcarnitine (C12)	38.34
phenol sulfate	38.26
eicosenedioate (C20:1-DC)*	38.1
glycoursodeoxycholate	37.88
glycodeoxycholate 3-sulfate	37.78
N2-acetyl,N6-methyllysine	37.63
cys-gly, oxidized	37.41
octadecanedioate (C18)	37.4
alpha-ketobutyrate	37.1
sphingomyelin (d18:0/20:0, d16:0/22:0)*	37.01
N6-carboxymethyllysine	36.87
corticosterone	36.78
5-methylthioadenosine (MTA)	36.67
indolelactate	36.43
taurochenodeoxycholic acid 3-sulfate	36.25
glycochenodeoxycholate	36.23
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	36.13
palmitoyl sphingomyelin (d18:1/16:0)	36.09
cerotoylcarnitine (C26)*	36.06
eicosenoate (20:1n9 or 1n11)	35.94
N-acetyl-beta-alanine	35.91
pyroglutamine*	35.88
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	35.78
tryptophan	35.72
glycocholate	35.59
lithocholate sulfate (1)	35.51
myristoyl dihydrosphingomyelin (d18:0/14:0)*	35.36
palmitoleate (16:1n7)	35.09
cholesterol	34.99
hypoxanthine	34.95
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	34.95
cystine	34.93
1-palmitoyl-GPA (16:0)	34.9
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	34.83
tetradecadienedioate (C14:2-DC)*	34.77
androsterone glucuronide	34.74
N-acetylhistidine	34.63
threonate	34.48
3-ureidopropionate	34.16
2'-O-methyluridine	34.13
hexadecenedioate (C16:1-DC)*	34.05
azelate (C9-DC)	34.0
mannitol/sorbitol	33.85
N-acetyl-isoputreanine	33.8
glycolithocholate sulfate*	33.67
glutamine	33.63
N1-Methyl-2-pyridone-5-carboxamide	33.63
undecanoate (11:0)	33.58
3-hydroxybutyrate (BHBA)	33.54
gamma-glutamylphenylalanine	33.44
phosphate	33.34
tyramine O-sulfate	33.23
cysteinylglycine	33.1
3-indoxyl sulfate	32.96
leucine	32.86
xanthurenate	32.84
etiocholanolone glucuronide	32.77
random_variable1	32.76
taurolithocholate 3-sulfate	32.58
aconitate [cis or trans]	32.39
sphingomyelin (d18:2/16:0, d18:1/16:1)*	32.35
N1-methylinosine	32.32
3beta-hydroxy-5-cholestenoate	32.25
5,6-dihydrothymine	32.07
cis-3,4-methyleneheptanoate	31.86
phenyllactate (PLA)	31.85
bilirubin	31.71
5alpha-androstan-3alpha,17beta-diol disulfate	31.71
acisoga	31.69
beta-cryptoxanthin	31.59
