FeatName	RelFeatImp
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	100.0
hexadecadienoate (16:2n6)	94.34
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	86.21
vanillylmandelate (VMA)	69.32
linoleoylcarnitine (C18:2)*	65.28
1,2-dipalmitoyl-GPC (16:0/16:0)	63.73
sphingomyelin (d18:2/24:2)*	62.32
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	60.43
picolinoylglycine	60.37
inosine	57.9
gamma-glutamylvaline	57.81
N-acetylphenylalanine	54.75
cis-4-decenoylcarnitine (C10:1)	52.49
taurochenodeoxycholic acid 3-sulfate	51.39
N-formylmethionine	50.81
sphingomyelin (d18:2/16:0, d18:1/16:1)*	50.52
glycine	50.36
dihomolinoleate (20:2n6)	50.08
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	49.41
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	47.18
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	46.36
N-acetylglutamate	46.25
N-acetylglutamine	46.1
cortolone glucuronide (1)	45.44
linoleate (18:2n6)	44.86
5-dodecenoylcarnitine (C12:1)	44.76
glycochenodeoxycholate 3-sulfate	44.05
gamma-glutamylisoleucine*	42.4
N-acetylasparagine	42.31
hydroxyproline	42.19
propionylglycine (C3)	41.93
gamma-glutamylglutamate	41.32
gamma-glutamylalanine	40.5
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	39.33
beta-alanine	38.96
alpha-ketobutyrate	38.71
glutamine conjugate of C6H10O2 (1)*	38.71
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	38.54
isovalerylcarnitine (C5)	38.09
succinylcarnitine (C4-DC)	37.68
glycerate	37.29
oxalate (ethanedioate)	36.7
11beta-hydroxyandrosterone glucuronide	36.0
linolenoylcarnitine (C18:3)*	35.57
4-cholesten-3-one	35.53
3-hydroxy-3-methylglutarate	35.31
glycohyocholate	35.24
cis-3,4-methyleneheptanoylglycine	35.09
ximenoylcarnitine (C26:1)*	34.92
alanine	34.58
5-methylthioadenosine (MTA)	34.26
alpha-hydroxycaproate	34.13
dihomo-linoleoylcarnitine (C20:2)*	34.1
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	33.8
3-(4-hydroxyphenyl)lactate (HPLA)	33.46
sphingomyelin (d18:2/24:1, d18:1/24:2)*	33.42
3-methyl-2-oxovalerate	33.02
indolelactate	33.02
hydroxyasparagine	32.89
N-acetylcitrulline	32.87
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	32.58
N-acetylarginine	32.21
phenyllactate (PLA)	31.99
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	31.93
sphingomyelin (d18:1/18:1, d18:2/18:0)	31.79
prolylhydroxyproline	31.69
alpha-hydroxyisovalerate	31.62
N2,N5-diacetylornithine	31.51
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	31.28
arachidonoylcarnitine (C20:4)	31.1
bilirubin	30.53
acetylcarnitine (C2)	30.33
N2,N2-dimethylguanosine	30.24
sphingomyelin (d18:0/18:0, d19:0/17:0)*	29.77
tryptophan	29.23
vanillactate	29.2
isoleucine	29.19
bilirubin (E,Z or Z,E)*	29.15
beta-hydroxyisovalerate	29.05
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	28.63
bilirubin degradation product, C17H20N2O5 (1)	28.41
arginine	28.34
nisinate (24:6n3)	28.23
palmitoylcarnitine (C16)	28.07
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	28.07
glucuronate	28.05
glycocholate	27.59
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	27.55
glycine conjugate of C10H12O2*	27.53
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	27.5
sphingosine	27.46
7-methylguanine	27.46
spermidine	27.21
N6-carboxymethyllysine	27.19
alpha-CMBHC glucuronide	26.97
hexanoylcarnitine (C6)	26.91
eicosenedioate (C20:1-DC)*	26.68
sarcosine	26.54
N-acetyltryptophan	26.53
citrulline	26.45
threonate	26.38
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	26.23
orotate	26.2
taurodeoxycholate	25.89
phenol glucuronide	25.89
ornithine	25.72
gamma-glutamylthreonine	25.72
glutarylcarnitine (C5-DC)	25.69
N-acetylglucosamine/N-acetylgalactosamine	25.63
alpha-hydroxyisocaproate	25.55
butyrate/isobutyrate (4:0)	25.5
glycochenodeoxycholate	25.47
arachidonate (20:4n6)	25.18
glycine conjugate of C10H14O2 (1)*	25.1
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	25.03
carotene diol (2)	24.93
cystine	24.85
5-(galactosylhydroxy)-L-lysine	24.83
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	24.82
glutarate (C5-DC)	24.81
glutamine conjugate of C7H12O2*	24.81
tauro-beta-muricholate	24.8
fumarate	24.58
serotonin	24.44
laurate (12:0)	24.33
pyroglutamine*	24.17
octadecenedioate (C18:1-DC)	23.9
3-methyl-2-oxobutyrate	23.67
isoursodeoxycholate	23.63
dehydroepiandrosterone sulfate (DHEA-S)	23.58
creatine	23.44
1-methyladenosine	23.35
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	23.34
gamma-tocopherol/beta-tocopherol	23.29
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	23.21
N-acetylvaline	23.19
beta-citrylglutamate	23.16
N-stearoyl-sphingosine (d18:1/18:0)*	23.07
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	23.05
N-acetylputrescine	23.0
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	22.69
N-acetylalanine	22.57
deoxycholic acid glucuronide	22.56
bilirubin degradation product, C17H18N2O4 (3)	22.52
N-acetylmethionine	22.35
proline	22.25
tetradecanedioate (C14)	22.19
4-methyl-2-oxopentanoate	22.15
3-hydroxyhexanoate	22.08
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	22.03
indolepropionate	22.01
arabonate/xylonate	22.0
quinolinate	21.88
1-palmitoyl-GPA (16:0)	21.87
propionylcarnitine (C3)	21.78
glycolithocholate sulfate*	21.72
bilirubin degradation product, C16H18N2O5 (4)	21.7
carotene diol (1)	21.67
glucose	21.61
2-hydroxybutyrate/2-hydroxyisobutyrate	21.53
metabolonic lactone sulfate	21.5
myristoylcarnitine (C14)	21.41
gamma-CEHC	21.31
hexadecanedioate (C16)	21.29
cysteinylglycine disulfide*	21.24
undecanedioate (C11-DC)	21.22
