FeatName	RelFeatImp
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	100.0
4-hydroxyphenylacetylglutamine	97.96
vanillactate	96.8
2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	91.28
dihomo-linoleoylcarnitine (C20:2)*	85.73
1-methyladenosine	84.09
N-formylmethionine	83.58
cortolone glucuronide (1)	79.37
N-acetylserine	74.34
C-glycosyltryptophan	73.31
4-acetamidobutanoate	72.03
pseudouridine	71.11
adrenate (22:4n6)	68.7
quinolinate	68.23
glutamine conjugate of C6H10O2 (2)*	67.67
serotonin	66.17
linoleoylcarnitine (C18:2)*	65.86
glutamine conjugate of C7H12O2*	65.81
pregnanediol-3-glucuronide	65.09
gamma-glutamylisoleucine*	63.65
N-acetylcitrulline	62.38
I-urobilinogen	61.6
5,6-dihydrouridine	61.0
5-hydroxylysine	60.66
N-acetylglutamate	60.03
etiocholanolone glucuronide	59.96
5alpha-pregnan-3beta,20alpha-diol disulfate	59.1
N6-carbamoylthreonyladenosine	58.94
arabonate/xylonate	58.79
N4-acetylcytidine	58.69
vanillylmandelate (VMA)	58.18
gamma-glutamyltryptophan	56.93
androsterone sulfate	56.28
pregnenolone sulfate	55.03
N-acetylglucosamine/N-acetylgalactosamine	54.85
sphingomyelin (d17:2/16:0, d18:2/15:0)*	53.97
5alpha-pregnan-3beta,20beta-diol monosulfate (1)	53.57
5alpha-pregnan-diol disulfate	53.52
arabinose	53.43
linoleate (18:2n6)	53.24
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	52.98
cortisone	52.83
behenoyl sphingomyelin (d18:1/22:0)*	52.38
dehydroepiandrosterone sulfate (DHEA-S)	52.24
hexanoylglutamine	51.91
3-(3-amino-3-carboxypropyl)uridine*	51.76
acetoacetate	51.36
phenylpyruvate	51.29
palmitoylcarnitine (C16)	51.26
mannose	50.49
docosahexaenoylcarnitine (C22:6)*	50.42
glucuronate	50.14
N-acetylvaline	49.8
citrate	49.49
N-oleoylserine	49.37
androstenediol (3alpha, 17alpha) monosulfate (3)	49.31
arachidonoylcarnitine (C20:4)	49.22
5-(galactosylhydroxy)-L-lysine	48.95
orotidine	48.77
5alpha-androstan-3alpha,17alpha-diol monosulfate	48.57
hydroxy-N6,N6,N6-trimethyllysine*	48.1
linolenoylcarnitine (C18:3)*	48.05
tyrosine	47.46
glucose	47.46
5-methyluridine (ribothymidine)	47.42
cystine	47.4
N,N,N-trimethyl-alanylproline betaine (TMAP)	47.37
glutamine	47.12
dihomolinoleate (20:2n6)	46.81
cysteinylglycine disulfide*	46.71
3-hydroxy-3-methylglutarate	46.25
N-acetylputrescine	46.08
serine	46.01
glutarylcarnitine (C5-DC)	44.72
epiandrosterone sulfate	44.71
cysteine s-sulfate	44.53
taurochenodeoxycholic acid 3-sulfate	44.16
ribonate	44.07
ribitol	43.54
sphingomyelin (d18:2/21:0, d16:2/23:0)*	43.35
