FeatName	RelFeatImp
gentisate	100.0
indolelactate	95.29
histidine	95.01
S-methylcysteine	94.76
prolylhydroxyproline	94.15
pregnenolone sulfate	93.46
threonate	91.48
palmitoyl ethanolamide	90.82
lithocholate sulfate (1)	90.48
caproate (6:0)	90.35
vanillylmandelate (VMA)	90.29
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	90.04
uridine	89.96
lysine	89.79
lactate	89.72
tyramine O-sulfate	89.51
methylsuccinate	88.81
arachidate (20:0)	88.77
xanthine	88.59
N-acetylasparagine	87.95
stearoylcarnitine (C18)	87.92
ribulonate/xylulonate/lyxonate*	87.81
creatine	87.65
trans-urocanate	87.61
uracil	87.23
sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	87.13
isovalerate (C5)	86.79
gamma-CEHC	86.53
ribonate	86.28
isovalerylglycine	86.14
sphingomyelin (d18:2/14:0, d18:1/14:1)*	86.02
N-acetylaspartate (NAA)	85.92
cystine	85.82
N4-acetylcytidine	85.78
N-acetyl-beta-alanine	85.69
glutarate (C5-DC)	85.52
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	85.46
phenylpyruvate	85.46
indolepropionate	85.32
spermidine	85.11
citrate	84.81
glycerol	84.79
cis-4-decenoate (10:1n6)*	84.73
phosphocholine	84.71
pyruvate	84.52
gamma-glutamylalanine	84.51
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	84.36
valine	84.29
pelargonate (9:0)	84.25
branched chain 14:0 dicarboxylic acid	84.11
nicotinamide	83.84
cys-gly, oxidized	83.82
sphingomyelin (d18:0/20:0, d16:0/22:0)*	83.69
hexadecenedioate (C16:1-DC)*	83.3
N6,N6,N6-trimethyllysine	83.29
glycine conjugate of C10H14O2 (1)*	83.15
beta-alanine	82.97
creatinine	82.85
5-dodecenoylcarnitine (C12:1)	82.8
S-adenosylhomocysteine (SAH)	82.77
2-ketocaprylate	82.69
eicosenoylcarnitine (C20:1)*	82.64
threonine	82.44
9,10-DiHOME	82.34
thyroxine	82.3
glucose	82.22
S-1-pyrroline-5-carboxylate	82.18
caprylate (8:0)	82.15
pentose acid*	82.06
laurate (12:0)	82.05
N-acetylmethionine	81.87
myo-inositol	81.85
ethylmalonate	81.64
N6-acetyllysine	81.54
fructose	81.5
hydroxy-CMPF*	81.49
N-acetylglutamine	81.4
6-oxopiperidine-2-carboxylate	81.33
p-cresol glucuronide*	81.17
N-delta-acetylornithine	81.13
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	81.12
arabonate/xylonate	81.09
phenyllactate (PLA)	80.91
erucate (22:1n9)	80.89
mannose	80.87
glutamine conjugate of C6H10O2 (1)*	80.84
indoleacetoylcarnitine*	80.81
margaroylcarnitine (C17)*	80.8
tryptophan betaine	80.72
choline	80.64
etiocholanolone glucuronide	80.53
beta-citrylglutamate	80.5
behenoylcarnitine (C22)*	80.46
beta-cryptoxanthin	80.38
trimethylamine N-oxide	80.35
fumarate	80.17
sphingomyelin (d18:1/20:1, d18:2/20:0)*	80.14
cortolone glucuronide (1)	80.11
N-acetyltryptophan	79.94
propionylcarnitine (C3)	79.76
cysteine-glutathione disulfide	79.72
cholate	79.66
proline	79.64
stearoyl sphingomyelin (d18:1/18:0)	79.59
homoarginine	79.58
N-acetylglucosamine/N-acetylgalactosamine	79.54
fructosyllysine	79.42
N6-methyllysine	79.4
phenol sulfate	79.37
N6-carboxymethyllysine	79.35
octadecanedioate (C18)	79.35
isoursodeoxycholate	79.31
leucine	79.2
