FeatName	RelFeatImp
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	100.0
N-formylmethionine	63.81
glycochenodeoxycholate 3-sulfate	61.97
N-acetylglutamate	59.38
picolinoylglycine	59.2
hexadecadienoate (16:2n6)	57.43
sphingomyelin (d18:2/24:2)*	54.33
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	53.85
vanillylmandelate (VMA)	52.68
3-hydroxy-3-methylglutarate	50.87
glutamine conjugate of C6H10O2 (1)*	46.46
N-acetylalanine	45.64
taurochenodeoxycholic acid 3-sulfate	45.32
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	41.58
linoleoylcarnitine (C18:2)*	41.47
cortolone glucuronide (1)	41.25
gamma-glutamylvaline	39.35
propionylglycine (C3)	38.03
indolelactate	37.3
N-acetylvaline	37.15
ribonate	36.91
glycine	35.25
glycerate	34.82
3-amino-2-piperidone	34.66
alpha-ketobutyrate	34.16
acetylcarnitine (C2)	33.71
glucuronate	33.55
glycohyocholate	33.4
oxalate (ethanedioate)	33.29
gamma-glutamylalanine	33.27
methionine sulfone	33.21
gamma-glutamylisoleucine*	32.91
hydroxyproline	32.8
5-methylthioadenosine (MTA)	32.76
homovanillate (HVA)	32.53
phenyllactate (PLA)	32.16
beta-hydroxyisovalerate	31.68
beta-alanine	31.5
glucose	31.33
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	31.21
alanine	31.2
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	31.07
sphingomyelin (d18:2/24:1, d18:1/24:2)*	30.84
cis-3,4-methyleneheptanoylglycine	30.75
fructose	30.51
octadecanedioate (C18)	30.08
laurate (12:0)	29.97
inosine	29.89
N-acetylasparagine	29.57
N-acetylglutamine	29.39
1,2-dipalmitoyl-GPC (16:0/16:0)	29.28
dehydroepiandrosterone sulfate (DHEA-S)	29.06
1-carboxyethylphenylalanine	28.92
isoleucine	28.89
indoleacetate	28.85
vanillactate	28.8
proline	28.64
glutamine conjugate of C7H12O2*	28.55
cystine	28.32
leucine	28.28
3-methyl-2-oxovalerate	28.16
phosphate	27.81
arachidonoylcarnitine (C20:4)	27.7
xanthosine	27.67
alpha-hydroxyisovalerate	27.21
1-methyladenosine	27.12
alpha-CMBHC glucuronide	27.01
7-methylguanine	26.54
phenylalanine	26.49
N2,N2-dimethylguanosine	26.47
creatine	26.45
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	26.36
ornithine	26.14
tryptophan	26.12
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	26.08
N-acetyltryptophan	26.04
nisinate (24:6n3)	26.0
3-hydroxyadipate*	25.98
prolylhydroxyproline	25.79
beta-cryptoxanthin	25.77
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	25.72
alpha-hydroxycaproate	25.67
threonate	25.66
N-acetylphenylalanine	25.63
11beta-hydroxyandrosterone glucuronide	25.5
glutarylcarnitine (C5-DC)	25.37
hexanoylcarnitine (C6)	25.23
octadecenedioate (C18:1-DC)	25.17
nonanoylcarnitine (C9)	25.11
ximenoylcarnitine (C26:1)*	24.98
taurocholate	24.97
tetradecanedioate (C14)	24.94
linolenoylcarnitine (C18:3)*	24.85
butyrate/isobutyrate (4:0)	24.85
S-adenosylhomocysteine (SAH)	24.74
hydroxy-CMPF*	24.73
glutarate (C5-DC)	24.71
choline	24.42
acisoga	24.36
gamma-glutamylphenylalanine	24.1
indolepropionate	24.02
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	23.96
sphingomyelin (d18:1/18:1, d18:2/18:0)	23.89
anthranilate	23.75
taurodeoxycholate	23.7
hexanoylglutamine	23.64
glycocholate	23.64
phenylacetylcarnitine	23.58
N1-methylinosine	23.55
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	23.41
arginine	23.27
myristoylcarnitine (C14)	23.19
3-hydroxymyristate	23.19
2-aminoheptanoate	23.15
N-acetylglucosamine/N-acetylgalactosamine	23.1
arabinose	23.05
dihomolinoleate (20:2n6)	23.05
valine	23.01
isovalerylcarnitine (C5)	23.01
carotene diol (2)	22.98
glycine conjugate of C10H12O2*	22.84
succinylcarnitine (C4-DC)	22.8
glycochenodeoxycholate	22.77
malate	22.71
4-methyl-2-oxopentanoate	22.63
tetradecadienedioate (C14:2-DC)*	22.61
spermidine	22.59
5-oxoproline	22.56
cis-4-decenoylcarnitine (C10:1)	22.5
palmitoyl sphingomyelin (d18:1/16:0)	22.5
cortisol	22.48
undecenoylcarnitine (C11:1)	22.48
N-acetyltyrosine	22.42
1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	22.41
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	22.25
undecanoate (11:0)	22.08
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	22.07
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	21.93
sphingomyelin (d18:0/18:0, d19:0/17:0)*	21.86
pregnenediol sulfate (C21H34O5S)*	21.82
3-methyl-2-oxobutyrate	21.79
xanthine	21.78
gamma-glutamylglutamate	21.76
cis-3,4-methyleneheptanoate	21.7
pregnenolone sulfate	21.62
sphingosine	21.54
N-acetylmethionine	21.49
N2,N5-diacetylornithine	21.48
carotene diol (1)	21.4
alpha-tocopherol	21.24
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	21.22
undecanedioate (C11-DC)	21.21
succinate	21.2
2-oleoylglycerol (18:1)	21.16
5-(galactosylhydroxy)-L-lysine	21.11
gamma-glutamylthreonine	21.1
octadecadienedioate (C18:2-DC)*	21.03
5-dodecenoylcarnitine (C12:1)	21.01
metabolonic lactone sulfate	20.91
2-hydroxybutyrate/2-hydroxyisobutyrate	20.89
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	20.77
hexadecanedioate (C16)	20.77
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	20.75
N-acetylcarnosine	20.65
3-(4-hydroxyphenyl)lactate (HPLA)	20.61
homocitrulline	20.55
decadienedioic acid (C10:2-DC)	20.55
N2-acetyl,N6-methyllysine	20.54
serotonin	20.53
heptenedioate (C7:1-DC)*	20.48
gamma-glutamylleucine	20.44
1-stearoyl-2-oleoyl-GPC (18:0/18:1)	20.38
fumarate	20.32
S-methylcysteine sulfoxide	20.26
sphingomyelin (d18:2/16:0, d18:1/16:1)*	20.24
N-stearoyl-sphingosine (d18:1/18:0)*	20.23
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	20.01
cerotoylcarnitine (C26)*	19.93
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	19.92
butyrylcarnitine (C4)	19.74
orotate	19.64
3-methoxytyramine sulfate	19.61
decanoylcarnitine (C10)	19.59
bilirubin (E,Z or Z,E)*	19.42
pyroglutamine*	19.42
ascorbic acid 2-sulfate	19.4
phenol sulfate	19.36
octadecanedioylcarnitine (C18-DC)*	19.33
3-hydroxylaurate	19.25
N6,N6-dimethyllysine	19.19
urea	19.18
gamma-glutamyltryptophan	19.1
isovalerate (C5)	19.06
N-acetylputrescine	19.02
taurodeoxycholic acid 3-sulfate	18.93
quinolinate	18.92
hydantoin-5-propionate	18.9
myo-inositol	18.9
bilirubin degradation product, C17H20N2O5 (1)	18.82
1-oleoyl-GPC (18:1)	18.79
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	18.79
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	18.78
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	18.75
thyroxine	18.74
galactonate	18.68
isoursodeoxycholate	18.64
sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	18.62
trans-urocanate	18.59
cysteine	18.58
3-methylglutarylcarnitine (2)	18.58
pelargonate (9:0)	18.56
7-HOCA	18.49
taurochenodeoxycholate	18.42
4-cholesten-3-one	18.42
hypoxanthine	18.39
1-carboxyethylisoleucine	18.38
cysteinylglycine disulfide*	18.37
random_variable1	18.35
caprylate (8:0)	18.34
glycoursodeoxycholate	18.34
4-acetamidobutanoate	18.3
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	18.28
taurocholenate sulfate*	18.26
5-methyluridine (ribothymidine)	18.24
gamma-glutamyltyrosine	18.24
1-palmitoyl-GPA (16:0)	18.17
beta-citrylglutamate	18.1
glycolithocholate	18.06
dimethylarginine (ADMA + SDMA)	18.04
1-linoleoyl-GPG (18:2)*	18.02
threonine	18.01
N-acetylcitrulline	17.9
heptanoate (7:0)	17.87
5-hydroxylysine	17.71
docosadioate (C22-DC)	17.69
16a-hydroxy DHEA 3-sulfate	17.65
myristoleoylcarnitine (C14:1)*	17.58
serine	17.58
N-acetyl-isoputreanine	17.56
N6-carboxymethyllysine	17.55
methionine sulfoxide	17.52
behenoyl sphingomyelin (d18:1/22:0)*	17.47
eicosenedioate (C20:1-DC)*	17.43
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	17.35
sphinganine	17.27
azelate (C9-DC)	17.26
androstenediol (3alpha, 17alpha) monosulfate (2)	17.23
myristoleate (14:1n5)	17.21
1-stearoyl-GPG (18:0)	17.2
N,N,N-trimethyl-5-aminovalerate	17.19
ethylmalonate	17.17
hexadecenedioate (C16:1-DC)*	17.16
androstenediol (3beta,17beta) monosulfate (1)	17.16
gamma-glutamyl-alpha-lysine	17.15
dihomo-linolenoylcarnitine (C20:3n3 or 6)*	17.07
1-palmitoyl-GPC (16:0)	17.07
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	17.07
N-acetyl-beta-alanine	17.04
homoarginine	17.0
andro steroid monosulfate C19H28O6S (1)*	16.98
linoleate (18:2n6)	16.98
dodecanedioate (C12)	16.97
gamma-glutamylglycine	16.89
3-methylglutaconate	16.85
glycosyl ceramide (d18:1/20:0, d16:1/22:0)*	16.82
indoleacetoylcarnitine*	16.82
phenol glucuronide	16.77
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	16.76
heneicosapentaenoate (21:5n3)	16.75
sphingomyelin (d18:1/24:1, d18:2/24:0)*	16.68
kynurenate	16.68
N-methylproline	16.67
glycerophosphorylcholine (GPC)	16.63
lithocholate sulfate (1)	16.58
propionylcarnitine (C3)	16.55
tetradecadienoate (14:2)*	16.5
palmitoylcarnitine (C16)	16.47
4-oxo-retinoic acid	16.45
5,6-dihydrouridine	16.4
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	16.36
ascorbic acid 3-sulfate*	16.35
pyridoxate	16.29
1-linoleoyl-GPC (18:2)	16.27
N6-methyllysine	16.22
citrulline	16.21
N-acetylthreonine	16.21
docosadienoate (22:2n6)	16.21
argininate*	16.2
bilirubin	16.2
nonadecanoate (19:0)	16.19
margaroylcarnitine (C17)*	16.15
glycodeoxycholate	16.07
fructosyllysine	16.03
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	16.02
tridecenedioate (C13:1-DC)*	16.01
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	16.0
cystathionine	15.99
corticosterone	15.96
N-delta-acetylornithine	15.96
biliverdin	15.91
glycosyl ceramide (d18:2/24:1, d18:1/24:2)*	15.91
deoxycarnitine	15.9
maleate	15.9
asparagine	15.87
methylsuccinate	15.86
etiocholanolone glucuronide	15.85
hexanoylglycine (C6)	15.84
glycine conjugate of C10H14O2 (1)*	15.83
10-undecenoate (11:1n1)	15.78
N-formylphenylalanine	15.76
cysteinylglycine	15.73
caprate (10:0)	15.72
N-acetylarginine	15.72
cytosine	15.71
4-hydroxyphenylacetate	15.71
gulonate*	15.7
glycodeoxycholate 3-sulfate	15.7
6-oxopiperidine-2-carboxylate	15.67
dodecadienoate (12:2)*	15.65
bilirubin degradation product, C16H18N2O5 (4)	15.58
hydroxyasparagine	15.57
octanoylcarnitine (C8)	15.54
sphingosine 1-phosphate	15.49
21-hydroxypregnenolone disulfate	15.49
retinol (Vitamin A)	15.48
bilirubin degradation product, C16H18N2O5 (3)	15.47
