FeatName	RelFeatImp
methylsuccinate	100.0
isobutyrylcarnitine (C4)	96.02
taurocholenate sulfate*	95.97
lysine	95.64
cysteine s-sulfate	94.83
indoleacetate	93.72
cysteine	92.47
thyroxine	91.78
tryptophan betaine	91.5
ribonate	90.04
N-delta-acetylornithine	89.46
linolenoylcarnitine (C18:3)*	89.43
octadecanedioate (C18)	89.27
N-acetyl-beta-alanine	89.07
N-acetylmethionine	87.85
mannose	87.63
glycochenodeoxycholate 3-sulfate	87.01
kynurenate	86.85
undecanoate (11:0)	86.71
N-oleoylserine	86.62
cysteinylglycine	86.59
histidine	86.56
indolepropionate	86.51
gamma-CEHC	86.46
lignoceroyl sphingomyelin (d18:1/24:0)	86.46
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	86.01
5alpha-androstan-3alpha,17beta-diol disulfate	85.99
heptanoate (7:0)	85.97
gentisate	85.65
cortisol	85.6
tyramine O-sulfate	85.58
gamma-glutamylglutamate	84.93
5alpha-androstan-3beta,17beta-diol disulfate	84.93
proline	84.89
cis-3,4-methyleneheptanoate	84.85
5,6-dihydrothymine	84.55
oxalate (ethanedioate)	84.43
lignoceroylcarnitine (C24)*	84.34
octadecenedioate (C18:1-DC)	84.13
cys-gly, oxidized	84.12
carnitine	84.09
guanidinoacetate	84.0
undecanedioate (C11-DC)	83.99
androstenediol (3beta,17beta) monosulfate (2)	83.66
androsterone glucuronide	83.59
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	83.54
cerotoylcarnitine (C26)*	83.47
prolylhydroxyproline	83.43
hyocholate	83.37
glutamine	83.22
pristanate	83.15
hypotaurine	83.05
7-HOCA	83.01
S-1-pyrroline-5-carboxylate	82.97
metabolonic lactone sulfate	82.55
cortolone glucuronide (1)	82.33
propionylglycine (C3)	82.29
branched chain 14:0 dicarboxylic acid	82.26
N-formylphenylalanine	82.17
beta-citrylglutamate	81.86
hypoxanthine	81.85
N-acetylglycine	81.6
p-cresol glucuronide*	81.57
butyrylcarnitine (C4)	81.55
docosadienoate (22:2n6)	81.55
N6-methyllysine	81.38
acisoga	81.26
glycoursodeoxycholate	81.22
epiandrosterone sulfate	81.16
pelargonate (9:0)	81.11
C-glycosyltryptophan	81.1
S-methylcysteine	80.79
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	80.74
N-acetylcarnosine	80.65
cis-3,4-methyleneheptanoylglycine	80.52
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	80.43
alpha-hydroxyisovalerate	80.42
butyrate/isobutyrate (4:0)	80.35
2-palmitoyl-GPC* (16:0)*	80.34
gamma-glutamylalanine	80.31
S-adenosylhomocysteine (SAH)	80.23
trans-urocanate	80.22
N2-acetyl,N6-methyllysine	80.09
gamma-glutamyltyrosine	79.98
azelate (C9-DC)	79.97
adrenate (22:4n6)	79.95
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)	79.94
glycohyocholate	79.9
caproate (6:0)	79.72
glutarate (C5-DC)	79.65
isoursodeoxycholate	79.62
beta-cryptoxanthin	79.61
spermidine	79.58
taurochenodeoxycholic acid 3-sulfate	79.51
N-acetylaspartate (NAA)	79.48
betaine	79.43
biliverdin	79.28
3beta-hydroxy-5-cholestenoate	79.26
decadienedioic acid (C10:2-DC)	79.14
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*	79.02
bilirubin (E,Z or Z,E)*	78.91
ribulonate/xylulonate/lyxonate*	78.85
uracil	78.84
4-hydroxy-2-oxoglutaric acid	78.82
sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	78.78
12,13-DiHOME	78.73
random_variable1	78.7
pentose acid*	78.64
N4-acetylcytidine	78.6
4-oxo-retinoic acid	78.34
beta-hydroxyisovalerate	78.25
androsterone sulfate	77.92
N-formylanthranilic acid	77.72
gamma-glutamylglycine	77.61
5-methyluridine (ribothymidine)	77.58
threonine	77.58
maleate	77.45
margaroylcarnitine (C17)*	77.44
carotene diol (2)	77.38
pyruvate	77.37
N-acetylasparagine	77.34
inosine	77.32
1-palmitoyl-GPI* (16:0)	77.26
octadecadienedioate (C18:2-DC)*	77.25
tridecenedioate (C13:1-DC)*	77.1
androstenediol (3beta,17beta) disulfate (2)	76.92
nervonoylcarnitine (C24:1)*	76.84
N-stearoyl-sphingosine (d18:1/18:0)*	76.83
pantothenate (Vitamin B5)	76.8
ursodeoxycholate	76.75
1-palmitoyl-GPE (16:0)	76.65
4-hydroxyphenylacetate	76.61
5alpha-androstan-3beta,17alpha-diol disulfate	76.6
sphingomyelin (d18:1/20:1, d18:2/20:0)*	76.59
fumarate	76.48
5-oxoproline	76.48
alpha-hydroxyisocaproate	76.39
glycochenodeoxycholate glucuronide (1)	76.35
phenol sulfate	76.23
N2,N5-diacetylornithine	76.23
9-hydroxystearate	76.16
pipecolate	76.08
cis-4-decenoate (10:1n6)*	76.06
glycine conjugate of C10H14O2 (1)*	75.95
glycerate	75.87
octanoylcarnitine (C8)	75.85
heptenedioate (C7:1-DC)*	75.79
xanthine	75.75
choline	75.7
GlcNAc sulfate conjugate of C21H34O2 steroid	75.67
5alpha-androstan-3beta,17beta-diol monosulfate (2)	75.65
indoleacetoylcarnitine*	75.64
methionine	75.58
argininate*	75.54
tyrosine	75.46
fructose	75.4
3-(3-amino-3-carboxypropyl)uridine*	75.38
orotate	75.38
N-acetylglutamate	75.16
mannitol/sorbitol	75.15
N-acetylhistidine	75.15
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	75.02
dihomo-linoleoylcarnitine (C20:2)*	74.92
sphingomyelin (d18:0/20:0, d16:0/22:0)*	74.91
1-palmitoyl-GPG (16:0)*	74.87
5alpha-androstan-3alpha,17beta-diol monosulfate (1)	74.67
pregnenetriol sulfate*	74.63
retinol (Vitamin A)	74.54
3-methylhistidine	74.53
taurine	74.48
vanillylmandelate (VMA)	74.46
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)	74.31
imidazole lactate	74.29
eicosenedioate (C20:1-DC)*	74.27
N-acetylkynurenine (2)	74.18
carotene diol (1)	74.08
andro steroid monosulfate C19H28O6S (1)*	74.0
2-hydroxyglutarate	73.82
2-hydroxybutyrate/2-hydroxyisobutyrate	73.74
phosphocholine	73.64
ximenoylcarnitine (C26:1)*	73.64
eicosanedioate (C20-DC)	73.45
cholesterol	73.43
5alpha-androstan-3alpha,17beta-diol 17-glucuronide	73.42
serine	73.19
bilirubin degradation product, C16H18N2O5 (3)	72.99
pyroglutamine*	72.97
trimethylamine N-oxide	72.88
1-methyladenosine	72.86
phenylpyruvate	72.83
N-methylproline	72.83
bilirubin degradation product, C16H18N2O5 (1)	72.82
bilirubin	72.81
N-methyltaurine	72.79
3-ureidopropionate	72.79
arachidonoylcarnitine (C20:4)	72.74
caprate (10:0)	72.72
androstenediol (3alpha, 17alpha) monosulfate (3)	72.71
N-palmitoyl-sphingosine (d18:1/16:0)	72.67
sebacate (C10-DC)	72.65
isovalerylcarnitine (C5)	72.57
indoleacetylglutamine	72.53
ascorbic acid 3-sulfate*	72.52
prolylglycine	72.42
2-hydroxyphenylacetate	72.38
gamma-tocopherol/beta-tocopherol	72.3
2S,3R-dihydroxybutyrate	72.29
5alpha-androstan-3alpha,17beta-diol monosulfate (2)	72.22
trigonelline (N'-methylnicotinate)	72.22
sphingomyelin (d18:1/20:0, d16:1/22:0)*	72.2
stearoylcarnitine (C18)	72.17
glycerol	72.11
xanthurenate	72.07
dopamine 3-O-sulfate	72.05
cis-4-decenoylcarnitine (C10:1)	71.96
pyridoxate	71.85
methionine sulfoxide	71.81
21-hydroxypregnenolone disulfate	71.8
hydantoin-5-propionate	71.77
5-hydroxylysine	71.75
N6,N6,N6-trimethyllysine	71.75
cis-3,4-methyleneheptanoylcarnitine	71.59
linoleoylcholine*	71.58
FAD	71.52
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	71.47
androstenediol (3beta,17beta) disulfate (1)	71.47
2'-O-methyluridine	71.44
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	71.41
N-formylmethionine	71.41
erucate (22:1n9)	71.41
alpha-tocopherol	71.33
N-palmitoyl-sphinganine (d18:0/16:0)	71.33
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	71.24
2-aminoheptanoate	71.18
nicotinamide	71.15
gamma-glutamyltryptophan	71.14
N-acetyl-2-aminooctanoate*	71.13
cysteine-glutathione disulfide	71.09
glycolithocholate	71.07
arachidonate (20:4n6)	71.05
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	71.04
2'-O-methylcytidine	70.97
2-methylbutyrylcarnitine (C5)	70.97
3-hydroxy-2-ethylpropionate	70.89
2-hydroxyphytanate*	70.89
sarcosine	70.86
behenoyl sphingomyelin (d18:1/22:0)*	70.82
taurochenodeoxycholate	70.77
hexanoylglutamine	70.67
pregnenolone sulfate	70.64
succinate	70.6
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	70.58
dimethylarginine (ADMA + SDMA)	70.53
5,6-dihydrouracil	70.36
3-amino-2-piperidone	70.35
glycochenodeoxycholate	70.32
indolelactate	70.28
sphingomyelin (d18:2/14:0, d18:1/14:1)*	70.19
carotene diol (3)	70.18
cystine	70.03
octadecenedioylcarnitine (C18:1-DC)*	69.97
malate	69.96
glucuronate	69.95
sphinganine	69.93
orotidine	69.92
16-hydroxypalmitate	69.84
1-linoleoyl-GPC (18:2)	69.82
oleoyl ethanolamide	69.75
tryptophan	69.73
isovalerate (C5)	69.7
ethylmalonate	69.69
androstenediol (3beta,17beta) monosulfate (1)	69.67
phosphate	69.65
glycolithocholate sulfate*	69.62
decanoylcarnitine (C10)	69.6
N-acetylneuraminate	69.57
glyco-beta-muricholate	69.57
allantoin	69.51
N-palmitoyl-sphingadienine (d18:2/16:0)*	69.49
sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	69.37
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	69.36
N6-carboxymethyllysine	69.34
3-indoxyl sulfate	69.29
alpha-ketoglutarate	69.26
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	69.25
anthranilate	69.19
6-oxopiperidine-2-carboxylate	69.04
maltotetraose	69.04
citrate	69.04
cysteinylglycine disulfide*	69.03
16a-hydroxy DHEA 3-sulfate	69.03
10-undecenoate (11:1n1)	68.95
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	68.91
threonate	68.88
N6,N6-dimethyllysine	68.84
uridine	68.8
deoxycholic acid 12-sulfate*	68.79
ribitol	68.73
pregnenetriol disulfate*	68.72
sphingomyelin (d18:1/18:1, d18:2/18:0)	68.64
deoxycholic acid glucuronide	68.6
docosahexaenoylcarnitine (C22:6)*	68.53
glycocholenate sulfate*	68.48
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	68.32
xanthosine	68.18
homovanillate (HVA)	68.15
tiglyl carnitine (C5)	68.09
5-dodecenoylcarnitine (C12:1)	68.07
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	68.01
6-bromotryptophan	67.98
glycocholate	67.97
cholate	67.87
etiocholanolone glucuronide	67.87
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	67.87
docosadioate (C22-DC)	67.84
3-(4-hydroxyphenyl)lactate (HPLA)	67.84
corticosterone	67.76
