FeatName	RelFeatImp
N-acetyl-isoputreanine	100.0
FAD	95.94
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	87.9
androsterone glucuronide	85.77
N-acetyltryptophan	85.44
alpha-hydroxyisocaproate	77.96
spermidine	74.7
azelate (C9-DC)	72.23
guanidinoacetate	71.55
acisoga	71.08
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	69.81
glycocholate	68.63
alpha-ketoglutarate	63.74
glycosyl ceramide (d18:1/20:0, d16:1/22:0)*	63.01
caproate (6:0)	60.26
N-acetyl-2-aminooctanoate*	59.18
glycosyl ceramide (d18:2/24:1, d18:1/24:2)*	58.81
6-bromotryptophan	58.22
alpha-hydroxyisovalerate	58.16
behenoylcarnitine (C22)*	56.37
carotene diol (3)	54.17
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	54.07
pyruvate	53.27
2-hydroxydecanoate	51.64
bilirubin (E,E)*	51.05
2-oxoarginine*	50.87
N-acetylaspartate (NAA)	50.39
butyrate/isobutyrate (4:0)	49.68
isoleucine	49.1
indolepropionate	47.95
N-methyltaurine	47.8
sphingomyelin (d18:2/18:1)*	47.39
orotate	46.96
sphingomyelin (d18:2/24:1, d18:1/24:2)*	46.51
3-methyl-2-oxovalerate	46.44
11beta-hydroxyandrosterone glucuronide	45.95
threonine	45.61
eicosanedioate (C20-DC)	44.86
N-oleoylserine	44.16
1-lignoceroyl-GPC (24:0)	43.99
anthranilate	43.98
1-methylnicotinamide	43.48
hexadecanedioate (C16)	43.1
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	42.8
androstenediol (3beta,17beta) monosulfate (1)	41.21
phenol sulfate	41.1
N-formylphenylalanine	40.94
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	39.61
indoleacetoylcarnitine*	38.95
2-aminobutyrate	38.84
docosadienoate (22:2n6)	38.66
palmitoylcarnitine (C16)	37.82
acetylcarnitine (C2)	37.0
androsterone sulfate	36.84
etiocholanolone glucuronide	36.15
dimethylarginine (ADMA + SDMA)	36.14
docosadioate (C22-DC)	36.07
3-methylhistidine	35.89
3-ureidopropionate	35.59
4-cholesten-3-one	35.23
glycohyocholate	35.22
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	35.03
prolylglycine	34.88
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	34.62
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	33.89
1,5-anhydroglucitol (1,5-AG)	33.85
ornithine	33.6
2-oleoylglycerol (18:1)	33.29
homoarginine	32.45
1-oleoylglycerol (18:1)	32.43
cysteinylglycine	32.01
beta-hydroxyisovalerate	31.77
sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	30.61
lactate	30.56
xanthosine	30.37
palmitoyl ethanolamide	30.06
5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	30.02
3-indoxyl sulfate	29.99
maleate	29.96
cysteine-glutathione disulfide	29.93
2-hydroxyphenylacetate	29.86
corticosterone	29.59
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	29.59
sphingosine	29.13
5alpha-pregnan-3beta,20alpha-diol disulfate	29.02
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	28.84
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	28.35
9,10-DiHOME	27.83
isovalerate (C5)	27.74
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	27.7
gamma-glutamyltyrosine	27.3
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	27.21
