FeatName	RelFeatImp
2-hydroxyoctanoate	100.0
1-arachidonoyl-GPE (20:4n6)*	94.5
5-methyluridine (ribothymidine)	94.2
4-hydroxyphenylpyruvate	91.25
hypoxanthine	89.72
creatine	88.93
cysteine s-sulfate	88.93
4-hydroxy-2-oxoglutaric acid	88.37
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	87.87
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	87.72
1,2-dilinoleoyl-GPC (18:2/18:2)	87.2
N4-acetylcytidine	86.75
6-oxopiperidine-2-carboxylate	86.29
fructose	86.04
butyrate/isobutyrate (4:0)	85.91
taurocholenate sulfate*	85.84
3-indoxyl sulfate	85.55
histidine	85.05
11beta-hydroxyandrosterone glucuronide	84.78
S-adenosylhomocysteine (SAH)	84.13
gamma-tocopherol/beta-tocopherol	84.13
2-hydroxydecanoate	83.88
(N(1) + N(8))-acetylspermidine	83.5
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	82.79
allantoin	82.69
ribonate	82.49
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	82.46
propionylglycine (C3)	82.2
3-ureidopropionate	81.93
2-stearoyl-GPE (18:0)*	81.93
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	81.29
beta-cryptoxanthin	80.84
1,5-anhydroglucitol (1,5-AG)	80.76
bilirubin (E,E)*	80.3
xanthine	79.85
2'-O-methyluridine	79.67
glutarylcarnitine (C5-DC)	79.63
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	79.58
alpha-ketoglutaramate*	79.43
N-palmitoyl-sphinganine (d18:0/16:0)	79.29
2-aminobutyrate	78.93
1-(1-enyl-palmitoyl)-GPC (P-16:0)*	78.88
13-HODE + 9-HODE	78.84
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	78.61
gamma-glutamylglutamate	78.56
ribulonate/xylulonate/lyxonate*	78.37
metabolonic lactone sulfate	78.1
