FeatName	RelFeatImp
N-acetylneuraminate	100.0
isobutyrylcarnitine (C4)	83.69
gentisate	81.61
3beta-hydroxy-5-cholestenoate	76.27
cysteine s-sulfate	70.2
3-hydroxylaurate	67.85
phenylacetate	61.95
sphingomyelin (d18:1/20:0, d16:1/22:0)*	55.21
guanidinoacetate	54.15
1-oleoyl-GPI (18:1)	52.81
glycerate	49.73
lithocholate sulfate (1)	49.69
4-acetamidobutanoate	48.82
1-carboxyethylvaline	48.81
propionylcarnitine (C3)	48.32
phenylacetylcarnitine	47.86
sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	44.75
glycohyocholate	43.7
undecanoate (11:0)	43.23
sphingomyelin (d18:1/19:0, d19:1/18:0)*	42.46
cortisone	41.51
1,5-anhydroglucitol (1,5-AG)	41.39
1-lignoceroyl-GPC (24:0)	41.13
stearoyl sphingomyelin (d18:1/18:0)	40.97
eicosenedioate (C20:1-DC)*	40.33
palmitoyl dihydrosphingomyelin (d18:0/16:0)*	39.76
dodecanedioate (C12)	39.44
thyroxine	37.53
1-oleoylglycerol (18:1)	37.05
methionine	36.79
tridecenedioate (C13:1-DC)*	36.26
phenylacetylglutamine	35.92
1-stearoyl-GPC (18:0)	35.16
sphingomyelin (d18:2/23:1)*	34.86
azelate (C9-DC)	34.72
tricosanoyl sphingomyelin (d18:1/23:0)*	34.11
methylmalonate (MMA)	34.08
2'-O-methyluridine	32.14
2-linoleoylglycerol (18:2)	32.06
3-hydroxyoleate*	32.01
sphingomyelin (d18:1/18:1, d18:2/18:0)	31.57
N-stearoyl-sphingosine (d18:1/18:0)*	31.34
p-cresol glucuronide*	31.04
gamma-glutamylglutamine	30.13
dihomo-linolenoyl-choline	30.03
isoleucylglycine	29.43
arachidate (20:0)	29.35
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	28.25
gamma-glutamylisoleucine*	28.23
1-palmitoyl-GPC (16:0)	27.92
3-hydroxyoctanoylcarnitine (1)	27.82
3-methylhistidine	27.57
alpha-ketoglutaramate*	27.44
N-oleoylserine	26.85
cysteine-glutathione disulfide	26.45
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	26.26
N6,N6-dimethyllysine	26.15
citrulline	25.95
S-methylmethionine	25.82
sphingosine 1-phosphate	25.8
N-acetyl-2-aminooctanoate*	25.67
3-methoxytyramine sulfate	25.67
1-carboxyethylisoleucine	25.54
sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	25.5
lignoceroyl sphingomyelin (d18:1/24:0)	25.33
hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))	25.14
alpha-ketoglutarate	24.69
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	24.47
sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	24.33
1-oleoyl-GPG (18:1)*	23.64
2-hydroxyglutarate	23.09
N6-acetyllysine	23.07
S-methylcysteine	22.95
phenylalanine	22.79
oxalate (ethanedioate)	22.74
bilirubin degradation product, C16H18N2O5 (3)	22.64
dimethylglycine	22.14
bilirubin degradation product, C17H18N2O4 (3)	21.97
5-methyluridine (ribothymidine)	21.89
mannose	21.88
1-linoleoylglycerol (18:2)	21.62
S-methylcysteine sulfoxide	21.6
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	21.6
1-(1-enyl-oleoyl)-GPE (P-18:1)*	21.44
octadecanedioate (C18)	20.32
glycochenodeoxycholate glucuronide (1)	20.11
3-indoxyl sulfate	19.94
3-phosphoglycerate	19.72
butyrate/isobutyrate (4:0)	19.49
trimethylamine N-oxide	19.11
1-arachidonylglycerol (20:4)	18.79
bilirubin (E,E)*	18.74
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	18.62
N-methyltaurine	18.39
bilirubin degradation product, C16H18N2O5 (2)	18.13
branched chain 14:0 dicarboxylic acid	17.82
9,10-DiHOME	17.74
homocitrulline	17.72
glycolithocholate sulfate*	17.68
oleoyl ethanolamide	17.65
tryptophan	17.2
N-acetylglycine	16.77
3-hydroxyoctanoylcarnitine (2)	16.52
beta-citrylglutamate	16.47
acisoga	16.36
bilirubin degradation product, C17H18N2O4 (1)	16.3
4-hydroxyphenylacetate	16.26
1-stearoyl-GPI (18:0)	15.61
eicosanedioate (C20-DC)	15.37
3-aminoisobutyrate	15.28
octadecenedioylcarnitine (C18:1-DC)*	15.09
asparagine	14.94
glucuronide of C10H18O2 (1)*	14.83
1-linoleoyl-GPG (18:2)*	14.67
cis-3,4-methyleneheptanoylcarnitine	14.58
valylglycine	14.36
laurate (12:0)	13.77
serine	13.62
propionylglycine (C3)	13.62
glycoursodeoxycholate	13.56
AMP	13.41
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	13.24
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	13.2
taurocholenate sulfate*	13.1
tyrosine	13.08
oleate/vaccenate (18:1)	12.73
eicosapentaenoylcholine	12.67
caprate (10:0)	12.63
uridine	12.61
glucuronide of C10H18O2 (7)*	12.58
sphingomyelin (d17:1/14:0, d16:1/15:0)*	12.56
1-oleoyl-GPC (18:1)	12.32
alpha-hydroxyisovalerate	12.27
hexanoylglutamine	12.19
2-ketocaprylate	12.18
pregnenetriol sulfate*	12.09
1-arachidonoyl-GPC* (20:4)*	12.05
cysteinylglycine disulfide*	12.01
5,6-dihydrouracil	11.81
laurylcarnitine (C12)	11.68
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	11.39
octanoylcarnitine (C8)	11.36
N-formylphenylalanine	11.24
N-acetylkynurenine (2)	11.21
sphingomyelin (d18:1/24:1, d18:2/24:0)*	11.11
phenylacetylglutamate	10.87
trigonelline (N'-methylnicotinate)	10.81
1-methylnicotinamide	10.69
sarcosine	10.45
10-undecenoate (11:1n1)	10.39
bilirubin degradation product, C16H18N2O5 (1)	10.28
3-hydroxy-3-methylglutarate	10.04
glucuronate	9.91
lactate	9.59
ursodeoxycholate	9.58
gamma-glutamylglycine	9.49
alpha-hydroxycaproate	9.48
isobutyrylglycine (C4)	9.46
indole-3-carboxylate	9.3
sphingomyelin (d18:2/24:1, d18:1/24:2)*	9.3
N4-acetylcytidine	9.2
random_variable1	9.2
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	9.18
serotonin	9.09
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	9.07
hydroxyproline	9.06
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	9.04
sphinganine-1-phosphate	9.02
arginine	8.99
3-hydroxymyristate	8.92
taurodeoxycholate	8.9
nonanoylcarnitine (C9)	8.85
sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	8.75
sedoheptulose	8.73
lithocholic acid sulfate (2)	8.73
N-acetylphenylalanine	8.7
5alpha-androstan-3alpha,17beta-diol monosulfate (2)	8.53
hyocholate	8.5
sebacate (C10-DC)	8.48
N-acetylcitrulline	8.38
metabolonic lactone sulfate	8.12
branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*	8.11
N-oleoyltaurine	7.96
N-palmitoyl-sphinganine (d18:0/16:0)	7.94
aspartate	7.91
cis-4-decenoate (10:1n6)*	7.88
hypotaurine	7.84
N-acetyltyrosine	7.84
N6-methyllysine	7.82
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	7.79
glutamine	7.47
2-hydroxy-3-methylvalerate	7.46
3-(4-hydroxyphenyl)lactate (HPLA)	7.45
1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	7.42
stearoylcholine*	7.35
2-oleoylglycerol (18:1)	7.3
2-palmitoyl-GPC* (16:0)*	7.24
3b-hydroxy-5-cholenoic acid	7.22
sphingomyelin (d17:2/16:0, d18:2/15:0)*	7.19
3-hydroxydecanoate	7.13
2-hydroxydecanoate	7.12
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	7.08
hexadecenedioate (C16:1-DC)*	7.0
N-stearoyltaurine	6.97
5alpha-pregnan-diol disulfate	6.95
gamma-glutamylhistidine	6.92
bilirubin	6.77
deoxycholic acid 12-sulfate*	6.72
behenoyl sphingomyelin (d18:1/22:0)*	6.69
isoursodeoxycholate	6.65
kynurenate	6.64
N1-Methyl-2-pyridone-5-carboxamide	6.57
pyridoxate	6.54
glycerophosphoethanolamine	6.46
glycodeoxycholate	6.39
ribitol	6.32
uracil	6.31
1-arachidonoyl-GPE (20:4n6)*	6.31
pregnenetriol disulfate*	6.24
creatine	6.21
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	6.14
leucine	6.06
phenol glucuronide	6.02
alpha-hydroxyisocaproate	5.98
